"","time","x","S","E","I","R","Z"
"73",73,1.97436008742079,7.89558835946163e-14,3.19604763729123e-09,37219.2695528929,52159161.7304472,41140435.0565467
"74",74,1.97436008742079,7.85730530992266e-14,6.12756623419669e-10,33305.2657927993,52163075.7342073,41140435.0565467
"75",75,1.97436008742079,7.82320551888608e-14,1.82223131615629e-09,29802.8607714899,52166578.1392286,41140435.0565467
"76",76,1.97436008742079,7.79281712914868e-14,-9.17048237749174e-10,26668.768740894,52169712.2312592,41140435.0565467
"77",77,1.97436008742079,7.76572448154993e-14,-1.82647949921976e-10,23864.2594487912,52172516.7405513,41140435.0565467
"78",78,1.97436008742079,7.74156079411553e-14,-2.98451413371159e-10,21354.6753119224,52175026.3246882,41140435.0565467
"79",79,1.97436008742079,7.7200019249272e-14,-1.18605787339697e-10,19109.0006429478,52177271.9993571,41140435.0565467
"80",80,1.97436008742079,7.7007611071094e-14,-5.97579467133403e-11,17099.4827831428,52179281.517217,41140435.0565467
"81",81,1.97436008742079,7.68358433556875e-14,-4.59076619160243e-11,15301.2879513461,52181079.7120487,41140435.0565467
"82",82,1.97436008742079,7.66824636595097e-14,-1.33442065104899e-11,13692.1922377581,52182688.8077623,41140435.0565467
"83",83,1.97436008742079,7.65454734589565e-14,-4.44724891901397e-11,12252.3132143649,52184128.6867857,41140435.0565467
"84",84,1.97436008742079,7.64230968941291e-14,-2.14459321565521e-11,10963.854018512,52185417.1459816,41140435.0565467
"85",85,1.97436008742079,7.63137551432747e-14,-1.40283513435196e-11,9810.88789307402,52186570.112107,41140435.0565467
"86",86,1.97436008742079,7.62160444806968e-14,-4.12521373293464e-11,8779.16854294783,52187601.8314571,41140435.0565467
"87",87,1.97436008742079,7.61287152036618e-14,-7.7968031544861e-12,7855.94548511413,52188525.054515,41140435.0565467
"88",88,1.97436008742079,7.60506543453158e-14,4.0608262286603e-12,7029.80900843094,52189351.1909917,41140435.0565467
"89",89,1.97436008742079,7.598087024996e-14,-1.99777469514062e-11,6290.54937685685,52190090.4506232,41140435.0565467
"90",90,1.97436008742079,7.59184789817846e-14,2.49286415570904e-11,5629.03076262223,52190751.9692375,41140435.0565467
"91",91,1.97436008742079,7.58626922693384e-14,4.69075302454558e-12,5037.07799565669,52191343.9220044,41140435.0565467
"92",92,1.97436008742079,7.58128068850895e-14,-4.25068770671871e-11,4507.37542004632,52191873.62458,41140435.0565467
"93",93,1.97436008742079,7.57681952930275e-14,3.70311740548211e-11,4033.37672928916,52192347.6232708,41140435.0565467
"94",94,1.97436008742079,7.57282973427831e-14,-1.24121514048758e-13,3609.2240662388,52192771.7759338,41140435.0565467
"95",95,1.97436008742079,7.56926129001624e-14,-5.76836166477942e-11,3229.67558694253,52193151.3244131,41140435.0565467
"96",96,1.97436008742079,7.56606953139624e-14,7.09999836780882e-11,2890.0406864031,52193490.9593137,41140435.0565467
"97",97,1.97436008742079,7.56321456134588e-14,-1.27211508535542e-11,2586.12202516773,52193794.8779749,41140435.0565467
"98",98,1.97436008742079,7.56066073523261e-14,-8.19793284738816e-11,2314.16365876339,52194066.8363413,41140435.0565467
"99",99,1.97436008742079,7.55837620231436e-14,1.21962804434996e-10,2070.80462078432,52194310.1953793,41140435.0565467
"100",100,1.97436008742079,7.55633249767726e-14,-4.37670978629480e-11,1853.0373861804,52194527.9626139,41140435.0565467
"101",101,1.97436008742079,7.55450417891205e-14,-1.11877847258294e-10,1658.17070336765,52194722.8292967,41140435.0565467
"102",102,1.97436008742079,7.55286850244899e-14,2.03373433970016e-10,1483.79633461091,52194897.2036655,41140435.0565467
"103",103,1.97436008742079,7.55140513509334e-14,-1.06551691138587e-10,1327.75929410119,52195053.240706,41140435.0565467
"104",104,1.97436008742079,7.55009589682614e-14,-1.43281498161535e-10,1188.13121582159,52195192.8687843,41140435.0565467
"105",105,1.97436008742079,7.54892453139574e-14,3.29983800878122e-10,1063.18652204521,52195317.8134781,41140435.0565467
"106",106,1.97436008742079,7.54787650162948e-14,-2.25461979100667e-10,951.381097986072,52195429.6189021,41140435.0565467
"107",107,1.97436008742079,7.54693880674632e-14,-1.65149202302551e-10,851.333209024754,52195529.6667911,41140435.0565467
"108",108,1.97436008742079,7.54609981926214e-14,5.215291259653e-10,761.806424703866,52195619.1935754,41140435.0565467
"109",109,1.97436008742079,7.54534913935078e-14,-4.40631342430575e-10,681.694338444143,52195699.3056617,41140435.0565467
"110",110,1.97436008742079,7.54467746476461e-14,-1.53075433724075e-10,610.006894135167,52195770.993106,41140435.0565467
"111",111,1.97436008742079,7.54407647462944e-14,8.01991421509384e-10,545.858150650201,52195835.1418495,41140435.0565467
"112",112,1.97436008742079,7.54353872561591e-14,-8.16336420893262e-10,488.455333042509,52195892.5446671,41140435.0565467
"113",113,1.97436008742079,7.54305755915452e-14,-5.77444156795274e-11,437.089035113087,52195943.910965,41140435.0565467
"114",114,1.97436008742079,7.54262701850819e-14,1.19663456496082e-09,391.124452313184,52195989.8755478,41140435.0565467
"115",115,1.97436008742079,7.54224177464549e-14,-1.45273993002236e-09,349.99353657921,52196031.0064635,41140435.0565467
"116",116,1.97436008742079,7.54189705997331e-14,2.14349631231224e-10,313.187976156864,52196067.8120239,41140435.0565467
"117",117,1.97436008742079,7.54158860908952e-14,1.72348833709644e-09,280.252913719047,52196100.7470864,41140435.0565467
"118",118,1.97436008742079,7.5413126058073e-14,-2.50152486860417e-09,250.781325049143,52196130.2186751,41140435.0565467
"119",119,1.97436008742079,7.54106563578314e-14,8.32623412164687e-10,224.408988854161,52196156.5910112,41140435.0565467
"120",120,1.97436008742079,7.5408446441531e-14,2.37424216715043e-09,200.809985627997,52196180.1900145,41140435.0565467
"121",121,1.97436008742079,7.54064689764496e-14,-4.18504736384731e-09,179.692669780899,52196201.3073303,41140435.0565467
"122",122,1.97436008742079,7.54046995069148e-14,2.09466231345661e-09,160.796065334478,52196220.2039348,41140435.0565467
"123",123,1.97436008742079,7.54031161512149e-14,4.03033732947408e-09,143.886640809209,52196237.1133593,41140435.0565467
"124",124,1.97436008742079,7.54016993305981e-14,-3.52440997526523e-09,128.75542429878,52196252.2445758,41140435.0565467
"125",125,1.97436008742079,7.54004315265214e-14,1.68159695960755e-09,115.215418391689,52196265.7845817,41140435.0565467
"126",126,1.97436008742079,7.53992970636451e-14,-7.11894563009353e-10,103.099288605718,52196277.9007115,41140435.0565467
"127",127,1.97436008742079,7.53982819153356e-14,-3.04119534871005e-09,92.2572908300256,52196288.7427093,41140435.0565467
"128",128,1.97436008742079,7.53973735337067e-14,2.1966333504894e-09,82.5554599039324,52196298.4445402,41140435.0565467
"129",129,1.97436008742079,7.53965606861854e-14,2.18213535200437e-10,73.8738673263888,52196307.1261328,41140435.0565467
"130",130,1.97436008742079,7.53958333252431e-14,4.18993673083522e-10,66.1052321450878,52196314.894768,41140435.0565467
