"","np","time","value","q025","q25","q50","q75","q975"
"1",0,7,1.85052425288181,0.92782610218642,1.5028001131281,1.65697306833832,1.8958665843454,2.84152501167536
"2",0,14,1.55993904365858,1.26239074646606,1.55353338781446,1.74959585776573,1.87782028857503,2.98191725135752
"3",0,21,2.81476352838435,0.866403629276763,1.25023777525087,1.43370377735802,1.56312828342008,2.41954078701349
"4",0,28,1.33678622176929,0.745834750686577,1.14032100636608,1.32741890495118,1.51991458118787,2.3450433125953
"5",0,35,1.71898660466293,0.475312178004418,1.08532558260806,1.3523308311132,1.72632922581561,2.82119226486613
"6",1,7,1.76702674132936,0.92782610218642,1.5028001131281,1.65697306833832,1.8958665843454,2.84152501167536
"7",1,14,1.81851525606065,1.26239074646606,1.55353338781446,1.74959585776573,1.87782028857503,2.98191725135752
"8",1,21,1.53708798685519,0.866403629276763,1.25023777525087,1.43370377735802,1.56312828342008,2.41954078701349
"9",1,28,1.27359363457633,0.745834750686577,1.14032100636608,1.32741890495118,1.51991458118787,2.3450433125953
"10",1,35,1.19234502416836,0.475312178004418,1.08532558260806,1.3523308311132,1.72632922581561,2.82119226486613
"11",2,7,1.56017708962776,0.92782610218642,1.5028001131281,1.65697306833832,1.8958665843454,2.84152501167536
"12",2,14,1.97260127904422,1.26239074646606,1.55353338781446,1.74959585776573,1.87782028857503,2.98191725135752
"13",2,21,1.63355710341112,0.866403629276763,1.25023777525087,1.43370377735802,1.56312828342008,2.41954078701349
"14",2,28,1.98034507546222,0.745834750686577,1.14032100636608,1.32741890495118,1.51991458118787,2.3450433125953
"15",2,35,1.50472232118198,0.475312178004418,1.08532558260806,1.3523308311132,1.72632922581561,2.82119226486613
"16",3,7,1.56017708962776,0.92782610218642,1.5028001131281,1.65697306833832,1.8958665843454,2.84152501167536
"17",3,14,1.97260127904422,1.26239074646606,1.55353338781446,1.74959585776573,1.87782028857503,2.98191725135752
"18",3,21,1.63355710341112,0.866403629276763,1.25023777525087,1.43370377735802,1.56312828342008,2.41954078701349
"19",3,28,1.98034507546222,0.745834750686577,1.14032100636608,1.32741890495118,1.51991458118787,2.3450433125953
"20",3,35,1.50472232118198,0.475312178004418,1.08532558260806,1.3523308311132,1.72632922581561,2.82119226486613
"21",4,7,0.781044290909822,0.92782610218642,1.5028001131281,1.65697306833832,1.8958665843454,2.84152501167536
"22",4,14,1.40179818328485,1.26239074646606,1.55353338781446,1.74959585776573,1.87782028857503,2.98191725135752
