"","x"
"1",0.651671051001857
"2",351.191619865578
"3",109.175654579572
"4",236.85118674363
"5",3196.92869342429
"6",344.09374579527
"7",499.175408354565
"8",5279.75190339929
"9",1719.31301391668
"10",5486.93233272248
"11",8445.30745135108
"12",3045.33107193153
"13",8143.13995846791
"14",4101.52382668191
"15",30142.9483753811
"16",6631.44240346281
"17",12420.979298849
"18",34270.1090793593
"19",33434.4665424622
"20",74936.3677521184
"21",307632.615082532
"22",61369.9738233621
"23",765266.063917003
"24",224498.080704907
"25",101824.30244778
"26",162673.738064446
"27",279985.802651944
"28",520478.324042457
"29",284875.231818248
"30",765944.353940346
"31",269961.299813765
"32",667549.563685959
"33",925360.115853381
"34",1317737.12755429
"35",317379.331009518
"36",316800.229208985
"37",1771704.40336299
"38",528963.109771783
"39",360453.604755595
"40",424608.893547541
"41",393690.898301419
"42",264959.781893516
"43",277353.026737041
"44",132413.969556436
"45",176732.109867799
"46",696080.1745833
"47",111286.547409141
"48",78782.8158554669
"49",211335.803528519
"50",159745.334574405
"51",41102.0411415895
"52",73811.5917712204
"53",69879.0373272636
"54",358256.501203903
"55",86843.5964437772
"56",29751.1829734915
"57",27422.2458868087
"58",29084.1647482997
"59",74887.0128318494
"60",37304.1873008934
"61",14026.6128145983
"62",27052.1585441375
"63",47700.3266906728
"64",27115.6304139478
"65",25678.0544011923
"66",30799.868863676
"67",24959.3784810779
"68",19995.5056545086
"69",5317.9097862344
"70",5951.83454967595
"71",30116.1742782487
"72",13310.2266545416
"73",6369.14815430715
"74",4801.75054914767
"75",2056.53442461289
"76",235.457153931027
"77",2093.45174991147
"78",3827.98728819582
"79",8599.8168460482
"80",1733.539709338
"81",856.141019392304
"82",283.549908184139
"83",2487.044037659
"84",1360.16437462419
"85",944.784556083065
"86",523.930798184826
"87",703.108707510252
"88",484.844131272528
"89",1524.61099742137
"90",1047.22578708259
"91",389.201341393007
"92",86.4307572397317
"93",309.498600004379
"94",140.942274879414
"95",134.243344034666
"96",123.90498558806
"97",590.235980005848
"98",162.139365164632
"99",33.4407896669145
"100",366.488059608312
"101",109.249534956737
"102",154.820318984841
"103",348.116219227445
"104",22.0385578375065
"105",176.608466674686
"106",22.8624932884181
"107",89.6248401233738
"108",119.038722318526
"109",8.43373169937917
"110",18.0803699391296
"111",21.201509004791
"112",147.069943073203
"113",28.8413906010726
"114",44.4932828831124
"115",21.6789558923743
"116",20.0550452942203
"117",14.6488753456089
"118",8.62341465723443
"119",12.3373423746402
"120",2.20609916633728
"121",25.5034018251122
"122",8.98124813136267
"123",24.7828102815775
"124",3.90548679107655
"125",5.33308293187793
"126",11.1574771134679
"127",33.5271374055501
"128",2.17083760155849
"129",3.48818156116172
"130",2.78589776621038
"131",4.3039155173604
"132",7.41340590245056
"133",3.19105674772637
"134",5.26444325999947
"135",1.31837837190665
"136",0.766929950036655
"137",1.55147116394321
"138",0.603706545058729
"139",0.558661980574374
"140",0.308473972940015
"141",0.619211064776665
"142",0.52560822055214
"143",0.523939903793778
"144",0.0859714600561604
"145",0.815001040492132
"146",0.248019700407098
"147",0.409847145100595
"148",0.745670434982781
"149",0.167959267889297
"150",0.105488997793068
"151",0.465489686465479
"152",0.36352733830131
"153",1.14302690562286
"154",0.112391074948452
"155",0.0823831014579915
"156",0.0657997198374937
"157",0.110551638907976
"158",0.275064469376171
"159",0.0499784340526722
"160",0.037412576742426
"161",0.0246670814752457
"162",0.0483218223923321
"163",0.01091019601818
"164",0.0813850884969763
"165",0.0409503383722153
"166",0.0797450399353376
"167",0.00138150878496045
"168",0.0839988177092938
"169",0.00631388611829221
"170",0.0145665638429554
"171",0.00903178841991411
"172",0.0322786721078865
"173",0.016321480134282
"174",0.0267327938066542
"175",0.0104063547770933
"176",0.00646365601630436
"177",0.00194366625088237
"178",0.00757843362531331
"179",0.0055917863823618
"180",0.00811006579283357
"181",0.00387846248675841
"182",0.00737340069691028
"183",0.00283076580396164
"184",0.00190260004352956
"185",0.00805217565412215
"186",0.00109822520953091
"187",0.00381497833076589
"188",0.000885603474199401
"189",0.00467577866006469
"190",0.000769994794235831
"191",0.00132192603417075
"192",0.00080050087162889
"193",0.000394474600911927
"194",0.000493195016363654
"195",0.000427879463297315
"196",0.000414462544731355
"197",0.000282267996010254
"198",0.000545151043377231
"199",0.000126930598757833
"200",0.00101165758050763
"201",0.000251104126593507
"202",0.000339231717310966
"203",8.38046629251744e-05
"204",0.00012404572329498
"205",0.000376757804189237
"206",7.24511262375097e-05
"207",0.000305235096193632
"208",0.000113739572501676
"209",0.000262540462882063
"210",0.000194859630517571
"211",0.000119844233191302
"212",0.000139160270080605
"213",0.000154444895489397
"214",0.000121894261706582
"215",0.000408082590419324
"216",3.05983278603804e-05
"217",0.000100541965514133
"218",0.000199187763422351
"219",1.08977463837318e-05
"220",0.000103376289429212
"221",5.51344296529621e-05
"222",2.55932955010724e-05
"223",1.00543606065268e-05
"224",7.45612094807826e-05
"225",1.71908817000306e-05
"226",1.91371265718584e-05
"227",3.45159981910453e-05
"228",1.13369262647041e-05
"229",9.41890935064618e-06
"230",7.27895173519338e-06
"231",2.86413659191919e-05
"232",1.59179378461497e-05
"233",4.29148861598932e-06
"234",1.92033988339659e-05
"235",1.31613949751166e-05
"236",1.93632783058927e-05
"237",6.06673426943066e-06
"238",5.77610412921725e-06
"239",5.62273621013875e-06
"240",4.45754858686096e-06
"241",7.67570220191089e-06
"242",7.12989867993919e-06
"243",9.34982458467365e-06
"244",2.98342088872075e-06
"245",2.65328202862823e-06
"246",1.40773297251508e-06
"247",3.39716611767983e-06
"248",2.18929742161062e-06
"249",1.00266524443434e-06
"250",1.58978978973401e-06
"251",8.12301061221882e-07
"252",2.53245025505557e-06
"253",4.80606505004733e-07
"254",1.09140282808633e-06
"255",4.08254174313501e-07
"256",1.0856292956135e-06
"257",2.55129025521539e-06
"258",2.15552138453023e-07
"259",1.26492301585715e-06
"260",1.77589615775049e-07
"261",3.7274441509845e-07
"262",2.5427756529467e-07
"263",2.6130600259379e-07
"264",2.22143529889925e-07
"265",1.63167292995864e-07
"266",9.31150424899786e-07
"267",1.0431102704116e-07
"268",2.8336313200121e-07
"269",2.0587756884631e-07
"270",1.90605234772943e-07
"271",9.55458951840977e-08
"272",4.12949570914646e-07
"273",1.84783208165618e-07
"274",4.60262894964613e-07
"275",6.08339820234974e-08
"276",5.32105116388527e-08
"277",1.33048091627164e-07
"278",1.82797432123508e-08
"279",7.69545091317233e-08
"280",1.56161116143022e-08
"281",8.14328701853931e-08
"282",1.59037007721856e-08
"283",5.86530572762037e-08
"284",4.40379880386536e-08
"285",4.99001798543623e-08
"286",3.95584048920739e-08
"287",4.57854994952027e-08
"288",1.06215433571582e-07
"289",7.29856678993535e-08
"290",1.1068301380637e-08
"291",2.55916441008609e-08
"292",5.49486637154473e-09
"293",4.43246466018361e-09
"294",6.47021983210504e-09
"295",5.06380176690306e-08
"296",4.68269222822854e-09
"297",1.1015554592741e-08
"298",1.94015986804466e-09
"299",1.36988295678176e-08
"300",6.262632350321e-09
"301",2.02256186702965e-09
"302",8.05378232040119e-09
"303",1.23998263634655e-08
"304",3.39089719544517e-08
"305",1.11228491607532e-09
"306",4.79747011559429e-09
"307",2.25572445088353e-09
"308",4.61644657755122e-09
"309",2.51684235599744e-09
"310",1.65933677492523e-09
"311",1.28977958018225e-09
"312",1.36790922467371e-09
"313",1.28400015626125e-09
"314",6.25106704031432e-10
"315",9.17874985802164e-10
"316",6.09680586658698e-10
"317",5.53999989692828e-10
"318",3.88256352303711e-10
"319",3.47014996060226e-10
"320",1.55562634434005e-09
"321",4.03233253097105e-10
"322",4.35315850428014e-10
"323",1.2006890983162e-09
"324",1.11545868179581e-10
"325",4.0073217444185e-10
"326",3.6099716263324e-10
"327",1.05894970066514e-10
"328",9.88879961300611e-11
"329",9.25785014521688e-11
"330",2.36630212975893e-10
"331",5.10540630728489e-10
"332",9.31901063555582e-11
"333",1.76267172607785e-10
"334",1.58040655423388e-10
"335",3.4075354131365e-11
"336",5.37867386006355e-11
"337",2.91152675406374e-11
"338",2.72641119375148e-11
"339",2.57040818226669e-11
"340",1.91116506892968e-10
"341",1.90813311173081e-11
"342",4.51231465398158e-11
"343",1.02130578371912e-10
"344",2.12106705563953e-11
"345",3.95892384353173e-11
"346",1.01342741950274e-11
"347",4.1966847739767e-11
"348",2.78142142080939e-11
"349",2.09953156092365e-11
"350",9.36940908823634e-12
"351",6.9600742985208e-12
"352",3.2570893791966e-11
"353",2.76965466748687e-12
"354",3.59758025066973e-11
"355",6.07583191693553e-12
"356",4.73295001711835e-12
"357",5.5294862312909e-12
"358",6.53771046594007e-12
"359",2.10373468280306e-12
"360",2.52267752599934e-12
"361",2.74277054802768e-12
"362",9.62289775912574e-12
"363",2.04505480313196e-12
"364",3.43664180662692e-12
"365",2.09870439247424e-12
