01/09/2021,139915,673
02/09/2021,137772,672
03/09/2021,127736,671
04/09/2021,150314,670
05/09/2021,75157,669
06/09/2021,88035,668
07/09/2021,95870,667
08/09/2021,95957,666
09/09/2021,108598,665
10/09/2021,100642,664
11/09/2021,109993,663
12/09/2021,54626,662
13/09/2021,70318,661
14/09/2021,74229,660
15/09/2021,77216,659
16/09/2021,77915,658
17/09/2021,72608,657
18/09/2021,87762,656
19/09/2021,40802,655
20/09/2021,57107,654
21/09/2021,56172,653
22/09/2021,58138,652
23/09/2021,63316,651
24/09/2021,61433,650
25/09/2021,60656,649
26/09/2021,30290,648
27/09/2021,49294,647
28/09/2021,58236,646
29/09/2021,57352,645
30/09/2021,922467,644
01/10/2021,215131,643
02/10/2021,243344,642
03/10/2021,116455,641
04/10/2021,177888,640
05/10/2021,213589,639
06/10/2021,209041,638
07/10/2021,225581,637
08/10/2021,223187,636
09/10/2021,298267,635
10/10/2021,116632,634
11/10/2021,165300,633
12/10/2021,213093,632
13/10/2021,247841,631
14/10/2021,275961,630
15/10/2021,259349,629
16/10/2021,335905,628
17/10/2021,123692,627
18/10/2021,206298,626
19/10/2021,258682,625
20/10/2021,290038,624
21/10/2021,321991,623
22/10/2021,312338,622
23/10/2021,384887,621
24/10/2021,171833,620
25/10/2021,238695,619
26/10/2021,272675,618
27/10/2021,295284,617
28/10/2021,306978,616
29/10/2021,293878,615
30/10/2021,384081,614
31/10/2021,165679,613
01/11/2021,247105,612
02/11/2021,307581,611
03/11/2021,327559,610
04/11/2021,331685,609
05/11/2021,326080,608
06/11/2021,427929,607
07/11/2021,200591,606
08/11/2021,270273,605
09/11/2021,333292,604
10/11/2021,625460,603
11/11/2021,359339,602
12/11/2021,350475,601
13/11/2021,464854,600
14/11/2021,206979,599
15/11/2021,275445,598
16/11/2021,326963,597
17/11/2021,360981,596
18/11/2021,359666,595
19/11/2021,348606,594
20/11/2021,457627,593
21/11/2021,214444,592
22/11/2021,286231,591
23/11/2021,343041,590
24/11/2021,357129,589
25/11/2021,375041,588
26/11/2021,362002,587
27/11/2021,471635,586
28/11/2021,260972,585
29/11/2021,301041,584
30/11/2021,380952,583
01/12/2021,391597,582
02/12/2021,402754,581
03/12/2021,380109,580
04/12/2021,471820,579
05/12/2021,258554,578
06/12/2021,307221,577
07/12/2021,361648,576
08/12/2021,384062,575
09/12/2021,446869,574
10/12/2021,410139,573
11/12/2021,540968,572
12/12/2021,377963,571
13/12/2021,463208,570
14/12/2021,611976,569
15/12/2021,684852,568
16/12/2021,807047,567
17/12/2021,808031,566
18/12/2021,906656,565
19/12/2021,792629,564
20/12/2021,834540,563
21/12/2021,893992,562
22/12/2021,778244,561
23/12/2021,562336,560
24/12/2021,177682,559
25/12/2021,12348,558
26/12/2021,24078,557
27/12/2021,244078,556
28/12/2021,306574,555
29/12/2021,414816,554
30/12/2021,390719,553
31/12/2021,172582,552
01/01/2022,22762,551
02/01/2022,130808,550
03/01/2022,156762,549
04/01/2022,242661,548
05/01/2022,251822,547
06/01/2022,235617,546
07/01/2022,228965,545
08/01/2022,277258,544
09/01/2022,154810,543
10/01/2022,153424,542
11/01/2022,148225,541
12/01/2022,138342,540
13/01/2022,131872,539
14/01/2022,129165,538
15/01/2022,154715,537
16/01/2022,85363,536
17/01/2022,90419,535
18/01/2022,98830,534
19/01/2022,91919,533
20/01/2022,91441,532
21/01/2022,102457,531
22/01/2022,117672,530
23/01/2022,66806,529
24/01/2022,84418,528
25/01/2022,80009,527
26/01/2022,84931,526
27/01/2022,82765,525
28/01/2022,90167,524
29/01/2022,97226,523
30/01/2022,59491,522
31/01/2022,62704,521
01/02/2022,64940,520
02/02/2022,65923,519
03/02/2022,65781,518
04/02/2022,70083,517
05/02/2022,69301,516
06/02/2022,35031,515
07/02/2022,54022,514
08/02/2022,56404,513
09/02/2022,57195,512
10/02/2022,58602,511
11/02/2022,65177,510
12/02/2022,70975,509
13/02/2022,31272,508
14/02/2022,45364,507
15/02/2022,49764,506
16/02/2022,55019,505
17/02/2022,51731,504
18/02/2022,35241,503
19/02/2022,51772,502
20/02/2022,23914,501
21/02/2022,40213,500
22/02/2022,44946,499
23/02/2022,45518,498
24/02/2022,40991,497
25/02/2022,42496,496
26/02/2022,49195,495
27/02/2022,24920,494
28/02/2022,35124,493
01/03/2022,34558,492
02/03/2022,37120,491
03/03/2022,47814,490
04/03/2022,39383,489
05/03/2022,45692,488
06/03/2022,22084,487
07/03/2022,30120,486
08/03/2022,31341,485
09/03/2022,264614,484
10/03/2022,35116,483
11/03/2022,37807,482
12/03/2022,48946,481
13/03/2022,24322,480
14/03/2022,31412,479
15/03/2022,34827,478
16/03/2022,35151,477
17/03/2022,32324,476
18/03/2022,34596,475
19/03/2022,44611,474
20/03/2022,21411,473
21/03/2022,232934,472
22/03/2022,67113,471
23/03/2022,85990,470
24/03/2022,87652,469
25/03/2022,98567,468
26/03/2022,102667,467
27/03/2022,38785,466
28/03/2022,84720,465
29/03/2022,97449,464
30/03/2022,110314,463
31/03/2022,115629,462
01/04/2022,112300,461
02/04/2022,136028,460
03/04/2022,57928,459
04/04/2022,101691,458
05/04/2022,113557,457
06/04/2022,125356,456
07/04/2022,127136,455
08/04/2022,133021,454
09/04/2022,184349,453
10/04/2022,72433,452
11/04/2022,109735,451
12/04/2022,132340,450
13/04/2022,142892,449
14/04/2022,137539,448
15/04/2022,45372,447
16/04/2022,82061,446
17/04/2022,17458,445
18/04/2022,22855,444
19/04/2022,108817,443
20/04/2022,127222,442
21/04/2022,125642,441
22/04/2022,116476,440
23/04/2022,203840,439
24/04/2022,65829,438
25/04/2022,92660,437
26/04/2022,109740,436
27/04/2022,118542,435
28/04/2022,112244,434
29/04/2022,106642,433
30/04/2022,134507,432
01/05/2022,39641,431
02/05/2022,17662,430
03/05/2022,74293,429
04/05/2022,98480,428
05/05/2022,88642,427
06/05/2022,88866,426
07/05/2022,122347,425
08/05/2022,39978,424
09/05/2022,67725,423
10/05/2022,81472,422
11/05/2022,82002,421
12/05/2022,81550,420
13/05/2022,69045,419
14/05/2022,88668,418
15/05/2022,33798,417
16/05/2022,53252,416
17/05/2022,62932,415
18/05/2022,63269,414
19/05/2022,67859,413
20/05/2022,58966,412
21/05/2022,81292,411
22/05/2022,24105,410
23/05/2022,46699,409
24/05/2022,54864,408
25/05/2022,54630,407
26/05/2022,75475,406
27/05/2022,49225,405
28/05/2022,57836,404
29/05/2022,22595,403
30/05/2022,43053,402
31/05/2022,50284,401
01/06/2022,45123,400
02/06/2022,8221,399
03/06/2022,4710,398
04/06/2022,22842,397
05/06/2022,8697,396
06/06/2022,28798,395
