"","y.np","y.time","y.value","S.np","S.time","S.value","E.np","E.time","E.value","I.np","I.time","I.value","R.np","R.time","R.value","x.np","x.time","x.value","Z.np","Z.time","Z.value","k.np","k.value","gamma.np","gamma.value","sigma.np","sigma.value","E0.np","E0.value","I0.np","I0.value","R0.np","R0.value","x0.np","x0.value","tau.np","tau.value","clock","e.np","e.time","e.value","loglikelihood.np","loglikelihood.value","logprior.np","logprior.value"
"1",0,7,18.2742255093145,0,7,53325156,0,7,16.9302730560303,0,7,80.8258285522461,0,7,2651919.75,0,7,0.481506943702698,0,7,94.1940536499023,0,1.79549050331116,0,11.9011850357056,0,0.120443433523178,0,-14.3289804458618,0,-14.5128746032715,0,0.0473741181194782,0,0.657452523708344,0,0.124734468758106,10884,0,7,0.893501043319702,0,-622.311218261719,0,-9.59106254577637
"2",0,14,7.99867534482754,0,14,53325116,0,14,6.92170572280884,0,14,72.5883102416992,0,14,2651972.75,0,14,0.19667761027813,0,14,43.0990333557129,1,1.78512024879456,1,11.736403465271,1,0.119796834886074,1,-14.2725219726562,1,-14.5295667648315,1,0.0455210097134113,1,0.645532071590424,1,0.122593082487583,10884,0,14,-1.11870944499969,1,-620.795288085938,1,-9.59492492675781
"3",0,21,7.593672271881,0,21,53325056,0,21,21.5609188079834,0,21,68.0134048461914,0,21,2652017,0,21,0.696984469890594,0,21,37.8792991638184,2,1.89478957653046,2,11.6389331817627,2,0.120999976992607,2,-14.2455615997314,2,-14.4116153717041,2,0.0324747674167156,2,0.65931236743927,2,0.124444901943207,10884,0,21,-0.316841959953308,2,-619.881591796875,2,-9.64061832427979
"4",0,28,52.1334030080982,0,28,53324612,0,28,158.091201782227,0,28,253.799011230469,0,28,2652132.75,0,28,0.753452241420746,0,28,268.928894042969,3,1.89929699897766,3,11.5854902267456,3,0.122168280184269,3,-14.3019981384277,3,-14.3134098052979,3,0.0371954999864101,3,0.672328352928162,3,0.119577802717686,10884,0,28,-0.483755588531494,3,-619.37158203125,3,-9.61507415771484
"5",0,35,276.140784519883,0,35,53322188,0,35,880.922973632812,0,35,1316.81750488281,0,35,2652732,0,35,0.940522193908691,0,35,1478.04626464844,4,1.75120532512665,4,11.8279714584351,4,0.121812678873539,4,-14.2147550582886,4,-14.474100112915,4,0.0674720928072929,4,0.696757793426514,4,0.132711857557297,10884,0,35,1.40022158622742,4,-621.225524902344,4,-9.51197338104248
"6",0,42,2448.85007316149,0,42,53301868,0,42,6670.5576171875,0,42,10858.6103515625,0,42,2657430.75,0,42,0.782993674278259,0,42,12625.2041015625,5,1.83052396774292,5,11.8492240905762,5,0.122326098382473,5,-14.184889793396,5,-14.3820915222168,5,0.0622489489614964,5,0.716461360454559,5,0.134826719760895,10884,0,42,0.713617920875549,5,-621.516052246094,5,-9.5205078125
"7",0,49,9422.02949969619,0,49,53253740,0,49,12811.3583984375,0,49,33006.44921875,0,49,2675924,0,49,0.709610521793365,0,49,36482.1015625,6,1.71600234508514,6,11.9295883178711,6,0.122753955423832,6,-14.2281904220581,6,-14.4286479949951,6,0.0530739836394787,6,0.734884321689606,6,0.122103556990623,10884,0,49,0.840543746948242,6,-619.868225097656,6,-9.57941246032715
"8",0,56,15033.9185154188,0,56,53147096,0,56,34076.2421875,0,56,74900.9375,0,56,2716380.25,0,56,0.570020794868469,0,56,74188.1328125,7,1.807990193367,7,11.7747583389282,7,0.123685605823994,7,-14.1905136108398,7,-14.4411945343018,7,0.0516130179166794,7,0.823144733905792,7,0.129194527864456,10884,0,56,-1.89906740188599,7,-621.663635253906,7,-9.56514739990234
"9",0,63,27736.9182191295,0,63,53022760,0,63,24882.671875,0,63,122416.421875,0,63,2795964.75,0,63,0.465623587369919,0,63,116023.8515625,8,1.82597470283508,8,11.9091901779175,8,0.123214423656464,8,-14.1475105285645,8,-14.3463315963745,8,0.0664034783840179,8,0.902401745319366,8,0.118088364601135,10884,0,63,0.059057705104351,8,-620.780883789062,8,-9.50807857513428
"10",0,70,26237.8072125653,0,70,52888228,0,70,31035.6953125,0,70,146572.5625,0,70,2891989,0,70,0.521332621574402,0,70,111550.96875,9,1.87384617328644,9,12.0109720230103,9,0.123373679816723,9,-14.1521844863892,9,-14.4119148254395,9,0.0663806274533272,9,0.925957143306732,9,0.114391461014748,10884,0,70,0.262980341911316,9,-622.158996582031,9,-9.50655078887939
