"","np","time","value","q025","q25","q50","q75","q975","E"
"43",0,301,5.29609044336646e-16,5.24484759703553e-16,5.24484759703553e-16,5.270469020201e-16,5.6930648748936e-16,5.82538968540265e-16,6.10208389139288e-16
"44",0,308,1.91609771453008e-16,1.71601212112527e-16,1.71601212112527e-16,1.72974881177291e-16,1.74348550242056e-16,1.91609771453008e-16,1.96554502038547e-16
"45",0,315,7.78451204144182e-17,7.57344731285381e-17,7.62621349500081e-17,7.99538387151098e-17,8.20625570158014e-17,8.20625570158014e-17,8.6088814648515e-17
"46",0,322,3.62326350296356e-17,3.54560811792933e-17,3.55458583998961e-17,3.58151900617046e-17,3.58151900617046e-17,3.62326350296356e-17,3.63634422510326e-17
"47",0,329,1.92559804930138e-17,1.77572764612167e-17,1.77572764612167e-17,1.80410085103092e-17,1.83247405594016e-17,1.92559804930138e-17,2.05710479947139e-17
"48",0,336,9.28687998704411e-18,8.29329793220563e-18,8.54169344591525e-18,9.47218002478457e-18,9.65748006252502e-18,9.65748006252502e-18,9.45709731646009e-18
"49",0,343,4.55688215986328e-18,4.55688215986328e-18,4.60085590840721e-18,4.74856451641504e-18,4.89627312442287e-18,4.89627312442287e-18,5.09914079040015e-18
"50",0,350,2.02062894212872e-18,1.9686038310925e-18,1.9686038310925e-18,1.99461638661061e-18,2.19007932045325e-18,2.24656277989477e-18,1.86003729409697e-18
"51",0,357,1.13831591456842e-18,1.08538576454449e-18,1.08538576454449e-18,1.11185083955645e-18,1.18734505497415e-18,1.20368810177606e-18,1.29790161488728e-18
"52",0,364,9.14792584504924e-19,5.67247531960729e-19,6.54133795096778e-19,9.64627062785158e-19,1.01446154106539e-18,1.01446154106539e-18,6.66910575578102e-19
"53",1,7,581.388122558594,581.388122558594,618.9189453125,618.9189453125,638.780624389648,645.401184082031,556.147083549694
"54",1,14,595.127502441406,595.127502441406,612.493957519531,633.84912109375,655.204284667969,655.204284667969,650.415391667536
"55",1,21,820.751586914062,800.400573730469,805.488327026367,822.014495849609,823.277404785156,823.277404785156,795.05585001151
"56",1,28,1717.32934570312,1717.32934570312,1797.80749511719,1967.63690185547,2137.46630859375,2137.46630859375,1675.15068880155
"57",1,35,2605.09448242188,2605.09448242188,2970.42749023438,3116.32543945312,3262.22338867188,3262.22338867188,2680.4274676858
"58",1,42,4493.2255859375,3691.89306640625,3691.89306640625,4092.55932617188,4646.84155273438,4698.046875,3868.05661304279
"59",1,49,7749.03759765625,7706.58447265625,7717.19775390625,7874.07348632812,7999.109375,7999.109375,6714.69917163104
"60",1,56,17561.62109375,14531.8408203125,14977.2202148438,16313.3583984375,16313.3583984375,17561.62109375,14507.19532492
