"","time","S","E","I","R"
"289",289,39680884.5884316,6.54061644737995e-05,0.000401190261256239,16319115.4111018
"290",290,39680884.588423,6.1700700226467e-05,0.000378461575418519,16319115.4111369
"291",291,39680884.5884148,5.82051621449535e-05,0.00035702054087545,16319115.41117
"292",292,39680884.588407,5.49076572537948e-05,0.000336794208145295,16319115.4112013
"293",293,39680884.5883997,5.17969663518834e-05,0.000317713760563079,16319115.4112308
"294",294,39680884.5883929,4.88625058410371e-05,0.000299714280143575,16319115.4112586
"295",295,39680884.5883864,4.60942917170991e-05,0.000282734526708874,16319115.4112848
"296",296,39680884.5883803,4.34829056010557e-05,0.00026671672952908,16319115.4113096
"297",297,39680884.5883745,4.10194626945968e-05,0.000251606390767209,16319115.4113329
"298",298,39680884.588369,3.8695581551096e-05,0.000237352100059546,16319115.4113549
"299",299,39680884.5883639,3.65033555591581e-05,0.000223905359600611,16319115.4113757
"300",300,39680884.5883591,3.44353260417147e-05,0.00021122041913761,16319115.4113953
"301",301,39680884.5883545,3.24844568791388e-05,0.000199254120312959,16319115.4114138
"302",302,39680884.5883502,3.06441105700411e-05,0.000187965749825303,16319115.4114312
"303",303,39680884.5883461,2.89080256482963e-05,0.000177316900909418,16319115.4114477
"304",304,39680884.5883423,2.72702953044462e-05,0.000167271342203545,16319115.4114632
"305",305,39680884.5883386,2.572535411723e-05,0.000157794936362872,16319115.4114779
"306",306,39680884.5883352,2.42679437368357e-05,0.000148855429566454,16319115.4114917
"307",307,39680884.588332,2.28931001983299e-05,0.000140422373699963,16319115.4115047
"308",308,39680884.588329,2.15961451735988e-05,0.000132467072696586,16319115.411517
"309",309,39680884.5883261,2.037266610346e-05,0.000124962460670792,16319115.4115286
"310",310,39680884.5883234,1.92185003776078e-05,0.000117883004880821,16319115.4115395
"311",311,39680884.5883208,1.81297212102169e-05,0.000111204619092044,16319115.4115498
"312",312,39680884.5883184,1.710262427884e-05,0.000104904581622246,16319115.4115596
"313",313,39680884.5883162,1.61337151207254e-05,9.89614580327861e-05,16319115.4115688
"314",314,39680884.588314,1.52196972437323e-05,9.33550282029842e-05,16319115.4115774
"315",315,39680884.588312,1.43574609107697e-05,8.8066217535782e-05,16319115.4115856
"316",316,39680884.5883101,1.35440725596255e-05,8.30770320607798e-05,16319115.4115933
"317",317,39680884.5883083,1.27767648221907e-05,7.83704972138624e-05,16319115.4116006
"318",318,39680884.5883066,1.20529271091214e-05,7.39306000851215e-05,16319115.4116074
"319",319,39680884.588305,1.13700967279047e-05,6.97422349385878e-05,16319115.4116139
"320",320,39680884.5883035,1.07259505041098e-05,6.57911518184136e-05,16319115.41162
"321",321,39680884.5883021,1.01182968773174e-05,6.20639080666536e-05,16319115.4116258
"322",322,39680884.5883007,9.54506844483559e-06,5.85478225876906e-05,16319115.4116312
"323",323,39680884.5882995,9.00431492783474e-06,5.52309327037048e-05,16319115.4116363
"324",324,39680884.5882983,8.4941965359688e-06,5.21019534543942e-05,16319115.4116412
"325",325,39680884.5882971,8.01297770790882e-06,4.91502392024748e-05,16319115.4116457
"326",326,39680884.5882961,7.55902120649194e-06,4.63657474143311e-05,16319115.41165
"327",327,39680884.5882951,7.13078254839572e-06,4.37390044925892e-05,16319115.4116541
"328",328,39680884.5882941,6.7268047493864e-06,4.12610735443654e-05,16319115.4116579
"329",329,39680884.5882932,6.34571336726273e-06,3.8923523975529e-05,16319115.4116615
"330",330,39680884.5882924,5.98621182563026e-06,3.67184028075317e-05,16319115.4116649
"331",331,39680884.5882916,5.64707700259623e-06,3.46382076192143e-05,16319115.4116681
"332",332,39680884.5882908,5.32715506937668e-06,3.26758610215319e-05,16319115.4116712
"333",333,39680884.5882901,5.02535756465748e-06,3.08246865783545e-05,16319115.411674
"334",334,39680884.5882895,4.7406576913533e-06,2.90783860914176e-05,16319115.4116767
"335",335,39680884.5882888,4.47208682316499e-06,2.74310181721413e-05,16319115.4116793
"336",336,39680884.5882882,4.21872834548778e-06,2.58769604628109e-05,16319115.4116817
"337",337,39680884.5882877,3.97967363686271e-06,2.44106396343049e-05,16319115.411684
"338",338,39680884.5882872,3.75415102991406e-06,2.30273224104992e-05,16319115.4116861
"339",339,39680884.5882867,3.54140873764533e-06,2.17223974581262e-05,16319115.4116881
"340",340,39680884.5882862,3.34072225546834e-06,2.04914207895593e-05,16319115.41169
"341",341,39680884.5882857,3.15140838412671e-06,1.9330201777035e-05,16319115.4116918
"342",342,39680884.5882853,2.97282265451727e-06,1.82347873569463e-05,16319115.4116935
"343",343,39680884.5882849,2.80435711846431e-06,1.72014484788291e-05,16319115.4116951
"344",344,39680884.5882846,2.64543827931786e-06,1.6226667412004e-05,16319115.4116966
"345",345,39680884.5882842,2.49552513964916e-06,1.53071257704744e-05,16319115.411698
"346",346,39680884.5882839,2.35410735956692e-06,1.44396932163512e-05,16319115.4116994
"347",347,39680884.5882836,2.22070351939924e-06,1.36214168034409e-05,16319115.4117006
"348",348,39680884.5882833,2.09485948082686e-06,1.28495109247158e-05,16319115.4117018
"349",349,39680884.588283,1.97614684088854e-06,1.2121347829447e-05,16319115.4117029
"350",350,39680884.5882827,1.86416147359582e-06,1.14344486777172e-05,16319115.411704
"351",351,39680884.5882825,1.7585221541922e-06,1.07864751018623e-05,16319115.411705
"352",352,39680884.5882822,1.65886926137368e-06,1.01752212461123e-05,16319115.411706
"353",353,39680884.588282,1.56486355305253e-06,9.59860625733557e-06,16319115.4117068
"354",354,39680884.5882818,1.47618501149673e-06,9.054667201321e-06,16319115.4117077
"355",355,39680884.5882816,1.39253175391367e-06,8.54155238048417e-06,16319115.4117085
"356",356,39680884.5882814,1.31361900476956e-06,8.05751503024959e-06,16319115.4117092
"357",357,39680884.5882813,1.23917812634591e-06,7.60090737264971e-06,16319115.4117099
"358",358,39680884.5882811,1.16895570423303e-06,7.17017500689776e-06,16319115.4117106
"359",359,39680884.5882809,1.10271268464725e-06,6.76385161783882e-06,16319115.4117112
"360",360,39680884.5882808,1.04022356063514e-06,6.38055398426509e-06,16319115.4117118
"361",361,39680884.5882807,9.81275604394323e-07,6.01897727010282e-06,16319115.4117124
"362",362,39680884.5882805,9.25668143097603e-07,5.67789058244073e-06,16319115.4117129
"363",363,39680884.5882804,8.73211875755027e-07,5.35613278127859e-06,16319115.4117134
"364",364,39680884.5882803,8.2372822878842e-07,5.05260852673114e-06,16319115.4117139
