"","time","t","S","E","I","R"
"182",182,182,1880751.05396035,0.0286605634923617,1.5023406990325,50315628.4150384
"183",183,183,1880751.04865988,0.0255277651793012,1.33781211635303,50315628.5880002
"184",184,184,1880751.04435664,0.0223854720596028,1.19126221274845,50315628.7419956
"185",185,185,1880751.04064677,0.0195815586484734,1.06069558385898,50315628.8790761
"186",186,186,1880751.0372387,0.0172689651048324,0.944391901597919,50315629.0011004
"187",187,187,1880751.03412737,0.0153152071808929,0.840823865432086,50315629.1097335
"188",188,188,1880751.03138254,0.0135804879428454,0.748595403917267,50315629.2064415
"189",189,189,1880751.02864245,0.0122995457263975,0.666503791770375,50315629.2925542
"190",190,190,1880751.0261498,0.0111431698402555,0.593456229187925,50315629.3692508
"191",191,191,1880751.0240722,0.00994121263519632,0.528432654709403,50315629.4375539
"192",192,192,1880751.02231151,0.00879245865618296,0.470526835311,50315629.4983692
"193",193,193,1880751.02069966,0.00782607222325674,0.418958919501205,50315629.5525153
"194",194,194,1880751.01915349,0.00705792897070726,0.373054170032926,50315629.6007344
"195",195,195,1880751.01779693,0.00633269131120201,0.332191816804457,50315629.6436785
"196",196,196,1880751.01660061,0.0056653196831286,0.295811259142218,50315629.6819228
"197",197,197,1880751.01551588,0.00507910132846735,0.263421901682643,50315629.7159831
"198",198,198,1880751.01459998,0.00450313579214431,0.234581235006464,50315629.7463156
"199",199,199,1880751.01386802,0.00392764055333692,0.20888524120102,50315629.7733191
"200",200,200,1880751.01316159,0.00348416938297825,0.185995421750148,50315629.7973588
"201",201,201,1880751.01249846,0.00311900003508847,0.165616663393443,50315629.8187659
"202",202,202,1880751.01197123,0.00273651667222436,0.147467003111816,50315629.8378252
"203",203,203,1880751.01151644,0.00239391805557666,0.13129868147408,50315629.8547909
"204",204,204,1880751.01113576,0.0020795457051885,0.116894008538095,50315629.8698907
"205",205,205,1880751.01080814,0.0018050273276814,0.104059563005357,50315629.8833273
"206",206,206,1880751.01048801,0.00159707158993092,0.092629546038159,50315629.8952854
"207",207,207,1880751.01019362,0.00142192374965303,0.0824547151578296,50315629.9059297
"208",208,208,1880751.00995019,0.00124949617030348,0.073396226266847,50315629.9154041
"209",209,209,1880751.00976128,0.001077279708619,0.065327385921008,50315629.923834
"210",210,210,1880751.00958933,0.000937166219606275,0.0581399347284171,50315629.9313336
"211",211,211,1880751.00941761,0.000833549232409796,0.0517418689070066,50315629.938007
"212",212,212,1880751.00927397,0.000733339427750769,0.0460471513519767,50315629.9439455
"213",213,213,1880751.00916163,0.000633336428328056,0.0409763429418733,50315629.9492287
"214",214,214,1880751.00906759,0.000544629102696802,0.0364601705909909,50315629.9539276
"215",215,215,1880751.00898296,0.000471386697266728,0.0324388965529024,50315629.9581067
"216",216,216,1880751.00891174,0.000406471693140411,0.0288585121512056,50315629.9618233
"217",217,217,1880751.00884571,0.00035428182041699,0.0256715689848805,50315629.9651284
"218",218,218,1880751.00879006,0.000307216858214681,0.0228350853671395,50315629.9680676
"219",219,219,1880751.0087414,0.000266759579857062,0.0203106477218448,50315629.9706812
"220",220,220,1880751.00869818,0.000232501553004204,0.0180642095465299,50315629.9730051
"221",221,221,1880751.00865857,0.000204290414313528,0.0160655870557425,50315629.9750715
"222",222,222,1880751.00862308,0.000180079014849328,0.0142877160096247,50315629.9769091
"223",223,223,1880751.00859146,0.000159019271195509,0.0127063364657795,50315629.9785432
"224",224,224,1880751.00856283,0.000141106535022494,0.0112998039896439,50315629.9799963
"225",225,225,1880751.00853439,0.000127818116067506,0.0100491766778147,50315629.9812886
"226",226,226,1880751.00850672,0.000117335300841071,0.00893759883926411,50315629.9824383
"227",227,227,1880751.00848265,0.000106575376337211,0.00794952216721661,50315629.9834613
"228",228,228,1880751.0084616,9.61347602639986e-05,0.007070985028301,50315629.9843713
"229",229,229,1880751.00844214,8.71156028068459e-05,0.00628982357047096,50315629.9851809
"230",230,230,1880751.00842478,7.86495202106824e-05,0.00559525965346223,50315629.9859013
"231",231,231,1880751.00841103,6.93971296690683e-05,0.00497740848667474,50315629.9865422
"232",232,232,1880751.00839914,6.10091140898034e-05,0.00442766613060872,50315629.9871122
"233",233,233,1880751.00838904,5.33631136025197e-05,0.00393846925807047,50315629.9876191
"234",234,234,1880751.00837995,4.68552529842991e-05,0.00350320690515477,50315629.98807
"235",235,235,1880751.00837274,4.05142934705079e-05,0.00311585066564922,50315629.9884709
"236",236,236,1880751.0083659,3.55634583669338e-05,0.00277117119427794,50315629.9888274
"237",237,237,1880751.0083592,3.17980822864417e-05,0.00246460287123283,50315629.9891444
"238",238,238,1880751.00835307,2.85364385029409e-05,0.00219200347221316,50315629.9894264
"239",239,239,1880751.00834797,2.52838646702445e-05,0.00194955619157876,50315629.9896772
"240",240,240,1880751.00834326,2.25583232420906e-05,0.00173392719323877,50315629.9899002
"241",241,241,1880751.00833909,2.01000578568992e-05,0.00154215906009912,50315629.9900986
"242",242,242,1880751.00833546,1.7828188867058e-05,0.00137159843963356,50315629.9902751
"243",243,243,1880751.0083323,1.57783084322714e-05,0.00121988544821374,50315629.990432
"244",244,244,1880751.00832935,1.40842140547927e-05,0.00108495259387419,50315629.9905716
"245",245,245,1880751.00832668,1.26078344829559e-05,0.000964960962393307,50315629.9906958
"246",246,246,1880751.0083244,1.1183064438543e-05,0.00085824366174687,50315629.9908062
"247",247,247,1880751.00832247,9.84682509965747e-06,0.000763315803731755,50315629.9909044
"248",248,248,1880751.00832082,8.63458013672659e-06,0.000678863685203541,50315629.9909917
"249",249,249,1880751.00831927,7.65677132660175e-06,0.000603741687138087,50315629.9910693
"250",250,250,1880751.00831782,6.84586720946005e-06,0.000536937888930377,50315629.9911384
"251",251,251,1880751.00831663,6.03532565813372e-06,0.000477522665662759,50315629.9911998
"252",252,252,1880751.0083156,5.29960252855082e-06,0.000424669730617382,50315629.9912544
"253",253,253,1880751.00831469,4.66905165044605e-06,0.000377656186687598,50315629.991303
"254",254,254,1880751.00831385,4.13760090280597e-06,0.00033584116795081,50315629.9913462
"255",255,255,1880751.00831307,3.70022755161945e-06,0.000298658885958938,50315629.9913846
"256",256,256,1880751.00831242,3.26911656265521e-06,0.000265591499291896,50315629.9914187
"257",257,257,1880751.00831182,2.90901858436103e-06,0.000236183562994891,50315629.9914491
"258",258,258,1880751.00831126,2.60974733852607e-06,0.000210034215697314,50315629.9914761
"259",259,259,1880751.00831073,2.36506035977366e-06,0.000186786317240526,50315629.9915001
"260",260,260,1880751.00831023,2.16764240705538e-06,0.000166122247258943,50315629.9915215
"261",261,261,1880751.00830975,1.99628681270683e-06,0.000147756858936262,50315629.9915405
