"","time","t","S","E","I","R"
"177",177,177,7077265.79448152,0.00103030179357439,0.00314999180204419,45119115.2013384
"178",178,178,7077265.79428277,0.000898950362079861,0.00268061899950722,45119115.2021378
"179",179,179,7077265.79410206,0.000790691994542324,0.00228417644614854,45119115.2028233
"180",180,180,7077265.79393839,0.000699460643336167,0.0019496138435937,45119115.2034127
"181",181,181,7077265.79379307,0.000619061909656321,0.0016671493781549,45119115.2039209
"182",182,182,7077265.7936673,0.00054538202918284,0.00142802934287305,45119115.2043595
"183",183,183,7077265.79355829,0.000478946204598815,0.00122493624040333,45119115.204738
"184",184,184,7077265.79346308,0.000420240573573606,0.00105198616135165,45119115.2050649
"185",185,185,7077265.79337627,0.000371576672073957,0.000904698013334572,45119115.2053476
"186",186,186,7077265.7932943,0.00033306205372968,0.000779515343456553,45119115.2055933
"187",187,187,7077265.79322012,0.000299066534612251,0.000673282015476961,45119115.2058077
"188",188,188,7077265.79315344,0.000268500145110965,0.000583008480294083,45119115.2059952
"189",189,189,7077265.79309339,0.000241252929615378,0.000505980737878591,45119115.2061596
"190",190,190,7077265.79304129,0.000215165554102248,0.000440020412993675,45119115.2063037
"191",191,191,7077265.79299546,0.000191341183249902,0.000383306282217279,45119115.2064301
"192",192,192,7077265.79295386,0.000170937119992841,0.000334384091690264,45119115.206541
"193",193,193,7077265.79291636,0.000152993486611188,0.000292200611163454,45119115.2066386
"194",194,194,7077265.79288443,0.000135487794079494,0.000255714940524902,45119115.2067246
"195",195,195,7077265.79285718,0.000119056620109301,0.000223877414923706,45119115.2068001
"196",196,196,7077265.7928341,0.00010398584406176,0.000196088785401799,45119115.206866
"197",197,197,7077265.79281405,9.06618690350595e-05,0.000171628395575219,45119115.2069239
"198",198,198,7077265.79279539,8.00391079264068e-05,0.000150251006563548,45119115.2069745
"199",199,199,7077265.79277859,7.09732057120553e-05,0.000131612243259693,45119115.207019
"200",200,200,7077265.79276438,6.23409891916332e-05,0.000115351539977694,45119115.2070581
"201",201,201,7077265.79275218,5.45032104058219e-05,0.000101119040214794,45119115.2070924
"202",202,202,7077265.79274105,4.8043628682498e-05,8.86534450150313e-05,45119115.2071224
"203",203,203,7077265.79273068,4.28392863489844e-05,7.77784768998728e-05,45119115.2071489
"204",204,204,7077265.79272163,3.80393641996945e-05,6.83017090257587e-05,45119115.2071722
"205",205,205,7077265.79271367,3.37007712436116e-05,6.00370504045034e-05,45119115.2071928
"206",206,206,7077265.79270625,3.01598333359219e-05,5.28280954725399e-05,45119115.207211
"207",207,207,7077265.79269953,2.70792427564404e-05,4.65439279716695e-05,45119115.207227
"208",208,208,7077265.79269332,2.44488677515326e-05,4.10818468636336e-05,45119115.2072413
"209",209,209,7077265.79268793,2.18978411399039e-05,3.63123228206119e-05,45119115.2072541
"210",210,210,7077265.79268326,1.94760662029804e-05,3.21279757862401e-05,45119115.2072653
"211",211,211,7077265.79267892,1.74790811124156e-05,2.84514906645482e-05,45119115.2072754
"212",212,212,7077265.79267495,1.57530206534411e-05,2.52228775534392e-05,45119115.2072843
"213",213,213,7077265.79267143,1.41527685770173e-05,2.23892924589536e-05,45119115.2072922
"214",214,214,7077265.7926683,1.26795774305726e-05,1.98943491242985e-05,45119115.2072993
"215",215,215,7077265.79266543,1.14174557861872e-05,1.76948832616369e-05,45119115.2073057
"216",216,216,7077265.79266284,1.02888569991572e-05,1.57542786876602e-05,45119115.2073113
"217",217,217,7077265.7926605,9.27029692650761e-06,1.40421598692952e-05,45119115.2073164
"218",218,218,7077265.79265841,8.34796041842733e-06,1.2528189946778e-05,45119115.2073209
"219",219,219,7077265.79265655,7.49026120566776e-06,1.11849357878229e-05,45119115.207325
"220",220,220,7077265.79265493,6.68335573251647e-06,9.98805257139392e-06,45119115.2073286
"221",221,221,7077265.79265346,5.979487261147e-06,8.92041385937663e-06,45119115.2073319
"222",222,222,7077265.79265209,5.39320482150333e-06,7.97054290093085e-06,45119115.2073347
"223",223,223,7077265.79265087,4.86257028989442e-06,7.12694791843033e-06,45119115.2073373
"224",224,224,7077265.79264979,4.35963110902796e-06,6.37638103842181e-06,45119115.2073397
"225",225,225,7077265.79264887,3.87212816207533e-06,5.70380943178416e-06,45119115.2073418
"226",226,226,7077265.79264811,3.38433519604347e-06,5.09519413642702e-06,45119115.2073436
"227",227,227,7077265.79264747,2.94154346262411e-06,4.54219536152416e-06,45119115.2073452
"228",228,228,7077265.7926469,2.56662692981949e-06,4.04045135576403e-06,45119115.2073467
"229",229,229,7077265.79264638,2.25415701750671e-06,3.58863222151962e-06,45119115.207348
"230",230,230,7077265.79264592,1.98943221219041e-06,3.18474822466232e-06,45119115.2073491
"231",231,231,7077265.79264552,1.75053221126937e-06,2.82454098894962e-06,45119115.2073501
"232",232,232,7077265.79264517,1.53999676628661e-06,2.50367340197739e-06,45119115.207351
"233",233,233,7077265.79264484,1.36636161301981e-06,2.2186679943442e-06,45119115.2073518
"234",234,234,7077265.79264453,1.23311399256059e-06,1.96758443558893e-06,45119115.2073525
"235",235,235,7077265.79264424,1.12264851350276e-06,1.74792914262579e-06,45119115.2073531
"236",236,236,7077265.79264397,1.01781628940224e-06,1.55587891453449e-06,45119115.2073536
"237",237,237,7077265.79264374,9.18242163860544e-07,1.38711882098222e-06,45119115.2073541
"238",238,238,7077265.79264353,8.28299901746025e-07,1.23804517095656e-06,45119115.2073546
"239",239,239,7077265.79264333,7.55205660289861e-07,1.10661240308245e-06,45119115.207355
"240",240,240,7077265.79264315,6.87419880489693e-07,9.90671238504594e-07,45119115.2073553
"241",241,241,7077265.792643,6.21226475181846e-07,8.88075683908394e-07,45119115.2073557
"242",242,242,7077265.79264286,5.55674982002931e-07,7.9638320981859e-07,45119115.207356
"243",243,243,7077265.79264274,4.92100581231613e-07,7.13693320788708e-07,45119115.2073562
"244",244,244,7077265.79264264,4.34727818423948e-07,6.38837175832145e-07,45119115.2073565
"245",245,245,7077265.79264255,3.87015041736466e-07,5.71311291206547e-07,45119115.2073567
"246",246,246,7077265.79264246,3.49836171019909e-07,5.1101676059802e-07,45119115.2073568
"247",247,247,7077265.79264238,3.16533621662196e-07,4.57465884474679e-07,45119115.207357
"248",248,248,7077265.79264231,2.85205294662064e-07,4.09918557682919e-07,45119115.2073572
"249",249,249,7077265.79264224,2.5971041972326e-07,3.67751920108206e-07,45119115.2073573
"250",250,250,7077265.79264218,2.3703047086174e-07,3.30352369619645e-07,45119115.2073574
"251",251,251,7077265.79264212,2.1745592266809e-07,2.97325055461598e-07,45119115.2073575
"252",252,252,7077265.79264206,2.00887710028164e-07,2.68199451838583e-07,45119115.2073576
"253",253,253,7077265.79264201,1.85208614568306e-07,2.42468509579406e-07,45119115.2073577
"254",254,254,7077265.79264196,1.71311930311539e-07,2.19721418396828e-07,45119115.2073578
"255",255,255,7077265.79264192,1.58588775987398e-07,1.99534054389224e-07,45119115.2073579
"256",256,256,7077265.79264188,1.462294083834e-07,1.81519730662428e-07,45119115.207358
"257",257,257,7077265.79264185,1.34485156113093e-07,1.65321172005879e-07,45119115.207358
"258",258,258,7077265.79264181,1.22675904593204e-07,1.50173588978758e-07,45119115.2073581
"259",259,259,7077265.79264178,1.12092182705304e-07,1.374921468822e-07,45119115.2073581
"260",260,260,7077265.79264176,1.01111247519636e-07,1.25702499225523e-07,45119115.2073582
"261",261,261,7077265.79264174,9.19546614081591e-08,1.14866285618627e-07,45119115.2073582
"262",262,262,7077265.79264172,8.42318520515413e-08,1.04988340647627e-07,45119115.2073582
"263",263,263,7077265.7926417,7.77398106163406e-08,9.60486703723145e-08,45119115.2073583
"264",264,264,7077265.79264168,7.24797892632282e-08,8.80308810969015e-08,45119115.2073583
"265",265,265,7077265.79264166,6.84279127517189e-08,8.09185879082972e-08,45119115.2073584
"266",266,266,7077265.79264164,6.50848716532387e-08,7.46392212429027e-08,45119115.2073584
"267",267,267,7077265.79264162,6.24930075183982e-08,6.9137746128822e-08,45119115.2073584
"268",268,268,7077265.7926416,5.92931285463209e-08,6.42079863193337e-08,45119115.2073584
"269",269,269,7077265.79264159,5.57946722059939e-08,5.97159376002953e-08,45119115.2073585
"270",270,270,7077265.79264157,5.21706700119472e-08,5.55711842965746e-08,45119115.2073585
"271",271,271,7077265.79264156,4.90186548570004e-08,5.17695451942791e-08,45119115.2073585
"272",272,272,7077265.79264154,4.66818121650996e-08,4.8348122366017e-08,45119115.2073585
"273",273,273,7077265.79264153,4.49157988743513e-08,4.53087325743001e-08,45119115.2073585
"274",274,274,7077265.79264152,4.35292067493869e-08,4.26302562104184e-08,45119115.2073586
"275",275,275,7077265.7926415,4.27857458847327e-08,4.03263883699268e-08,45119115.2073586
"276",276,276,7077265.79264149,4.11676975018549e-08,3.82290791867695e-08,45119115.2073586
"277",277,277,7077265.79264148,3.96423030817574e-08,3.63136140823914e-08,45119115.2073586
"278",278,278,7077265.79264147,3.81440871386774e-08,3.45518072209644e-08,45119115.2073586
"279",279,279,7077265.79264146,3.66595885118496e-08,3.29187484852599e-08,45119115.2073586
"280",280,280,7077265.79264145,3.57408535875498e-08,3.14590756284807e-08,45119115.2073587
"281",281,281,7077265.79264143,3.51249069173138e-08,3.01786377710488e-08,45119115.2073587
"282",282,282,7077265.79264142,3.42016834576448e-08,2.90101700593011e-08,45119115.2073587
"283",283,283,7077265.79264141,3.30909032044267e-08,2.79121717097928e-08,45119115.2073587
"284",284,284,7077265.79264141,3.15623928370417e-08,2.68231033111354e-08,45119115.2073587
"285",285,285,7077265.7926414,2.99131049963738e-08,2.57271481963148e-08,45119115.2073587
"286",286,286,7077265.79264139,2.82257337610752e-08,2.46209943546474e-08,45119115.2073587
"287",287,287,7077265.79264138,2.65257612572903e-08,2.35049133945331e-08,45119115.2073587
"288",288,288,7077265.79264138,2.49448883394724e-08,2.23946958481159e-08,45119115.2073588
"289",289,289,7077265.79264137,2.37503710749294e-08,2.13349929690867e-08,45119115.2073588
"290",290,290,7077265.79264136,2.27648134807568e-08,2.03417797473794e-08,45119115.2073588
"291",291,291,7077265.79264136,2.15904308770977e-08,1.93812583896021e-08,45119115.2073588
"292",292,292,7077265.79264135,2.02052339222504e-08,1.84228678567598e-08,45119115.2073588
"293",293,293,7077265.79264135,1.90196960711091e-08,1.74898380868036e-08,45119115.2073588
"294",294,294,7077265.79264134,1.75930728820855e-08,1.6549296113826e-08,45119115.2073588
"295",295,295,7077265.79264134,1.61571870841288e-08,1.56014442767197e-08,45119115.2073588
"296",296,296,7077265.79264133,1.46456135373256e-08,1.46385991412594e-08,45119115.2073588
"297",297,297,7077265.79264133,1.32416147167364e-08,1.36760638591235e-08,45119115.2073588
"298",298,298,7077265.79264133,1.2026289712908e-08,1.27360844268304e-08,45119115.2073588
"299",299,299,7077265.79264132,1.08744344613784e-08,1.18222677787512e-08,45119115.2073588
"300",300,300,7077265.79264132,9.89187753980126e-09,1.09501060160334e-08,45119115.2073589
"301",301,301,7077265.79264132,8.99406409488819e-09,1.01224226981914e-08,45119115.2073589
"302",302,302,7077265.79264132,8.16458984233919e-09,9.33961502082353e-09,45119115.2073589
"303",303,303,7077265.79264132,7.41862561350029e-09,8.60380464953741e-09,45119115.2073589
"304",304,304,7077265.79264131,6.750400614065e-09,7.91606485844694e-09,45119115.2073589
"305",305,305,7077265.79264131,6.22769809497348e-09,7.28529495728658e-09,45119115.2073589
"306",306,306,7077265.79264131,5.78202919904943e-09,6.7107629093908e-09,45119115.2073589
"307",307,307,7077265.79264131,5.31816452033354e-09,6.18060784149234e-09,45119115.2073589
"308",308,308,7077265.79264131,4.8093755673394e-09,5.68185777609921e-09,45119115.2073589
"309",309,309,7077265.79264131,4.32213647468458e-09,5.21163716713175e-09,45119115.2073589
"310",310,310,7077265.79264131,3.87037346830054e-09,4.76921292512942e-09,45119115.2073589
"311",311,311,7077265.7926413,3.46498486846125e-09,4.35526661990701e-09,45119115.2073589
"312",312,312,7077265.7926413,3.1584271444953e-09,3.97656200686051e-09,45119115.2073589
"313",313,313,7077265.7926413,2.88701287708243e-09,3.63116771562272e-09,45119115.2073589
"314",314,314,7077265.7926413,2.6618913391747e-09,3.31880359637143e-09,45119115.2073589
"315",315,315,7077265.7926413,2.46095906502183e-09,3.03662544642155e-09,45119115.2073589
"316",316,316,7077265.7926413,2.26565949118291e-09,2.78008694301318e-09,45119115.2073589
"317",317,317,7077265.7926413,2.06612034010187e-09,2.54425994175561e-09,45119115.2073589
"318",318,318,7077265.7926413,1.88568854077365e-09,2.32782660627908e-09,45119115.2073589
"319",319,319,7077265.7926413,1.74367281027598e-09,2.13197875571531e-09,45119115.2073589
"320",320,320,7077265.7926413,1.61954085281295e-09,1.95527569677235e-09,45119115.2073589
"321",321,321,7077265.7926413,1.49769624140009e-09,1.7946821400569e-09,45119115.2073589
"322",322,322,7077265.7926413,1.39777709470727e-09,1.65000792765621e-09,45119115.2073589
"323",323,323,7077265.7926413,1.30920891388083e-09,1.51984592743977e-09,45119115.2073589
"324",324,324,7077265.7926413,1.23837069007797e-09,1.40378590719156e-09,45119115.2073589
"325",325,325,7077265.7926413,1.17227980582352e-09,1.29995404226089e-09,45119115.2073589
"326",326,326,7077265.7926413,1.12036394353502e-09,1.20791431636846e-09,45119115.2073589
"327",327,327,7077265.7926413,1.0500060290506e-09,1.1234509619107e-09,45119115.2073589
"328",328,328,7077265.7926413,9.83803602234852e-10,1.04574694602349e-09,45119115.2073589
"329",329,329,7077265.7926413,9.10014173283741e-10,9.7273845518189e-10,45119115.2073589
"330",330,330,7077265.7926413,8.36230835463461e-10,9.03615457189769e-10,45119115.2073589
"331",331,331,7077265.7926413,7.68987684931564e-10,8.38480053571152e-10,45119115.2073589
"332",332,332,7077265.7926413,7.20428839089758e-10,7.78852038682421e-10,45119115.2073589
"333",333,333,7077265.7926413,6.71757188856857e-10,7.23767147659713e-10,45119115.2073589
"334",334,334,7077265.7926413,6.22906233884097e-10,6.72419750558723e-10,45119115.2073589
"335",335,335,7077265.7926413,5.75599722993754e-10,6.24347052548192e-10,45119115.2073589
"336",336,336,7077265.7926413,5.28292955023064e-10,5.7898359782772e-10,45119115.2073589
"337",337,337,7077265.7926413,4.82754568601171e-10,5.36070601637574e-10,45119115.2073589
