"","y.np","y.time","y.value","S.np","S.time","S.value","E.np","E.time","E.value","I.np","I.time","I.value","R.np","R.time","R.value","x.np","x.time","x.value","Z.np","Z.time","Z.value","k.np","k.value","gamma.np","gamma.value","sigma.np","sigma.value","E0.np","E0.value","I0.np","I0.value","R0.np","R0.value","x0.np","x0.value","tau.np","tau.value","clock","e.np","e.time","e.value","loglikelihood.np","loglikelihood.value","logprior.np","logprior.value"
"1",0,7,630.321707340264,0,7,39186348,0,7,2240.06811523438,0,7,1231.7626953125,0,7,13006562,0,7,0.655372619628906,0,7,6153.76318359375,0,1.5732753276825,0,0.981571674346924,0,0.0502860881388187,0,-11.3889226913452,0,-10.9522132873535,0,0.249077677726746,0,0.655368387699127,0,0.137273520231247,6239,0,7,1.42682003974915,0,-360.823455810547,0,-1.45133495330811
"2",0,14,2086.84529072987,0,14,39159672,0,14,8613.5419921875,0,14,4485.13525390625,0,14,13023609,0,14,0.727868735790253,0,14,20300.16015625,1,1.58327913284302,1,0.998254776000977,1,0.0508879423141479,1,-11.2332611083984,1,-10.8377285003662,1,0.257988750934601,1,0.750979661941528,1,0.120997041463852,6239,0,14,-1.6382212638855,1,-353.619506835938,1,-0.931972503662109
"3",0,21,5747.47094522737,0,21,39071696,0,21,26037.35546875,0,21,14008.134765625,0,21,13084640,0,21,0.685765147209167,0,21,70554.90625,2,1.58327913284302,2,0.998254776000977,2,0.0508879423141479,2,-11.2332611083984,2,-10.8377285003662,2,0.257988750934601,2,0.750979661941528,2,0.120997041463852,6239,0,21,0.00936900544911623,2,-353.619506835938,2,-0.931972503662109
"4",0,28,14904.2688667635,0,28,38893896,0,28,45558.91796875,0,28,26381.00390625,0,28,13230544,0,28,0.525396049022675,0,28,158276.390625,3,1.58022522926331,3,0.979599893093109,3,0.0521773882210255,3,-11.1478052139282,3,-11.1142930984497,3,0.259267270565033,3,0.74617612361908,3,0.118252374231815,6239,0,28,0.845268249511719,3,-355.081634521484,3,-1.30314993858337
"5",0,35,24202.4624983493,0,35,38568792,0,35,87791.890625,0,35,49153.453125,0,35,13490644,0,35,0.632547855377197,0,35,282871.96875,4,1.58022522926331,4,0.979599893093109,4,0.0521773882210255,4,-11.1478052139282,4,-11.1142930984497,4,0.259267270565033,4,0.74617612361908,4,0.118252374231815,6239,0,35,1.56994044780731,4,-355.081634521484,4,-1.30314993858337
"6",0,42,68559.7401174012,0,42,37919584,0,42,164149.625,0,42,95619.59375,0,42,14017028,0,42,0.533109903335571,0,42,572851.0625,5,1.58566701412201,5,0.954616010189056,5,0.0519945845007896,5,-11.3243656158447,5,-10.962140083313,5,0.275441974401474,5,0.752821743488312,5,0.118171155452728,6239,0,42,0.755390107631683,5,-352.420654296875,5,-1.79296863079071
"7",0,49,90365.6663913159,0,49,37091112,0,49,185626.625,0,49,116964.4609375,0,49,14802676,0,49,0.311551749706268,0,49,806992.8125,6,1.58566701412201,6,0.954616010189056,6,0.0519945845007896,6,-11.3243656158447,6,-10.962140083313,6,0.275441974401474,6,0.752821743488312,6,0.118171155452728,6239,0,49,-0.585972845554352,6,-352.420654296875,6,-1.79296863079071
"8",0,56,62040.0086830336,0,56,36523860,0,56,100647.1015625,0,56,69959.8984375,0,56,15501912,0,56,0.106886021792889,0,56,652231.375,7,1.58566701412201,7,0.954616010189056,7,0.0519945845007896,7,-11.3243656158447,7,-10.962140083313,7,0.275441974401474,7,0.752821743488312,7,0.118171155452728,6239,0,56,0.655873239040375,7,-352.420654296875,7,-1.79296863079071
"9",0,63,34353.3846318441,0,63,36273008,0,63,40076.078125,0,63,29742.892578125,0,63,15853553,0,63,-0.109977960586548,0,63,311424,8,1.58566701412201,8,0.954616010189056,8,0.0519945845007896,8,-11.3243656158447,8,-10.962140083313,8,0.275441974401474,8,0.752821743488312,8,0.118171155452728,6239,0,63,-0.754358291625977,8,-352.420654296875,8,-1.79296863079071
"10",0,70,13448.8464809737,0,70,36174124,0,70,18967.966796875,0,70,13075.3681640625,0,70,15990212,0,70,0.0976871326565742,0,70,119990.890625,9,1.58872365951538,9,0.962869107723236,9,0.0526601076126099,9,-11.120548248291,9,-11.3838396072388,9,0.271109580993652,9,0.797948896884918,9,0.13329815864563,6239,0,70,-0.779940485954285,9,-352.626159667969,9,-1.56988716125488
