"","np","time","value","q025","q25","q50","q75","q975","E"
"12",0,84,2109187.75,1500505.125,1832448.375,1832448.375,1904122.25,2317668.975,2141037.2286609
"13",0,91,877255,724095.8125,761007.6875,786699.4375,787919.578125,1040324.6953125,803304.990879634
"14",0,98,482238.96875,312283.0625,452956.875,452956.875,473410.15625,489991.60546875,455782.771417426
"15",0,105,100166.1953125,82378.1484375,102302.671875,102392.984375,102392.984375,116887.2046875,89332.8070387608
"16",0,112,14977.3916015625,12216.2932128906,13709.10546875,13709.10546875,14197.603515625,15034.0044433594,14282.7668629406
"17",0,119,1959.68725585938,1489.43566894531,1768.95520019531,1768.95520019531,2015.51525878906,2443.8095703125,2122.25891915995
"18",0,126,188.324142456055,161.653547286987,203.398853302002,208.444122314453,212.944828033447,240.638610839844,205.505148750285
"19",0,133,19.3681468963623,15.3407640457153,18.4918651580811,19.6049613952637,20.5741024017334,20.5741024017334,24.1134046103454
"20",0,140,1.5689218044281,1.24624764919281,1.47179961204529,1.69311892986298,1.73011589050293,1.73011589050293,1.89894888961192
"21",0,147,0.11142311245203,0.0886093284934759,0.0952108334749937,0.10941457003355,0.10941457003355,0.127872531116009,0.129663090853746
"22",0,154,0.00862942077219486,0.0066832497366704,0.00682608084753156,0.00682608084753156,0.00839334074407816,0.00974447187036276,0.0105953260938447
"23",0,161,0.000687091611325741,0.000629378424491733,0.000752582214772701,0.000752582214772701,0.00077216443605721,0.000854935089591891,0.0008282721803653
"24",0,168,7.24108031135984e-05,6.40086436760612e-05,7.04888807376847e-05,7.55029541323893e-05,7.55029541323893e-05,7.6899967098143e-05,0.000105307616691134
"25",0,175,5.61221850148286e-06,4.66531804477199e-06,4.90448701384594e-06,5.85619545745431e-06,5.85619545745431e-06,6.29516614480962e-06,6.04244562841086e-06
"26",0,182,3.68683799933933e-07,2.88955951788239e-07,3.05210171802628e-07,3.46097976944293e-07,3.46097976944293e-07,4.14624878430914e-07,3.86613689779521e-07
"27",0,189,2.64938311289598e-08,1.84661725910473e-08,1.87542834595433e-08,1.87542834595433e-08,2.50057361483869e-08,2.71104926508059e-08,2.86172730322441e-08
"28",0,196,1.7808812202702e-09,1.87653381722441e-09,2.17767004428993e-09,2.17767004428993e-09,2.23499951879091e-09,2.34802616239094e-09,2.82644254676223e-09
"29",0,203,2.19080031893526e-10,1.96260362822498e-10,2.45154258005087e-10,2.46275277948627e-10,2.46275277948627e-10,2.8133180576817e-10,2.87481101754602e-10
"30",0,210,3.05012716472763e-11,2.31291508515086e-11,2.67983135682215e-11,2.67983135682215e-11,3.01699845661751e-11,3.27965923516138e-11,3.68561166501685e-11
"31",0,217,2.66831218578845e-12,2.41408954458622e-12,2.68978502665496e-12,2.68978502665496e-12,2.98626986854067e-12,3.25885966974936e-12,3.54290954152339e-12
"32",0,224,2.9443691950716e-13,2.6145473047863e-13,2.68644617185468e-13,2.68644617185468e-13,2.82215629988578e-13,3.77027752009214e-13,3.58413132107593e-13
"33",0,231,3.34113975635625e-14,2.08382677534594e-14,2.93596916933368e-14,3.08783811101823e-14,3.644738726322e-14,3.644738726322e-14,2.81314964112387e-14
