"","y.np","y.time","y.value","S.np","S.time","S.value","E.np","E.time","E.value","I.np","I.time","I.value","R.np","R.time","R.value","sigma.np","sigma.value","beta.np","beta.value","gamma.np","gamma.value","tau.np","tau.value","clock","loglikelihood.np","loglikelihood.value","logprior.np","logprior.value"
"17",0,119,36.3664935218644,0,119,1651.00671386719,0,119,1336.12683105469,0,119,73613.4453125,0,119,815613.3125,16,0.225423499941826,16,0.489248424768448,16,0.0720221102237701,16,0.971237003803253,11378,16,33.5253028869629,16,4.23974418640137
"18",0,126,25.4585984392167,0,126,1341.279296875,0,126,508.454010009766,0,126,44804.59375,0,126,842064,17,0.251853823661804,17,0.467381536960602,17,0.0711092054843903,17,0.98047149181366,11378,17,37.0832061767578,17,0.947788834571838
"19",0,133,4.93989526411185,0,133,1182.46118164062,0,133,215.058868408203,0,133,27091.728515625,0,133,858108.75,18,0.231798186898232,18,0.473535150289536,18,0.0743426010012627,18,0.992299139499664,11378,18,33.7551879882812,18,3.26476860046387
"20",0,140,10.2179472437703,0,140,1095.84362792969,0,140,101.19465637207,0,140,16327.146484375,0,140,867793.875,19,0.231798186898232,19,0.473535150289536,19,0.0743426010012627,19,0.992299139499664,11378,19,33.7551879882812,19,3.26476860046387
"21",0,147,1.00379973494759,0,147,1046.77917480469,0,147,51.9920272827148,0,147,9822.96484375,0,147,873625.625,20,0.221368387341499,20,0.5014289021492,20,0.0656683221459389,20,0.989213287830353,11378,20,33.0232200622559,20,4.82974147796631
"22",0,154,1.20213109108006,0,154,1018.337890625,0,154,28.4176959991455,0,154,5904.5380859375,0,154,877132.625,21,0.206339433789253,21,0.504546165466309,21,0.0647082850337029,21,0.99089252948761,11378,21,33.4457130432129,21,5.43344831466675
"23",0,161,0.311815855274745,0,161,1001.61926269531,0,161,16.1523056030273,0,161,3547.48974609375,0,161,879240.125,22,0.199583128094673,22,0.511212408542633,22,0.0677969306707382,22,0.941234707832336,11378,22,31.9361171722412,22,5.6561074256897
"24",0,168,0.25718820488549,0,168,991.708190917969,0,168,9.39688491821289,0,168,2130.80078125,0,168,880506.1875,23,0.211597189307213,23,0.502634227275848,23,0.0633218884468079,23,0.964554846286774,11378,23,31.6868267059326,23,5.26288795471191
"25",0,175,0.26582335126398,0,175,985.802734375,0,175,5.54073429107666,0,175,1279.68005371094,0,175,881266.5625,24,0.209236204624176,24,0.503034770488739,24,0.064402163028717,24,0.943708896636963,11378,24,31.8510150909424,24,5.3363618850708
"26",0,182,0.119484692875942,0,182,982.273193359375,0,182,3.29220581054688,0,182,768.465515136719,0,182,881723.25,25,0.212853193283081,25,0.508593857288361,25,0.0650774836540222,25,0.955276727676392,11378,25,31.2982807159424,25,5.38256168365479
"27",0,189,0.0709892283484766,0,189,980.159790039062,0,189,1.96478974819183,0,189,461.452514648438,0,189,881997.4375,26,0.214227572083473,26,0.483745098114014,26,0.0648700967431068,26,0.979360640048981,11378,26,31.6589756011963,26,4.61916971206665
"28",0,196,0.0797245497990861,0,196,978.892883300781,0,196,1.17555832862854,0,196,277.088073730469,0,196,882162.125,27,0.199767604470253,27,0.496819287538528,27,0.0701675191521645,27,0.962178528308868,11378,27,30.9209442138672,27,5.27293300628662
"29",0,203,0.149284906219272,0,203,978.132995605469,0,203,0.704383730888367,0,203,166.380249023438,0,203,882261,28,0.199767604470253,28,0.496819287538528,28,0.0701675191521645,28,0.962178528308868,11378,28,30.9209442138672,28,5.27293300628662
"30",0,210,0.00171843112884017,0,210,977.676940917969,0,210,0.422421872615814,0,210,99.9037170410156,0,210,882320.3125,29,0.203522622585297,29,0.512660682201385,29,0.071602575480938,29,0.974724888801575,11378,29,30.3119583129883,29,5.67644357681274
