"","time","t","S","E","I","R","x"
"64",64,64,44801760.7637515,1494083.46816025,1051918.50424222,4848618.26384615,-0.697498194282167
"65",65,65,44099842.4628747,1581049.17454703,1131562.02701297,5383927.33556537,-0.686637974284946
"66",66,66,43360811.6214064,1669935.45113219,1212090.61783912,5953543.30962232,-0.675092517567356
"67",67,67,42582956.0840311,1761613.76105711,1293720.33985081,6558090.81506097,-0.658959915284205
"68",68,68,41762156.7479274,1858587.25991675,1376978.62613969,7198658.36601616,-0.63838765863611
"69",69,69,40889651.0008967,1966576.15692359,1462953.53834397,7877200.30383576,-0.606764915482552
"70",70,70,39963307.284367,2083035.43053001,1553232.81923029,8596805.46587272,-0.589938102786972
"71",71,71,38987231.9501965,2202202.50746151,1647737.25067514,9359209.29166692,-0.567945573598925
"72",72,72,37956076.7932881,2327652.20709598,1746476.17815466,10166175.8214613,-0.539966585929606
"73",73,73,36868730.6272455,2457914.9359455,1849819.4157239,11019916.0210851,-0.516588435551523
"74",74,74,35729407.7157501,2587997.00920805,1957233.37258317,11921742.9024587,-0.492807736033743
"75",75,75,34544563.9112537,2712431.03652133,2067491.5251333,12871894.5270917,-0.472840046608666
"76",76,76,33325502.0757829,2823714.10835986,2178315.79050177,13868849.0253555,-0.454966824015023
"77",77,77,32085072.6139879,2915549.28152867,2286623.61488023,14909135.4896032,-0.438604883119394
"78",78,78,30839960.2045347,2980422.2704176,2388724.11433185,15987274.4107159,-0.426948792689273
"79",79,79,29613371.1140041,3007914.40295772,2479986.82271628,17095108.6603219,-0.423703286738563
"80",80,80,28428272.0062245,2991628.0911723,2554953.36078956,18221527.5418137,-0.422972042052954
"81",81,81,27298545.8473887,2934836.53621102,2608963.82896427,19354034.7874361,-0.419099230637797
"82",82,82,26233552.7421582,2843138.51926396,2639230.85311308,20480458.8854648,-0.416512899644115
"83",83,83,25241170.9352153,2721673.236704,2644369.20635838,21589167.6217224,-0.414028604334665
"84",84,84,24329350.4657228,2573569.00730225,2624122.17725633,22669339.3497187,-0.419522633390208
"85",85,85,23503707.2067539,2403250.29251829,2578755.69980492,23710667.8009229,-0.425984856530304
"86",86,86,22760251.4314205,2221572.09178723,2509934.79442388,24704622.6823684,-0.424963370880114
"87",87,87,22092529.0352456,2037486.0572325,2420980.70765406,25645385.1998679,-0.424127128588196
"88",88,88,21494091.4020011,1857222.00184236,2315803.04927065,26529264.546886,-0.417807505773991
"89",89,89,20958282.4800837,1684895.7011277,2198615.66479527,27354587.1539934,-0.412881802082701
"90",90,90,20478351.1221599,1523568.96932078,2073357.42839559,28121103.4801238,-0.401329614755652
"91",91,91,20048211.361947,1374485.92068478,1943738.90940932,28829944.8079589,-0.393680070598451
"92",92,92,19665035.2099564,1235903.33272876,1812634.57917693,29482807.8781379,-0.392345784591422
"93",93,93,19324971.6495641,1107624.38967832,1682152.33048946,30081632.6302681,-0.388758235110489
"94",94,94,19024177.347721,989338.464597426,1554051.84656015,30628813.3411214,-0.391413478372254
"95",95,95,18758663.5356066,881125.348310908,1429644.60860901,31126947.5074735,-0.388406314105456
"96",96,96,18523710.1666309,783499.444628167,1310132.55154868,31579038.8371923,-0.384747579205788
"97",97,97,18315089.5046575,696482.305686867,1196494.90232638,31988314.2873293,-0.374891867114324
"98",98,98,18129312.031464,619390.654780639,1089505.6598799,32358172.6538755,-0.367626586981191
"99",99,99,17963713.7715558,551163.065470815,989590.159848071,32691914.0031253,-0.35792638872607
"100",100,100,17816084.3335197,490659.694545032,896924.672200088,32992712.2997352,-0.352983863469738
"101",101,101,17684819.3821267,436662.530021645,811413.023158267,33263486.0646934,-0.349758040604741
"102",102,102,17568571.1237562,388117.48644163,732788.758968321,33506903.6308338,-0.352903579878856
"103",103,103,17465390.7688511,344887.48392012,660696.606378979,33725406.1408498,-0.344009211989614
"104",104,104,17373141.6349124,306936.110016529,594883.990537437,33921419.2645336,-0.335230525584442
"105",105,105,17290062.3823671,273997.422889006,535083.428673814,34097237.76607,-0.315775069187204
"106",106,106,17214733.0546662,245550.226630033,481037.525504461,34255060.1931993,-0.3006681560411
"107",107,107,17146359.1031166,220772.521778261,432387.795777067,34396861.579328,-0.285638690084933
"108",108,108,17083971.9928911,199258.130685519,388737.763198646,34524413.1132247,-0.266476831330658
"109",109,109,17026780.6308621,180569.298220787,349699.294702952,34639331.7762141,-0.249752052339729
"110",110,110,16974184.4272218,164272.975111733,314868.467815273,34743055.1298512,-0.231476844850217
"111",111,111,16925802.155773,149877.771916973,283844.047728333,34836857.0245817,-0.221302807257972
"112",112,112,16881166.538479,137163.804916677,256219.275642567,34921831.3809617,-0.202252471008607
"113",113,113,16839656.7726054,126075.705307037,231658.870786342,34998989.6513012,-0.183687044403321
"114",114,114,16800991.6577025,116303.119438667,209851.068815564,35069235.1540432,-0.169282945881165
"115",115,115,16765013.2648583,107542.01673045,190485.549470475,35133340.1689407,-0.158817137296188
"116",116,116,16731452.8110645,99687.3525249199,173270.343209806,35191970.4932007,-0.144255485236541
"117",117,117,16700126.4083673,92580.2402714375,157955.076788612,35245719.2745726,-0.137698984851331
"118",118,118,16671098.1970193,85919.1846505677,144287.195375437,35295076.4229546,-0.139818765679489
"119",119,119,16644357.7981949,79571.9261226767,132021.036103371,35340430.239579,-0.143143492773876
"120",120,120,16619779.7105535,73538.5239516749,120948.590246724,35382114.1752481,-0.14685343095311
"121",121,121,16597205.4927362,67847.6202033235,110903.970142403,35420423.9169181,-0.148804748476607
"122",122,122,16576499.2484083,62495.7447535089,101756.510261105,35455629.496577,-0.152984418041219
