"","time","value","q025","q25","q50","q75","q975","Alpha"
"107",107,-1.28410983085632,-1.28410983085632,-1.28410983085632,-1.28410983085632,-1.28410983085632,-1.28410983085632,-1.69019323
"108",108,-1.34442365169525,-1.34442365169525,-1.34442365169525,-1.34442365169525,-1.34442365169525,-1.34442365169525,-1.526629622
"109",109,-1.51503872871399,-1.51503872871399,-1.51503872871399,-1.51503872871399,-1.51503872871399,-1.51503872871399,-1.359365912
"110",110,-1.56609272956848,-1.56609272956848,-1.56609272956848,-1.56609272956848,-1.56609272956848,-1.56609272956848,-1.344106437
"111",111,-1.61079287528992,-1.61079287528992,-1.61079287528992,-1.61079287528992,-1.61079287528992,-1.61079287528992,-1.22185401
"112",112,-1.56231904029846,-1.56231904029846,-1.56231904029846,-1.56231904029846,-1.56231904029846,-1.56231904029846,-1.390658877
"113",113,-1.72767984867096,-1.72767984867096,-1.72767984867096,-1.72767984867096,-1.72767984867096,-1.72767984867096,-1.236682783
"114",114,-1.7179878950119,-1.7179878950119,-1.7179878950119,-1.7179878950119,-1.7179878950119,-1.7179878950119,-1.271238839
"115",115,-1.729248046875,-1.729248046875,-1.729248046875,-1.729248046875,-1.729248046875,-1.729248046875,-1.207403024
"116",116,-1.54224038124084,-1.54224038124084,-1.54224038124084,-1.54224038124084,-1.54224038124084,-1.54224038124084,-1.149600433
"117",117,-1.34276127815247,-1.34276127815247,-1.34276127815247,-1.34276127815247,-1.34276127815247,-1.34276127815247,-1.094233391
"118",118,-1.27847337722778,-1.27847337722778,-1.27847337722778,-1.27847337722778,-1.27847337722778,-1.27847337722778,-0.88061988
"119",119,-1.3067467212677,-1.3067467212677,-1.3067467212677,-1.3067467212677,-1.3067467212677,-1.3067467212677,-0.887220658
"120",120,-1.35539412498474,-1.35539412498474,-1.35539412498474,-1.35539412498474,-1.35539412498474,-1.35539412498474,-1.090601205
"121",121,-1.21509099006653,-1.21509099006653,-1.21509099006653,-1.21509099006653,-1.21509099006653,-1.21509099006653,-1.194575791
"122",122,-1.20117127895355,-1.20117127895355,-1.20117127895355,-1.20117127895355,-1.20117127895355,-1.20117127895355,-1.140994242
"123",123,-1.16881620883942,-1.16881620883942,-1.16881620883942,-1.16881620883942,-1.16881620883942,-1.16881620883942,-1.146548073
"124",124,-1.34694612026215,-1.34694612026215,-1.34694612026215,-1.34694612026215,-1.34694612026215,-1.34694612026215,-1.076424408
"125",125,-1.24092423915863,-1.24092423915863,-1.24092423915863,-1.24092423915863,-1.24092423915863,-1.24092423915863,-1.142627885
"126",126,-1.03294241428375,-1.03294241428375,-1.03294241428375,-1.03294241428375,-1.03294241428375,-1.03294241428375,-0.895643458
"127",127,-0.880852580070496,-0.880852580070496,-0.880852580070496,-0.880852580070496,-0.880852580070496,-0.880852580070496,-0.702698922
"128",128,-0.897052764892578,-0.897052764892578,-0.897052764892578,-0.897052764892578,-0.897052764892578,-0.897052764892578,-0.524179386
"129",129,-0.589100420475006,-0.589100420475006,-0.589100420475006,-0.589100420475006,-0.589100420475006,-0.589100420475006,-0.404314643
"130",130,-0.531029760837555,-0.531029760837555,-0.531029760837555,-0.531029760837555,-0.531029760837555,-0.531029760837555,-0.46454612
"131",131,-0.79664421081543,-0.79664421081543,-0.79664421081543,-0.79664421081543,-0.79664421081543,-0.79664421081543,-0.320701667
"132",132,-0.750044941902161,-0.750044941902161,-0.750044941902161,-0.750044941902161,-0.750044941902161,-0.750044941902161,-0.227247849
"133",133,-0.70368355512619,-0.70368355512619,-0.70368355512619,-0.70368355512619,-0.70368355512619,-0.70368355512619,-0.188016047
"134",134,-0.492776066064835,-0.492776066064835,-0.492776066064835,-0.492776066064835,-0.492776066064835,-0.492776066064835,-0.070552274
"135",135,-0.433732569217682,-0.433732569217682,-0.433732569217682,-0.433732569217682,-0.433732569217682,-0.433732569217682,-0.356379534
"136",136,-0.516760945320129,-0.516760945320129,-0.516760945320129,-0.516760945320129,-0.516760945320129,-0.516760945320129,-0.530778422
"137",137,-0.592758536338806,-0.592758536338806,-0.592758536338806,-0.592758536338806,-0.592758536338806,-0.592758536338806,-0.587986032
"138",138,-0.566171944141388,-0.566171944141388,-0.566171944141388,-0.566171944141388,-0.566171944141388,-0.566171944141388,-0.761543975
"139",139,-0.7095006108284,-0.7095006108284,-0.7095006108284,-0.7095006108284,-0.7095006108284,-0.7095006108284,-0.752555812
"140",140,-0.799764335155487,-0.799764335155487,-0.799764335155487,-0.799764335155487,-0.799764335155487,-0.799764335155487,-0.763005796
"141",141,-0.79047042131424,-0.79047042131424,-0.79047042131424,-0.79047042131424,-0.79047042131424,-0.79047042131424,-0.95771239
"142",142,-0.897993743419647,-0.897993743419647,-0.897993743419647,-0.897993743419647,-0.897993743419647,-0.897993743419647,-1.029592187
"143",143,-1.2395658493042,-1.2395658493042,-1.2395658493042,-1.2395658493042,-1.2395658493042,-1.2395658493042,-0.800804871
"144",144,-1.18256270885468,-1.18256270885468,-1.18256270885468,-1.18256270885468,-1.18256270885468,-1.18256270885468,-0.821371727
"145",145,-1.18035519123077,-1.18035519123077,-1.18035519123077,-1.18035519123077,-1.18035519123077,-1.18035519123077,-0.679298836
"146",146,-1.14958763122559,-1.14958763122559,-1.14958763122559,-1.14958763122559,-1.14958763122559,-1.14958763122559,-0.698566246
"147",147,-0.955470860004425,-0.955470860004425,-0.955470860004425,-0.955470860004425,-0.955470860004425,-0.955470860004425,-0.836341662
"148",148,-1.04351031780243,-1.04351031780243,-1.04351031780243,-1.04351031780243,-1.04351031780243,-1.04351031780243,-0.825741555
"149",149,-0.951467990875244,-0.951467990875244,-0.951467990875244,-0.951467990875244,-0.951467990875244,-0.951467990875244,-0.766326818
"150",150,-0.902292490005493,-0.902292490005493,-0.902292490005493,-0.902292490005493,-0.902292490005493,-0.902292490005493,-0.662878482
"151",151,-1.03930079936981,-1.03930079936981,-1.03930079936981,-1.03930079936981,-1.03930079936981,-1.03930079936981,-0.756752198
"152",152,-1.13450801372528,-1.13450801372528,-1.13450801372528,-1.13450801372528,-1.13450801372528,-1.13450801372528,-0.636236772
"153",153,-1.20748710632324,-1.20748710632324,-1.20748710632324,-1.20748710632324,-1.20748710632324,-1.20748710632324,-0.549082994
"154",154,-1.15728032588959,-1.15728032588959,-1.15728032588959,-1.15728032588959,-1.15728032588959,-1.15728032588959,-0.797522818
"155",155,-0.977243185043335,-0.977243185043335,-0.977243185043335,-0.977243185043335,-0.977243185043335,-0.977243185043335,-0.702886225
"156",156,-0.861269414424896,-0.861269414424896,-0.861269414424896,-0.861269414424896,-0.861269414424896,-0.861269414424896,-0.54765304
"157",157,-0.989395260810852,-0.989395260810852,-0.989395260810852,-0.989395260810852,-0.989395260810852,-0.989395260810852,-0.36453457
"158",158,-0.912493407726288,-0.912493407726288,-0.912493407726288,-0.912493407726288,-0.912493407726288,-0.912493407726288,-0.667364477
"159",159,-0.836555004119873,-0.836555004119873,-0.836555004119873,-0.836555004119873,-0.836555004119873,-0.836555004119873,-0.492010291
"160",160,-0.80864429473877,-0.80864429473877,-0.80864429473877,-0.80864429473877,-0.80864429473877,-0.80864429473877,-0.515311564
"161",161,-0.654967606067657,-0.654967606067657,-0.654967606067657,-0.654967606067657,-0.654967606067657,-0.654967606067657,-0.532574059
"162",162,-0.633707225322723,-0.633707225322723,-0.633707225322723,-0.633707225322723,-0.633707225322723,-0.633707225322723,-0.591892137
"163",163,-0.512627124786377,-0.512627124786377,-0.512627124786377,-0.512627124786377,-0.512627124786377,-0.512627124786377,-0.494809866
"164",164,-0.333860903978348,-0.333860903978348,-0.333860903978348,-0.333860903978348,-0.333860903978348,-0.333860903978348,-0.729165567
