"","np","time","value","q025","q25","q50","q75","q975"
"1",0,7,1.61851157121341,1.06512103500874,1.20977124291228,1.32550713651603,1.39823994725702,1.57777537975381
"2",0,14,1.21735151581971,1.14203205064621,1.28477183490757,1.47121403249419,1.52704959995594,1.70818272064052
"3",0,21,2.00768932230321,1.65318217412662,1.83571619426565,1.96085563070596,2.07488359517537,2.47921098670793
"4",0,28,2.12432104145938,1.92441929097791,2.10758428549208,2.24528215637753,2.40098372153889,2.51234846985235
"5",0,35,2.56131857412921,1.95725000661295,2.12690283454631,2.34158308072472,2.57035188529919,2.79702115252721
"6",0,42,2.1880126679408,1.65163035080461,1.78550328292818,1.90857447219958,2.1264472882747,2.22127520164739
"7",0,49,2.03319921763039,1.72409561538943,1.80736005013253,1.97793056390776,2.05587364934952,2.42407190611584
"8",0,56,1.76830382269681,1.47496276781733,1.71585010512048,1.84114172530486,1.91867532154882,1.97860622199322
"9",0,63,1.59300725842865,1.42157127583634,1.53859635171756,1.61053056883248,1.6821438207715,2.00127798053938
"10",0,70,1.68427065023713,1.27948202748964,1.46620776796801,1.52653946697035,1.58155507062657,1.67792413623271
"11",0,77,1.41749233740034,1.41843108454815,1.47467322042366,1.53213679923832,1.62541477417705,1.81516465745446
"12",0,84,1.40266469379389,1.34748231838787,1.41732830652298,1.51433957255006,1.60290806891316,1.82206682316518
"13",0,91,1.41803879164576,1.2508345787647,1.37745637806539,1.43874597287984,1.49691839421742,1.64156126321195
"14",0,98,1.65898975707365,1.33890431222862,1.42445917017079,1.51042292466711,1.59193171424483,1.71748273252266
"15",0,105,1.40783708713172,1.24664248396259,1.35749900005284,1.41945502365903,1.47643750169739,1.59743600355131
"16",0,112,1.48578734998225,1.16876368134325,1.342255593781,1.40479171143816,1.46899031973616,1.59165465299204
"17",0,119,1.23706047110277,1.1703969758618,1.25215650082971,1.3173302521768,1.40613773045075,1.56800341334107
"18",0,126,1.46102885637265,1.1492442115884,1.27765572525741,1.3506840909736,1.44228812052912,1.66218606510275
"19",0,133,1.50128226823038,1.35166567449692,1.45218339914375,1.50258379035576,1.5841757825716,1.81858826153503
"20",0,140,1.30975448554848,1.20076658405517,1.26211313969251,1.40246426457086,1.49975673133596,1.62576493236602
"21",0,147,1.32953020809458,1.30829050742911,1.40110010095046,1.45408426032533,1.4817048662923,1.54613881478251
"22",0,154,1.60474761047496,1.32866227273466,1.39666022915143,1.45054260180945,1.51070459951799,1.72119552118532
"23",0,161,1.56205204043629,1.23370102389451,1.40562445424941,1.50408082325188,1.55927306825597,1.65797531206168
"24",0,168,1.48435602744652,1.32895365184691,1.48496039494952,1.56015528509883,1.61420951667724,1.71663982427331
"25",0,175,1.55714249512911,1.28426660010291,1.43041911075719,1.56976565895438,1.63222989158117,1.82239981452123
"26",0,182,1.68110490799515,1.33493994105434,1.50735570519026,1.57621311474896,1.63823348919151,1.69133691297749
"27",0,189,1.61257111906524,1.38939996161536,1.53787202616009,1.58112489380369,1.63622373788493,1.74631871777086
