"","y.np","y.time","y.value","S.np","S.time","S.value","E.np","E.time","E.value","I.np","I.time","I.value","R.np","R.time","R.value","x.np","x.time","x.value","Z.np","Z.time","Z.value","k.np","k.value","gamma.np","gamma.value","sigma.np","sigma.value","E0.np","E0.value","I0.np","I0.value","R0.np","R0.value","x0.np","x0.value","tau.np","tau.value","clock","e.np","e.time","e.value","loglikelihood.np","loglikelihood.value","logprior.np","logprior.value"
"1",0,7,510.983677507683,0,7,41034924,0,7,581.388122558594,0,7,363.10546875,0,7,11160512,0,7,0.221545577049255,0,7,2664.59521484375,0,1.58566212654114,0,0.968389689922333,0,0.0485788583755493,0,-11.8947639465332,0,-10.6976804733276,0,0.213755875825882,0,0.190848782658577,0,0.057714082300663,6985,0,7,0.423430979251862,0,508.970336914062,0,-1.24350929260254
"2",0,14,495.729569656604,0,14,41032324,0,14,595.127502441406,0,14,361.034790039062,0,14,11163098,0,14,0.292618334293365,0,14,2584.24291992188,1,1.58566212654114,1,0.968389689922333,1,0.0485788583755493,1,-11.8947639465332,1,-10.6976804733276,1,0.213755875825882,1,0.190848782658577,1,0.057714082300663,6985,0,14,-0.0146961631253362,1,508.970336914062,1,-1.24350929260254
"3",0,21,633.755269776049,0,21,41029144,0,21,820.751586914062,0,21,461.336883544922,0,21,11165953,0,21,0.500026404857635,0,21,2955.333984375,2,1.59378743171692,2,0.939746618270874,2,0.0579078420996666,2,-11.915379524231,2,-10.8701848983765,2,0.210129454731941,2,0.192619368433952,2,0.0584098175168037,6985,0,21,0.0822942554950714,2,515.818725585938,2,-1.86919319629669
"4",0,28,1065.76165036937,0,28,41022752,0,28,1717.32934570312,0,28,975.353942871094,0,28,11170937,0,28,0.419754981994629,0,28,5497.84765625,3,1.59378743171692,3,0.939746618270874,3,0.0579078420996666,3,-11.915379524231,3,-10.8701848983765,3,0.210129454731941,3,0.192619368433952,3,0.0584098175168037,6985,0,28,-1.78349447250366,3,515.818725585938,3,-1.86919319629669
"5",0,35,1696.95264112876,0,35,41012604,0,35,2605.09448242188,0,35,1502.57019042969,0,35,11179667,0,35,0.403963625431061,0,35,9257.0439453125,4,1.59378743171692,4,0.939746618270874,4,0.0579078420996666,4,-11.915379524231,4,-10.8701848983765,4,0.210129454731941,4,0.192619368433952,4,0.0584098175168037,6985,0,35,-0.841131985187531,4,515.818725585938,4,-1.86919319629669
"6",0,42,2825.90944066757,0,42,40995608,0,42,4493.2255859375,0,42,2549.93017578125,0,42,11193731,0,42,0.459923058748245,0,42,15111.2451171875,5,1.61002743244171,5,0.979705691337585,5,0.0643936693668365,5,-11.4759340286255,5,-10.8791637420654,5,0.198233142495155,5,0.214696764945984,5,0.0716999769210815,6985,0,42,-0.0613755695521832,5,515.544799804688,5,-1.46958434581757
"7",0,49,5033.0484335934,0,49,40966516,0,49,7749.03759765625,0,49,4329.34716796875,0,49,11217785,0,49,0.520549535751343,0,49,25833.4453125,6,1.61002743244171,6,0.979705691337585,6,0.0643936693668365,6,-11.4759340286255,6,-10.8791637420654,6,0.198233142495155,6,0.214696764945984,6,0.0716999769210815,6985,0,49,0.532951474189758,6,515.544799804688,6,-1.46958434581757
"8",0,56,10285.4429032749,0,56,40904372,0,56,17561.62109375,0,56,9584.7578125,0,56,11264863,0,56,0.573622226715088,0,56,52333.9375,7,1.61002743244171,7,0.979705691337585,7,0.0643936693668365,7,-11.4759340286255,7,-10.8791637420654,7,0.198233142495155,7,0.214696764945984,7,0.0716999769210815,6985,0,56,0.445602715015411,7,515.544799804688,7,-1.46958434581757
"9",0,63,28720.4955940328,0,63,40719992,0,63,58364.328125,0,63,29931.416015625,0,63,11388093,0,63,0.74776691198349,0,63,143576.375,8,1.61002743244171,8,0.979705691337585,8,0.0643936693668365,8,-11.4759340286255,8,-10.8791637420654,8,0.198233142495155,8,0.214696764945984,8,0.0716999769210815,6985,0,63,1.08527863025665,8,515.544799804688,8,-1.46958434581757
"10",0,70,117381.119248368,0,70,39844740,0,70,305210.625,0,70,147545.1875,0,70,11898885,0,70,0.926799535751343,0,70,628405.4375,9,1.61002743244171,9,0.979705691337585,9,0.0643936693668365,9,-11.4759340286255,9,-10.8791637420654,9,0.198233142495155,9,0.214696764945984,9,0.0716999769210815,6985,0,70,1.82474219799042,9,515.544799804688,9,-1.46958434581757
