"","np","time","value","q025","q25","q50","q75","q975","I"
"1",0,7,162.423110961914,165.334384918213,190.259796142578,190.259796142578,214.810775756836,223.86868019104,185.135418513833
"2",0,14,133.183044433594,125.684555053711,131.718574523926,145.8056640625,145.8056640625,169.406101226807,159.876031637777
"3",0,21,81.621452331543,80.4255184173584,100.296367645264,100.430435180664,107.847566604614,121.714935302734,112.071552417537
"4",0,28,67.4021377563477,58.6603227615356,64.4902954101562,64.4902954101562,82.9147109985352,94.1463254928588,71.8167041997434
"5",0,35,77.4638671875,54.2763789176941,67.3892059326172,67.3892059326172,86.9157752990723,94.1965408325195,80.5260397320711
"6",0,42,94.0646820068359,80.3751560211182,100.575302124023,100.575302124023,114.988842010498,137.414947509766,73.3647165004932
"7",0,49,132.482681274414,143.873641967773,151.887058258057,160.602447509766,161.687889099121,223.770875930786,208.152202890438
"8",0,56,879.572387695312,725.714889526367,728.0146484375,735.678070068359,844.168823242188,1057.96459960938,720.568855983793
"9",0,63,17012.09765625,13902.2407470703,15329.77734375,17919.353515625,17919.353515625,20120.9032226562,12533.511421602
"10",0,70,169295.53125,174188.810546875,179597.171875,180238.65625,185776.4375,236430.027734375,205059.501433861
"11",0,77,910353.8125,735328.5609375,908120.1875,939596.1875,939596.1875,1081270.74375,765595.970966162
"12",0,84,1313601.5,1059283.625,1378210,1389670.25,1389670.25,1644326,1485052.3478977
"13",0,91,578191.8125,527128.0109375,585710.25,610422.25,610422.25,879548.699999999,675637.804582674
"14",0,98,311019.09375,263462.730078125,324283.6875,324283.6875,361160.0859375,372007.6375,329799.60270613
"15",0,105,78789.5078125,69429.8203125,95558.234375,95558.234375,97188.421875,109469.056640625,82921.7415631429
"16",0,112,11100.9453125,11102.0335449219,12902.85546875,12902.85546875,14231.4951171875,15984.6931152344,13423.6282566605
"17",0,119,1643.65393066406,1410.89833984375,1708.65307617188,1708.65307617188,2108.43530273438,2345.82592773438,2061.46049426895
"18",0,126,168.007720947266,165.471481323242,209.870361328125,209.870361328125,232.262840270996,268.527465820312,218.203871446511
"19",0,133,16.2445983886719,15.8705251932144,20.6777019500732,20.6777019500732,20.9671096801758,23.0871315002441,24.4770958334742
"20",0,140,1.473428606987,1.304851770401,1.73406803607941,1.74985659122467,1.74985659122467,1.99371707439423,2.07823171359677
"21",0,147,0.100200206041336,0.100071541965008,0.119001254439354,0.122722461819649,0.122722461819649,0.14853099361062,0.152085601577699
"22",0,154,0.00797408446669579,0.00695630117552355,0.00775557663291693,0.00775557663291693,0.00936022400856018,0.0110736990813166,0.0116712559530973
"23",0,161,0.000613220734521747,0.000647578309872188,0.00078551156911999,0.00078551156911999,0.00083143862138968,0.00095018994034035,0.000914511308300978
"24",0,168,6.36440017842688e-05,6.32037856121315e-05,7.5959280366078e-05,7.61356568546034e-05,7.61356568546034e-05,8.61127442476572e-05,0.000107427912562344
"25",0,175,5.21650372320437e-06,5.19157129019732e-06,5.80347932555014e-06,6.65721790937823e-06,6.65721790937823e-06,7.29586296301931e-06,7.36721297900734e-06
"26",0,182,3.36607627104968e-07,3.28201657850968e-07,3.50671314208739e-07,3.97319212197544e-07,3.97319212197544e-07,5.05899676284116e-07,4.42791135103683e-07
"27",0,189,2.46591831398746e-08,2.16654019169482e-08,2.16654019169482e-08,2.29072147917009e-08,2.77036793505658e-08,3.18008581245976e-08,3.60544370570134e-08
"28",0,196,1.59118362930144e-09,1.89364235403389e-09,2.19090168229741e-09,2.19090168229741e-09,2.47726061886056e-09,2.71065436763251e-09,3.29599772192444e-09
"29",0,203,1.7896026327513e-10,1.79142548017985e-10,2.33448871345132e-10,2.33448871345132e-10,2.50623022335361e-10,3.17931875271071e-10,3.32746790384839e-10
"30",0,210,2.54418864448214e-11,2.15010345899075e-11,2.72649888777288e-11,2.72649888777288e-11,3.20417477273072e-11,3.34636793102028e-11,3.94250361358943e-11
"31",0,217,2.26584289525489e-12,2.53510468368502e-12,2.78474400657036e-12,2.78474400657036e-12,3.33146243881519e-12,3.89797515012308e-12,4.23349977234202e-12
"32",0,224,2.44708740033614e-13,2.50007615521311e-13,2.50007615521311e-13,2.71198889083626e-13,2.89071799266724e-13,3.77332698100378e-13,4.28509241603862e-13
"33",0,231,2.83451901680149e-14,2.3851808030696e-14,3.32548353817238e-14,3.52871689659161e-14,3.85236852455065e-14,3.85236852455065e-14,3.60633783694895e-14
"34",0,238,1.69864929566531e-15,1.64494892088078e-15,2.04868682578845e-15,2.04868682578845e-15,2.24580261580108e-15,2.51367798709825e-15,2.58755213701405e-15
"35",0,245,7.44582790271566e-17,9.54430107521245e-17,9.54430107521245e-17,1.02473569502792e-16,1.10740114759627e-16,1.56041347896874e-16,1.73599636547856e-16
"36",0,252,5.49118018020009e-18,6.19446055208513e-18,6.50092823934e-18,6.53054688873854e-18,7.15319902982685e-18,9.92991803568783e-18,1.06553601953511e-17
"37",0,259,4.65838859475696e-19,4.2716896717006e-19,6.53147524387976e-19,6.84487045502743e-19,6.84487045502743e-19,8.69790853377333e-19,7.77490163579213e-19
"38",1,7,210.259384155273,165.334384918213,190.259796142578,190.259796142578,214.810775756836,223.86868019104,185.135418513833
"39",1,14,154.00325012207,125.684555053711,131.718574523926,145.8056640625,145.8056640625,169.406101226807,159.876031637777
"40",1,21,84.6283264160156,80.4255184173584,100.296367645264,100.430435180664,107.847566604614,121.714935302734,112.071552417537
"41",1,28,71.0263595581055,58.6603227615356,64.4902954101562,64.4902954101562,82.9147109985352,94.1463254928588,71.8167041997434
"42",1,35,66.1764678955078,54.2763789176941,67.3892059326172,67.3892059326172,86.9157752990723,94.1965408325195,80.5260397320711
"43",1,42,71.3842544555664,80.3751560211182,100.575302124023,100.575302124023,114.988842010498,137.414947509766,73.3647165004932
"44",1,49,136.271575927734,143.873641967773,151.887058258057,160.602447509766,161.687889099121,223.770875930786,208.152202890438
"45",1,56,1015.80847167969,725.714889526367,728.0146484375,735.678070068359,844.168823242188,1057.96459960938,720.568855983793
"46",1,63,13766.40234375,13902.2407470703,15329.77734375,17919.353515625,17919.353515625,20120.9032226562,12533.511421602
"47",1,70,116818.1484375,174188.810546875,179597.171875,180238.65625,185776.4375,236430.027734375,205059.501433861
"48",1,77,655741.5,735328.5609375,908120.1875,939596.1875,939596.1875,1081270.74375,765595.970966162
"49",1,84,1384413.125,1059283.625,1378210,1389670.25,1389670.25,1644326,1485052.3478977
"50",1,91,507557.40625,527128.0109375,585710.25,610422.25,610422.25,879548.699999999,675637.804582674
"51",1,98,189736.125,263462.730078125,324283.6875,324283.6875,361160.0859375,372007.6375,329799.60270613
"52",1,105,58833.6484375,69429.8203125,95558.234375,95558.234375,97188.421875,109469.056640625,82921.7415631429
"53",1,112,10180.451171875,11102.0335449219,12902.85546875,12902.85546875,14231.4951171875,15984.6931152344,13423.6282566605
"54",1,119,1543.74060058594,1410.89833984375,1708.65307617188,1708.65307617188,2108.43530273438,2345.82592773438,2061.46049426895
"55",1,126,137.470596313477,165.471481323242,209.870361328125,209.870361328125,232.262840270996,268.527465820312,218.203871446511
"56",1,133,13.7976160049438,15.8705251932144,20.6777019500732,20.6777019500732,20.9671096801758,23.0871315002441,24.4770958334742
"57",1,140,1.69121515750885,1.304851770401,1.73406803607941,1.74985659122467,1.74985659122467,1.99371707439423,2.07823171359677
"58",1,147,0.125909328460693,0.100071541965008,0.119001254439354,0.122722461819649,0.122722461819649,0.14853099361062,0.152085601577699
"59",1,154,0.00608570035547018,0.00695630117552355,0.00775557663291693,0.00775557663291693,0.00936022400856018,0.0110736990813166,0.0116712559530973
"60",1,161,0.000663437705952674,0.000647578309872188,0.00078551156911999,0.00078551156911999,0.00083143862138968,0.00095018994034035,0.000914511308300978
"61",1,168,6.28457564744167e-05,6.32037856121315e-05,7.5959280366078e-05,7.61356568546034e-05,7.61356568546034e-05,8.61127442476572e-05,0.000107427912562344
"62",1,175,4.59004559161258e-06,5.19157129019732e-06,5.80347932555014e-06,6.65721790937823e-06,6.65721790937823e-06,7.29586296301931e-06,7.36721297900734e-06
"63",1,182,3.2059625709735e-07,3.28201657850968e-07,3.50671314208739e-07,3.97319212197544e-07,3.97319212197544e-07,5.05899676284116e-07,4.42791135103683e-07
"64",1,189,2.59085179976637e-08,2.16654019169482e-08,2.16654019169482e-08,2.29072147917009e-08,2.77036793505658e-08,3.18008581245976e-08,3.60544370570134e-08
"65",1,196,1.89660909200029e-09,1.89364235403389e-09,2.19090168229741e-09,2.19090168229741e-09,2.47726061886056e-09,2.71065436763251e-09,3.29599772192444e-09
"66",1,203,1.86075807540043e-10,1.79142548017985e-10,2.33448871345132e-10,2.33448871345132e-10,2.50623022335361e-10,3.17931875271071e-10,3.32746790384839e-10
"67",1,210,1.94951086524009e-11,2.15010345899075e-11,2.72649888777288e-11,2.72649888777288e-11,3.20417477273072e-11,3.34636793102028e-11,3.94250361358943e-11
"68",1,217,2.11339019201562e-12,2.53510468368502e-12,2.78474400657036e-12,2.78474400657036e-12,3.33146243881519e-12,3.89797515012308e-12,4.23349977234202e-12
"69",1,224,2.46800355759719e-13,2.50007615521311e-13,2.50007615521311e-13,2.71198889083626e-13,2.89071799266724e-13,3.77332698100378e-13,4.28509241603862e-13
"70",1,231,2.85030110408133e-14,2.3851808030696e-14,3.32548353817238e-14,3.52871689659161e-14,3.85236852455065e-14,3.85236852455065e-14,3.60633783694895e-14
"71",1,238,1.99878620904157e-15,1.64494892088078e-15,2.04868682578845e-15,2.04868682578845e-15,2.24580261580108e-15,2.51367798709825e-15,2.58755213701405e-15
"72",1,245,9.61705194095874e-17,9.54430107521245e-17,9.54430107521245e-17,1.02473569502792e-16,1.10740114759627e-16,1.56041347896874e-16,1.73599636547856e-16
"73",1,252,5.02426402137412e-18,6.19446055208513e-18,6.50092823934e-18,6.53054688873854e-18,7.15319902982685e-18,9.92991803568783e-18,1.06553601953511e-17
"74",1,259,3.09568001549755e-19,4.2716896717006e-19,6.53147524387976e-19,6.84487045502743e-19,6.84487045502743e-19,8.69790853377333e-19,7.77490163579213e-19
"75",2,7,250.944412231445,165.334384918213,190.259796142578,190.259796142578,214.810775756836,223.86868019104,185.135418513833
"76",2,14,136.892456054688,125.684555053711,131.718574523926,145.8056640625,145.8056640625,169.406101226807,159.876031637777
"77",2,21,90.3856201171875,80.4255184173584,100.296367645264,100.430435180664,107.847566604614,121.714935302734,112.071552417537
"78",2,28,70.416618347168,58.6603227615356,64.4902954101562,64.4902954101562,82.9147109985352,94.1463254928588,71.8167041997434
"79",2,35,83.8574295043945,54.2763789176941,67.3892059326172,67.3892059326172,86.9157752990723,94.1965408325195,80.5260397320711
"80",2,42,100.293846130371,80.3751560211182,100.575302124023,100.575302124023,114.988842010498,137.414947509766,73.3647165004932
"81",2,49,169.732467651367,143.873641967773,151.887058258057,160.602447509766,161.687889099121,223.770875930786,208.152202890438
"82",2,56,1117.83483886719,725.714889526367,728.0146484375,735.678070068359,844.168823242188,1057.96459960938,720.568855983793
"83",2,63,19221.740234375,13902.2407470703,15329.77734375,17919.353515625,17919.353515625,20120.9032226562,12533.511421602
"84",2,70,235397.984375,174188.810546875,179597.171875,180238.65625,185776.4375,236430.027734375,205059.501433861
"85",2,77,814625.125,735328.5609375,908120.1875,939596.1875,939596.1875,1081270.74375,765595.970966162
"86",2,84,1288058.625,1059283.625,1378210,1389670.25,1389670.25,1644326,1485052.3478977
"87",2,91,549197.3125,527128.0109375,585710.25,610422.25,610422.25,879548.699999999,675637.804582674
"88",2,98,225948.890625,263462.730078125,324283.6875,324283.6875,361160.0859375,372007.6375,329799.60270613
"89",2,105,62314.65625,69429.8203125,95558.234375,95558.234375,97188.421875,109469.056640625,82921.7415631429
"90",2,112,11103.236328125,11102.0335449219,12902.85546875,12902.85546875,14231.4951171875,15984.6931152344,13423.6282566605
"91",2,119,1617.64831542969,1410.89833984375,1708.65307617188,1708.65307617188,2108.43530273438,2345.82592773438,2061.46049426895
"92",2,126,186.69580078125,165.471481323242,209.870361328125,209.870361328125,232.262840270996,268.527465820312,218.203871446511
"93",2,133,16.0677013397217,15.8705251932144,20.6777019500732,20.6777019500732,20.9671096801758,23.0871315002441,24.4770958334742
"94",2,140,1.63751590251923,1.304851770401,1.73406803607941,1.74985659122467,1.74985659122467,1.99371707439423,2.07823171359677
"95",2,147,0.111895449459553,0.100071541965008,0.119001254439354,0.122722461819649,0.122722461819649,0.14853099361062,0.152085601577699
"96",2,154,0.00676758727058768,0.00695630117552355,0.00775557663291693,0.00775557663291693,0.00936022400856018,0.0110736990813166,0.0116712559530973
"97",2,161,0.000592184718698263,0.000647578309872188,0.00078551156911999,0.00078551156911999,0.00083143862138968,0.00095018994034035,0.000914511308300978
"98",2,168,5.61993365408853e-05,6.32037856121315e-05,7.5959280366078e-05,7.61356568546034e-05,7.61356568546034e-05,8.61127442476572e-05,0.000107427912562344
"99",2,175,5.27204701938899e-06,5.19157129019732e-06,5.80347932555014e-06,6.65721790937823e-06,6.65721790937823e-06,7.29586296301931e-06,7.36721297900734e-06
"100",2,182,3.02578712307877e-07,3.28201657850968e-07,3.50671314208739e-07,3.97319212197544e-07,3.97319212197544e-07,5.05899676284116e-07,4.42791135103683e-07
"101",2,189,2.12666471099965e-08,2.16654019169482e-08,2.16654019169482e-08,2.29072147917009e-08,2.77036793505658e-08,3.18008581245976e-08,3.60544370570134e-08
"102",2,196,2.12318895798091e-09,1.89364235403389e-09,2.19090168229741e-09,2.19090168229741e-09,2.47726061886056e-09,2.71065436763251e-09,3.29599772192444e-09
"103",2,203,2.55804544213589e-10,1.79142548017985e-10,2.33448871345132e-10,2.33448871345132e-10,2.50623022335361e-10,3.17931875271071e-10,3.32746790384839e-10
"104",2,210,2.87820496602809e-11,2.15010345899075e-11,2.72649888777288e-11,2.72649888777288e-11,3.20417477273072e-11,3.34636793102028e-11,3.94250361358943e-11
"105",2,217,3.09111698910958e-12,2.53510468368502e-12,2.78474400657036e-12,2.78474400657036e-12,3.33146243881519e-12,3.89797515012308e-12,4.23349977234202e-12
"106",2,224,3.08863720190067e-13,2.50007615521311e-13,2.50007615521311e-13,2.71198889083626e-13,2.89071799266724e-13,3.77332698100378e-13,4.28509241603862e-13
"107",2,231,2.55501288258086e-14,2.3851808030696e-14,3.32548353817238e-14,3.52871689659161e-14,3.85236852455065e-14,3.85236852455065e-14,3.60633783694895e-14
"108",2,238,2.13856443303042e-15,1.64494892088078e-15,2.04868682578845e-15,2.04868682578845e-15,2.24580261580108e-15,2.51367798709825e-15,2.58755213701405e-15
"109",2,245,1.15328525322128e-16,9.54430107521245e-17,9.54430107521245e-17,1.02473569502792e-16,1.10740114759627e-16,1.56041347896874e-16,1.73599636547856e-16
"110",2,252,7.22122057313893e-18,6.19446055208513e-18,6.50092823934e-18,6.53054688873854e-18,7.15319902982685e-18,9.92991803568783e-18,1.06553601953511e-17
"111",2,259,4.32668968611108e-19,4.2716896717006e-19,6.53147524387976e-19,6.84487045502743e-19,6.84487045502743e-19,8.69790853377333e-19,7.77490163579213e-19
"112",3,7,195.546981811523,165.334384918213,190.259796142578,190.259796142578,214.810775756836,223.86868019104,185.135418513833
"113",3,14,125.684555053711,125.684555053711,131.718574523926,145.8056640625,145.8056640625,169.406101226807,159.876031637777
"114",3,21,86.089599609375,80.4255184173584,100.296367645264,100.430435180664,107.847566604614,121.714935302734,112.071552417537
"115",3,28,63.1871299743652,58.6603227615356,64.4902954101562,64.4902954101562,82.9147109985352,94.1463254928588,71.8167041997434
"116",3,35,64.1473617553711,54.2763789176941,67.3892059326172,67.3892059326172,86.9157752990723,94.1965408325195,80.5260397320711
"117",3,42,84.9539794921875,80.3751560211182,100.575302124023,100.575302124023,114.988842010498,137.414947509766,73.3647165004932
