"","np","time","value","q025","q25","q50","q75","q975","Y"
"1",0,7,501,487,526,545.5,566.25,609.025,550
"2",0,14,2180,1926,1996,2035,2082,2167,2043
"3",0,21,7733,7529.95,7661,7731,7803,7938.1,7745
"4",0,28,13462,13211,13397,13495,13601,13803.125,13518
"5",0,35,23469,23273.9,23525.75,23661.5,23790.75,24083.025,23640
"6",0,42,77392,76497.95,76950,77200,77436.25,78013.675,77227
"7",0,49,72658,69341.975,69807,70078.5,70332.5,70790.375,70135
"8",0,56,34986,39968,40309,40475.5,40669,41052,40480
"9",0,63,28028,24581.975,24866.75,24996,25130,25371.025,24998
"10",0,70,11832,11570.9,11733,11835,11937.25,12141.05,11829
"11",0,77,7359,6108.975,6294,6387,6466,6604.175,6410
"12",0,84,2361,3950.95,4048.75,4102,4159,4278.025,4120
"13",0,91,2719,5841,5998,6093.5,6180,6310.025,6084
"14",0,98,7983,7797,7966,8061,8155.25,8319,8018
"15",0,105,10087,9571,9729,9808.5,9904.25,10063,9843
"16",0,112,14058,13753.975,13959,14061,14149,14340.025,14031
"17",0,119,24327,23848.9,24113,24254,24404,24680.025,24280
"18",0,126,30702,30181.95,30483.5,30657.5,30828.25,31176.025,30690
"19",0,133,50229,49643.95,50065,50250,50435.25,50789.325,50210
"20",0,140,74077,73321.925,73809.75,74036.5,74269,74752.325,73974
"21",0,147,66851,66121.7,66648.75,66916,67148,67552.1,66816
"22",0,154,52985,51973.9,52373,52583,52782,53153,52544
"23",0,161,48624,48167,48520.5,48720.5,48902,49260.125,48688
"24",0,168,38222,37641.875,37953,38168.5,38365,38665.2,38163
"25",0,175,22528,22014.975,22323,22451,22587.25,22810.125,22468
"26",0,182,14982,14363.875,14550,14666,14784.25,15013.075,14737
"27",0,189,11662,11449.975,11633,11740,11836.25,12007.025,11726
"28",0,196,8249,8228.975,8376.75,8445.5,8523.25,8665.125,8435
"29",0,203,4523,4459.975,4592,4650,4730,4862.075,4631
"30",0,210,3271,3198.95,3315,3368,3423,3520.025,3357
"31",0,217,4318,3994,4114,4169,4226,4341,4182
"32",0,224,2487,2360.925,2459,2507,2556,2646,2487
"33",0,231,1681,1541,1615,1650,1689.25,1766,1663
"34",0,238,1136,1018,1064,1093,1121,1182,1092
"35",0,245,737,672.975,714,741,770,827,754
"36",0,252,410,347.975,379,397,418,455,391
"37",0,259,166,144,170,184,197,224.05,184
"38",1,7,574,487,526,545.5,566.25,609.025,550
"39",1,14,2024,1926,1996,2035,2082,2167,2043
"40",1,21,7778,7529.95,7661,7731,7803,7938.1,7745
"41",1,28,13382,13211,13397,13495,13601,13803.125,13518
"42",1,35,23628,23273.9,23525.75,23661.5,23790.75,24083.025,23640
"43",1,42,77063,76497.95,76950,77200,77436.25,78013.675,77227
"44",1,49,69929,69341.975,69807,70078.5,70332.5,70790.375,70135
"45",1,56,40173,39968,40309,40475.5,40669,41052,40480
"46",1,63,25164,24581.975,24866.75,24996,25130,25371.025,24998
"47",1,70,11847,11570.9,11733,11835,11937.25,12141.05,11829
"48",1,77,6573,6108.975,6294,6387,6466,6604.175,6410
"49",1,84,4155,3950.95,4048.75,4102,4159,4278.025,4120
"50",1,91,6047,5841,5998,6093.5,6180,6310.025,6084
"51",1,98,8072,7797,7966,8061,8155.25,8319,8018
"52",1,105,9790,9571,9729,9808.5,9904.25,10063,9843
"53",1,112,14170,13753.975,13959,14061,14149,14340.025,14031
"54",1,119,24382,23848.9,24113,24254,24404,24680.025,24280
"55",1,126,30338,30181.95,30483.5,30657.5,30828.25,31176.025,30690
"56",1,133,50247,49643.95,50065,50250,50435.25,50789.325,50210
"57",1,140,73979,73321.925,73809.75,74036.5,74269,74752.325,73974
"58",1,147,66970,66121.7,66648.75,66916,67148,67552.1,66816
"59",1,154,52226,51973.9,52373,52583,52782,53153,52544
"60",1,161,48177,48167,48520.5,48720.5,48902,49260.125,48688
"61",1,168,38134,37641.875,37953,38168.5,38365,38665.2,38163
"62",1,175,22382,22014.975,22323,22451,22587.25,22810.125,22468
"63",1,182,14738,14363.875,14550,14666,14784.25,15013.075,14737
"64",1,189,11549,11449.975,11633,11740,11836.25,12007.025,11726
"65",1,196,8701,8228.975,8376.75,8445.5,8523.25,8665.125,8435
"66",1,203,4607,4459.975,4592,4650,4730,4862.075,4631
"67",1,210,3358,3198.95,3315,3368,3423,3520.025,3357
"68",1,217,4117,3994,4114,4169,4226,4341,4182
"69",1,224,2591,2360.925,2459,2507,2556,2646,2487
"70",1,231,1611,1541,1615,1650,1689.25,1766,1663
"71",1,238,1117,1018,1064,1093,1121,1182,1092
"72",1,245,708,672.975,714,741,770,827,754
"73",1,252,371,347.975,379,397,418,455,391
"74",1,259,173,144,170,184,197,224.05,184
"75",2,7,582,487,526,545.5,566.25,609.025,550
"76",2,14,2055,1926,1996,2035,2082,2167,2043
"77",2,21,7855,7529.95,7661,7731,7803,7938.1,7745
"78",2,28,13666,13211,13397,13495,13601,13803.125,13518
"79",2,35,23893,23273.9,23525.75,23661.5,23790.75,24083.025,23640
"80",2,42,77179,76497.95,76950,77200,77436.25,78013.675,77227
"81",2,49,69743,69341.975,69807,70078.5,70332.5,70790.375,70135
"82",2,56,40217,39968,40309,40475.5,40669,41052,40480
"83",2,63,24767,24581.975,24866.75,24996,25130,25371.025,24998
"84",2,70,12044,11570.9,11733,11835,11937.25,12141.05,11829
"85",2,77,6438,6108.975,6294,6387,6466,6604.175,6410
"86",2,84,4191,3950.95,4048.75,4102,4159,4278.025,4120
"87",2,91,6197,5841,5998,6093.5,6180,6310.025,6084
"88",2,98,8067,7797,7966,8061,8155.25,8319,8018
"89",2,105,9641,9571,9729,9808.5,9904.25,10063,9843
"90",2,112,14064,13753.975,13959,14061,14149,14340.025,14031
"91",2,119,24426,23848.9,24113,24254,24404,24680.025,24280
"92",2,126,30520,30181.95,30483.5,30657.5,30828.25,31176.025,30690
"93",2,133,50392,49643.95,50065,50250,50435.25,50789.325,50210
"94",2,140,73849,73321.925,73809.75,74036.5,74269,74752.325,73974
"95",2,147,66677,66121.7,66648.75,66916,67148,67552.1,66816
"96",2,154,52436,51973.9,52373,52583,52782,53153,52544
"97",2,161,48167,48167,48520.5,48720.5,48902,49260.125,48688
"98",2,168,38065,37641.875,37953,38168.5,38365,38665.2,38163
"99",2,175,22261,22014.975,22323,22451,22587.25,22810.125,22468
"100",2,182,14410,14363.875,14550,14666,14784.25,15013.075,14737
"101",2,189,11588,11449.975,11633,11740,11836.25,12007.025,11726
"102",2,196,8629,8228.975,8376.75,8445.5,8523.25,8665.125,8435
"103",2,203,4567,4459.975,4592,4650,4730,4862.075,4631
"104",2,210,3439,3198.95,3315,3368,3423,3520.025,3357
"105",2,217,4114,3994,4114,4169,4226,4341,4182
"106",2,224,2493,2360.925,2459,2507,2556,2646,2487
"107",2,231,1598,1541,1615,1650,1689.25,1766,1663
"108",2,238,1095,1018,1064,1093,1121,1182,1092
"109",2,245,714,672.975,714,741,770,827,754
"110",2,252,358,347.975,379,397,418,455,391
"111",2,259,162,144,170,184,197,224.05,184
"112",3,7,613,487,526,545.5,566.25,609.025,550
"113",3,14,2095,1926,1996,2035,2082,2167,2043
"114",3,21,7671,7529.95,7661,7731,7803,7938.1,7745
"115",3,28,13499,13211,13397,13495,13601,13803.125,13518
"116",3,35,23537,23273.9,23525.75,23661.5,23790.75,24083.025,23640
"117",3,42,77089,76497.95,76950,77200,77436.25,78013.675,77227
"118",3,49,70286,69341.975,69807,70078.5,70332.5,70790.375,70135
"119",3,56,40241,39968,40309,40475.5,40669,41052,40480
"120",3,63,24778,24581.975,24866.75,24996,25130,25371.025,24998
"121",3,70,11997,11570.9,11733,11835,11937.25,12141.05,11829
"122",3,77,6537,6108.975,6294,6387,6466,6604.175,6410
"123",3,84,4133,3950.95,4048.75,4102,4159,4278.025,4120
"124",3,91,6056,5841,5998,6093.5,6180,6310.025,6084
"125",3,98,8050,7797,7966,8061,8155.25,8319,8018
"126",3,105,9633,9571,9729,9808.5,9904.25,10063,9843
"127",3,112,13984,13753.975,13959,14061,14149,14340.025,14031
"128",3,119,24059,23848.9,24113,24254,24404,24680.025,24280
"129",3,126,30542,30181.95,30483.5,30657.5,30828.25,31176.025,30690
"130",3,133,50437,49643.95,50065,50250,50435.25,50789.325,50210
"131",3,140,73678,73321.925,73809.75,74036.5,74269,74752.325,73974
"132",3,147,67449,66121.7,66648.75,66916,67148,67552.1,66816
"133",3,154,52817,51973.9,52373,52583,52782,53153,52544
"134",3,161,48307,48167,48520.5,48720.5,48902,49260.125,48688
"135",3,168,38119,37641.875,37953,38168.5,38365,38665.2,38163
"136",3,175,22046,22014.975,22323,22451,22587.25,22810.125,22468
"137",3,182,14524,14363.875,14550,14666,14784.25,15013.075,14737
"138",3,189,11567,11449.975,11633,11740,11836.25,12007.025,11726
