"","time","S","E","I","R"
"158",158,110998.605027879,1479.91047073231,3830.33875548471,883691.145745904
"159",159,110796.934685588,1330.5982078652,3450.27410278323,884422.193003764
"160",160,110615.60414595,1196.35693405654,3107.39267134917,885080.646248645
"161",161,110452.560408964,1075.66543030855,2798.15602305498,885673.618137672
"162",162,110305.958012337,967.155717448334,2519.34373713724,886207.542533078
"163",163,110174.138016698,869.597774284155,2268.02839363427,886688.235815384
"164",164,110055.60907746,781.885691606429,2041.55182272397,887120.95340821
"165",165,109949.030474102,703.02521116852,1837.50270360999,887510.44161112
"166",166,109853.19686015,632.122492828002,1653.69555936751,887860.985087654
"167",167,109767.024567452,568.373990143,1488.15117737811,888176.450265027
"168",168,109689.539300633,511.057342482906,1339.0784140634,888460.324942821
"169",169,109619.865080883,459.523177778073,1204.85736004227,888715.754381297
"170",170,109557.214311518,413.187737171931,1084.02381475829,888945.574136552
"171",171,109500.878849771,371.526243996608,975.255003284823,889152.339902948
"172",172,109450.221982978,334.066940617925,877.356472824516,889338.35460358
"173",173,109404.671216906,300.385727187365,789.250096703588,889505.692959204
"174",174,109363.711793461,270.101342733646,709.963112194046,889656.223751611
"175",175,109326.880863916,242.871033277764,638.618121511825,889791.629981295
"176",176,109293.762251036,218.386658262381,574.423984590258,889913.427106111
"177",177,109263.981740454,196.371191196457,516.667535176208,890022.979533174
"178",178,109237.202846012,176.575573172409,464.706052451369,890121.515528365
"179",179,109213.123001508,158.775884214888,417.960426754764,890210.140687522
"180",180,109191.470155493,142.770814704992,375.908993389293,890289.850036413
"181",181,109171.999680751,128.379369784394,338.081900325165,890361.53904914
"182",182,109154.491605302,115.438814926212,304.056024755204,890426.013555017
"183",183,109138.748131293,103.802836910407,273.450387056305,890483.99864474
"184",184,109124.591400683,93.3398848009625,245.922002105822,890536.14671241
"185",185,109111.861483689,83.9316787273992,221.162124779507,890583.044712805
"186",186,109100.414571211,75.4718705504792,198.892860702337,890625.220697537
"187",187,109090.121349765,67.8648386520543,178.864108557337,890663.149703027
"188",188,109080.865540057,61.0246057664277,160.850799106517,890697.25905507
"189",189,109072.54258306,54.8738656977208,144.650405505585,890727.933145737
"190",190,109065.05845862,49.3431080196582,130.080698743056,890755.517734617
"191",191,109058.328623033,44.3698318521653,116.977723080076,890780.323822035
"192",192,109052.277053849,39.8978385332728,105.193972257988,890802.63113536
"193",193,109046.835390964,35.8765958081844,94.5967459966141,890822.691267232
"194",194,109041.942164229,32.2606664429937,85.0666690081108,890840.730500321
"195",195,109037.542099017,29.0091941860272,76.4963576413757,890856.952349156
"196",196,109033.585491741,26.0854418039178,68.7892187901367,890871.539847666
"197",197,109030.02764831,23.4563757462709,61.8583683931641,890884.657607551
"198",198,109026.828379245,21.0922925718879,55.6256580207087,890896.453670162
"199",199,109023.951545636,18.9664832173433,50.020798356858,890907.06117279
"200",200,109021.364650881,17.0549310673377,44.9805703733876,890916.599847679
"201",201,109019.038473596,15.3360404492622,40.4481154418745,890925.177370514
"202",202,109016.946737493,13.7903925931582,36.3722963508774,890932.890573563
"203",203,109015.065814558,12.4005261378131,32.7071224334278,890939.826536871
"204",204,109013.374458139,11.1507397899296,29.411232274628,890946.063569797
"205",205,109011.853562926,10.026914910135,26.4474282428838,890951.672093922
"206",206,109010.48594914,9.01635594762817,23.7822577901296,890956.715437123
"207",207,109009.256168463,8.10764699081092,21.3856367302376,890961.250547816
"208",208,109008.15032953,7.29052278034372,19.2305103465093,890965.328637344
"209",209,109007.15594101,6.55575270973611,17.2925485705512,890968.99575771
"210",210,109006.261770504,5.89503654046204,15.5498717562597,890972.293321199
"211",211,109005.457717663,5.30091062090479,13.9828040338931,890975.258567683
"212",212,109004.734700091,4.76666355664691,12.5736514670466,890977.924984885
"213",213,109004.084550756,4.28626039179401,11.3065025021275,890980.32268635
"214",214,109003.499925731,3.85427442455348,10.167048505228,890982.47875134
"215",215,109002.974221239,3.46582589894695,9.14242234921328,890984.417530514
"216",216,109002.501499056,3.11652687943655,8.22105323784319,890986.160920827
