"","y.np","y.time","y.value","S.np","S.time","S.value","E.np","E.time","E.value","I.np","I.time","I.value","R.np","R.time","R.value","x.np","x.time","x.value","Z.np","Z.time","Z.value","k.np","k.value","gamma.np","gamma.value","sigma.np","sigma.value","E0.np","E0.value","I0.np","I0.value","R0.np","R0.value","x0.np","x0.value","tau.np","tau.value","clock","e.np","e.time","e.value","loglikelihood.np","loglikelihood.value","logprior.np","logprior.value"
"11",0,77,885052.296885557,0,77,38498508,0,77,1783068.75,0,77,910353.8125,0,77,11004448,0,77,0.736492514610291,0,77,4064612.25,10,1.56023216247559,10,1.24376118183136,10,0.103228762745857,10,-12.2540044784546,10,-11.6227674484253,10,0.0654647052288055,10,-0.183552503585815,10,0.204895481467247,4438,0,77,-0.416847288608551,10,165.69482421875,10,-3.67263913154602
"12",0,84,1757648.43086022,0,84,28453328,0,84,2109187.75,0,84,1313601.5,0,84,20320262,0,84,0.565292477607727,0,84,9719062,11,1.56023216247559,11,1.24376118183136,11,0.103228762745857,11,-12.2540044784546,11,-11.6227674484253,11,0.0654647052288055,11,-0.183552503585815,11,0.204895481467247,4438,0,84,0.875254929065704,11,165.69482421875,11,-3.67263913154602
"13",0,91,1234042.51015529,0,91,23600562,0,91,877255,0,91,578191.8125,0,91,27140372,0,91,0.597621500492096,0,91,6084699.5,12,1.56186163425446,12,1.1430196762085,12,0.095076821744442,12,-11.9084157943726,12,-11.8460311889648,12,0.0532615631818771,12,-0.358243525028229,12,0.157660558819771,4438,0,91,0.416381597518921,12,162.740341186523,12,-1.57307600975037
"14",0,98,496835.039925522,0,98,21159056,0,98,482238.96875,0,98,311019.09375,0,98,30244066,0,98,0.759981691837311,0,98,2836521.5,13,1.58122825622559,13,1.12267637252808,13,0.118569202721119,13,-12.5411691665649,13,-11.9591197967529,13,0.0602765493094921,13,-0.294107884168625,13,0.129965126514435,4438,0,98,0.338246554136276,13,164.872985839844,13,-0.459347695112228
"15",0,105,247394.538072315,0,105,20373260,0,105,100166.1953125,0,105,78789.5078125,0,105,31644164,0,105,0.109807841479778,0,105,1167869.625,14,1.58122825622559,14,1.12267637252808,14,0.118569202721119,14,-12.5411691665649,14,-11.9591197967529,14,0.0602765493094921,14,-0.294107884168625,14,0.129965126514435,4438,0,105,-1.42637157440186,14,164.872985839844,14,-0.459347695112228
"16",0,112,32436.5759619185,0,112,20273450,0,112,14977.3916015625,0,112,11100.9453125,0,112,31896852,0,112,0.445725709199905,0,112,184998.40625,15,1.58122825622559,15,1.12267637252808,15,0.118569202721119,15,-12.5411691665649,15,-11.9591197967529,15,0.0602765493094921,15,-0.294107884168625,15,0.129965126514435,4438,0,112,0.217946767807007,15,164.872985839844,15,-0.459347695112228
"17",0,119,5390.65556109267,0,119,20255998,0,119,1959.68725585938,0,119,1643.65393066406,0,119,31936778,0,119,0.0913963615894318,0,119,30468.94140625,16,1.59908699989319,16,1.09345245361328,16,0.119229182600975,16,-13.0576171875,16,-11.4844369888306,16,0.185807183384895,16,-0.201971650123596,16,0.142997071146965,4438,0,119,1.29429757595062,16,161.715667724609,16,-0.170178204774857
"18",0,126,717.806521061796,0,126,20254212,0,126,188.324142456055,0,126,168.007720947266,0,126,31941812,0,126,-0.261256396770477,0,126,3557.47314453125,17,1.59077262878418,17,0.994457066059113,17,0.116566173732281,17,-13.7297334671021,17,-10.947395324707,17,0.180380240082741,17,-0.297423899173737,17,0.155984580516815,4438,0,126,-0.816546678543091,17,164.239883422852,17,-0.694091022014618
"19",0,133,64.20397440797,0,133,20254064,0,133,19.3681468963623,0,133,16.2445983886719,0,133,31942280,0,133,0.0575936548411846,0,133,316.861450195312,18,1.55638098716736,18,1.03089094161987,18,0.0875796228647232,18,-15.1108026504517,18,-10.764121055603,18,0.171760603785515,18,-0.233620330691338,18,0.119224309921265,4438,0,133,0.959185481071472,18,165.747467041016,18,-1.6600741147995
"20",0,140,7.20443588670286,0,140,20254048,0,140,1.5689218044281,0,140,1.473428606987,0,140,31942328,0,140,-0.525639891624451,0,140,33.5081329345703,19,1.55707883834839,19,1.06369042396545,19,0.0922788679599762,19,-15.8369512557983,19,-10.4616947174072,19,0.223572760820389,19,-0.209213435649872,19,0.134998440742493,4438,0,140,-1.70347881317139,19,166.669021606445,19,-1.52107048034668
