"","time","value","q025","q25","q50","q75","q975","Y"
"1",1,-0.303135630562159,-0.303135630562159,-0.303135630562159,-0.303135630562159,-0.303135630562159,-0.303135630562159,-0.270643765
"2",2,0.196613897133919,0.196613897133919,0.196613897133919,0.196613897133919,0.196613897133919,0.196613897133919,0.505738128
"3",3,-0.609321140373602,-0.609321140373602,-0.609321140373602,-0.609321140373602,-0.609321140373602,-0.609321140373602,0.028997245
"4",4,0.234517577250675,0.234517577250675,0.234517577250675,0.234517577250675,0.234517577250675,0.234517577250675,0.588500998
"5",5,0.101157624400229,0.101157624400229,0.101157624400229,0.101157624400229,0.101157624400229,0.101157624400229,-0.10622795
"6",6,0.612399652040604,0.612399652040604,0.612399652040604,0.612399652040604,0.612399652040604,0.612399652040604,-0.234476389
"7",7,0.038582049184174,0.038582049184174,0.038582049184174,0.038582049184174,0.038582049184174,0.038582049184174,-0.005253723
"8",8,-0.344441592228661,-0.344441592228661,-0.344441592228661,-0.344441592228661,-0.344441592228661,-0.344441592228661,-0.020408674
"9",9,0.0092141423175709,0.0092141423175709,0.0092141423175709,0.0092141423175709,0.0092141423175709,0.0092141423175709,-0.294518728
"10",10,-0.0816360915610636,-0.0816360915610636,-0.0816360915610636,-0.0816360915610636,-0.0816360915610636,-0.0816360915610636,-1.115847618
"11",11,-0.389754890993444,-0.389754890993444,-0.389754890993444,-0.389754890993444,-0.389754890993444,-0.389754890993444,0.285084129
"12",12,0.0573097250698207,0.0573097250698207,0.0573097250698207,0.0573097250698207,0.0573097250698207,0.0573097250698207,0.532849418
"13",13,-0.511156071271849,-0.511156071271849,-0.511156071271849,-0.511156071271849,-0.511156071271849,-0.511156071271849,0.938271075
"14",14,0.494116334424797,0.494116334424797,0.494116334424797,0.494116334424797,0.494116334424797,0.494116334424797,-0.232241258
"15",15,-0.0258015291703899,-0.0258015291703899,-0.0258015291703899,-0.0258015291703899,-0.0258015291703899,-0.0258015291703899,-0.224245355
"16",16,-0.0251216864894571,-0.0251216864894571,-0.0251216864894571,-0.0251216864894571,-0.0251216864894571,-0.0251216864894571,0.012988128
"17",17,-0.462098536218215,-0.462098536218215,-0.462098536218215,-0.462098536218215,-0.462098536218215,-0.462098536218215,0.01302281
"18",18,-0.158735674088803,-0.158735674088803,-0.158735674088803,-0.158735674088803,-0.158735674088803,-0.158735674088803,-0.283504704
"19",19,0.0188758382700509,0.0188758382700509,0.0188758382700509,0.0188758382700509,0.0188758382700509,0.0188758382700509,-0.107743172
"20",20,-0.111354634424366,-0.111354634424366,-0.111354634424366,-0.111354634424366,-0.111354634424366,-0.111354634424366,-0.778609774
"21",21,0.188113616685784,0.188113616685784,0.188113616685784,0.188113616685784,0.188113616685784,0.188113616685784,0.271404578
"22",22,0.227079364210771,0.227079364210771,0.227079364210771,0.227079364210771,0.227079364210771,0.227079364210771,0.243994679
"23",23,0.361872532159532,0.361872532159532,0.361872532159532,0.361872532159532,0.361872532159532,0.361872532159532,-0.188389421
"24",24,-0.787797494062452,-0.787797494062452,-0.787797494062452,-0.787797494062452,-0.787797494062452,-0.787797494062452,-0.192965527
"25",25,-0.571016198542618,-0.571016198542618,-0.571016198542618,-0.571016198542618,-0.571016198542618,-0.571016198542618,-0.153267979
"26",26,0.0250450731103884,0.0250450731103884,0.0250450731103884,0.0250450731103884,0.0250450731103884,0.0250450731103884,0.249619378
"27",27,-0.292426721574005,-0.292426721574005,-0.292426721574005,-0.292426721574005,-0.292426721574005,-0.292426721574005,-0.295613788
"28",28,-0.0227308793347967,-0.0227308793347967,-0.0227308793347967,-0.0227308793347967,-0.0227308793347967,-0.0227308793347967,-0.40377667
"29",29,-0.0271438332215766,-0.0271438332215766,-0.0271438332215766,-0.0271438332215766,-0.0271438332215766,-0.0271438332215766,0.059116754
"30",30,-0.0787572620645344,-0.0787572620645344,-0.0787572620645344,-0.0787572620645344,-0.0787572620645344,-0.0787572620645344,0.655878916
"31",31,0.169707455357874,0.169707455357874,0.169707455357874,0.169707455357874,0.169707455357874,0.169707455357874,0.277991709
"32",32,0.287803842030754,0.287803842030754,0.287803842030754,0.287803842030754,0.287803842030754,0.287803842030754,-0.270573626
"33",33,0.574230733975196,0.574230733975196,0.574230733975196,0.574230733975196,0.574230733975196,0.574230733975196,-0.098402953
"34",34,0.0983123377908333,0.0983123377908333,0.0983123377908333,0.0983123377908333,0.0983123377908333,0.0983123377908333,0.494750211
"35",35,0.308275445712457,0.308275445712457,0.308275445712457,0.308275445712457,0.308275445712457,0.308275445712457,-0.129819836
"36",36,0.108731597411394,0.108731597411394,0.108731597411394,0.108731597411394,0.108731597411394,0.108731597411394,0.385147131
"37",37,0.493801094848309,0.493801094848309,0.493801094848309,0.493801094848309,0.493801094848309,0.493801094848309,-0.153648685
"38",38,0.124731248446713,0.124731248446713,0.124731248446713,0.124731248446713,0.124731248446713,0.124731248446713,-0.067276463
"39",39,0.010753751793301,0.010753751793301,0.010753751793301,0.010753751793301,0.010753751793301,0.010753751793301,-0.588238456
"40",40,-0.277074913104429,-0.277074913104429,-0.277074913104429,-0.277074913104429,-0.277074913104429,-0.277074913104429,-0.322117855
"41",41,-0.00686893645361914,-0.00686893645361914,-0.00686893645361914,-0.00686893645361914,-0.00686893645361914,-0.00686893645361914,0.349765228
"42",42,0.00487031496504723,0.00487031496504723,0.00487031496504723,0.00487031496504723,0.00487031496504723,0.00487031496504723,-0.427967571
"43",43,0.116762071302358,0.116762071302358,0.116762071302358,0.116762071302358,0.116762071302358,0.116762071302358,-0.070880872
"44",44,0.294742672639537,0.294742672639537,0.294742672639537,0.294742672639537,0.294742672639537,0.294742672639537,-0.034871875
"45",45,0.0886069320851454,0.0886069320851454,0.0886069320851454,0.0886069320851454,0.0886069320851454,0.0886069320851454,0.026264072
"46",46,0.188861876419577,0.188861876419577,0.188861876419577,0.188861876419577,0.188861876419577,0.188861876419577,-0.087640118
"47",47,0.448611126297298,0.448611126297298,0.448611126297298,0.448611126297298,0.448611126297298,0.448611126297298,-0.494432696
"48",48,-0.234112382713059,-0.234112382713059,-0.234112382713059,-0.234112382713059,-0.234112382713059,-0.234112382713059,0.112974794
"49",49,-0.214945200082661,-0.214945200082661,-0.214945200082661,-0.214945200082661,-0.214945200082661,-0.214945200082661,-0.453030591
"50",50,0.840957355187268,0.840957355187268,0.840957355187268,0.840957355187268,0.840957355187268,0.840957355187268,0.258896166
"51",51,0.133197857249877,0.133197857249877,0.133197857249877,0.133197857249877,0.133197857249877,0.133197857249877,0.303166645
"52",52,-0.941103222492972,-0.941103222492972,-0.941103222492972,-0.941103222492972,-0.941103222492972,-0.941103222492972,-0.131997372
"53",53,0.208206400389195,0.208206400389195,0.208206400389195,0.208206400389195,0.208206400389195,0.208206400389195,0.340474344
"54",54,0.0273439902119904,0.0273439902119904,0.0273439902119904,0.0273439902119904,0.0273439902119904,0.0273439902119904,-0.024064032
"55",55,-0.136806392299752,-0.136806392299752,-0.136806392299752,-0.136806392299752,-0.136806392299752,-0.136806392299752,0.038281187
"56",56,-0.252085292177885,-0.252085292177885,-0.252085292177885,-0.252085292177885,-0.252085292177885,-0.252085292177885,0.089356623
"57",57,-0.681431105394231,-0.681431105394231,-0.681431105394231,-0.681431105394231,-0.681431105394231,-0.681431105394231,-0.328249111
"58",58,-0.216251761521779,-0.216251761521779,-0.216251761521779,-0.216251761521779,-0.216251761521779,-0.216251761521779,-0.185561613
"59",59,0.093374543911532,0.093374543911532,0.093374543911532,0.093374543911532,0.093374543911532,0.093374543911532,-0.339500339
"60",60,0.038704866865804,0.038704866865804,0.038704866865804,0.038704866865804,0.038704866865804,0.038704866865804,-0.184456115
"61",61,-0.515895581914396,-0.515895581914396,-0.515895581914396,-0.515895581914396,-0.515895581914396,-0.515895581914396,-0.169120163
"62",62,0.086987401626356,0.086987401626356,0.086987401626356,0.086987401626356,0.086987401626356,0.086987401626356,-0.338446365
"63",63,0.0833256878803509,0.0833256878803509,0.0833256878803509,0.0833256878803509,0.0833256878803509,0.0833256878803509,0.112080222
"64",64,0.271541754805979,0.271541754805979,0.271541754805979,0.271541754805979,0.271541754805979,0.271541754805979,0.018268804
"65",65,-0.136973365710069,-0.136973365710069,-0.136973365710069,-0.136973365710069,-0.136973365710069,-0.136973365710069,0.113550286
