S.R deSolve,S.libbi value,E.R deSolve,E.libbi value,I.R deSolve,I.libbi value,R.R deSolve,R.libbi value
1880751.008,1437284.638,2.30E-07,1.25E-07,1.60E-05,7.76E-06,50315629.99,50759096.36
1880751.008,1437284.638,2.07E-07,1.11E-07,1.42E-05,6.90E-06,50315629.99,50759096.36
1880751.008,1437284.638,1.86E-07,9.90E-08,1.27E-05,6.15E-06,50315629.99,50759096.36
1880751.008,1437284.638,1.66E-07,8.81E-08,1.13E-05,5.47E-06,50315629.99,50759096.36
1880751.008,1437284.638,1.50E-07,7.84E-08,1.00E-05,4.87E-06,50315629.99,50759096.36
1880751.008,1437284.638,1.35E-07,6.98E-08,8.92E-06,4.33E-06,50315629.99,50759096.36
1880751.008,1437284.638,1.22E-07,6.21E-08,7.94E-06,3.85E-06,50315629.99,50759096.36
1880751.008,1437284.638,1.09E-07,5.53E-08,7.07E-06,3.43E-06,50315629.99,50759096.36
1880751.008,1437284.638,9.81E-08,4.92E-08,6.29E-06,3.05E-06,50315629.99,50759096.36
1880751.008,1437284.638,8.66E-08,4.38E-08,5.59E-06,2.72E-06,50315629.99,50759096.36
1880751.008,1437284.638,7.66E-08,3.90E-08,4.98E-06,2.42E-06,50315629.99,50759096.36
1880751.008,1437284.638,6.91E-08,3.47E-08,4.43E-06,2.15E-06,50315629.99,50759096.36
1880751.008,1437284.638,6.29E-08,3.09E-08,3.94E-06,1.92E-06,50315629.99,50759096.36
1880751.008,1437284.638,5.67E-08,2.75E-08,3.51E-06,1.70E-06,50315629.99,50759096.36
1880751.008,1437284.638,5.07E-08,2.44E-08,3.12E-06,1.52E-06,50315629.99,50759096.36
1880751.008,1437284.638,4.60E-08,2.17E-08,2.78E-06,1.35E-06,50315629.99,50759096.36
1880751.008,1437284.638,4.22E-08,1.94E-08,2.47E-06,1.20E-06,50315629.99,50759096.36
1880751.008,1437284.638,3.89E-08,1.72E-08,2.20E-06,1.07E-06,50315629.99,50759096.36
1880751.008,1437284.638,3.59E-08,1.53E-08,1.96E-06,9.51E-07,50315629.99,50759096.36
1880751.008,1437284.638,3.29E-08,1.36E-08,1.75E-06,8.47E-07,50315629.99,50759096.36
1880751.008,1437284.638,3.09E-08,1.21E-08,1.55E-06,7.54E-07,50315629.99,50759096.36
1880751.008,1437284.638,2.85E-08,1.08E-08,1.38E-06,6.71E-07,50315629.99,50759096.36
1880751.008,1437284.638,2.58E-08,9.62E-09,1.23E-06,5.97E-07,50315629.99,50759096.36
1880751.008,1437284.638,2.30E-08,8.56E-09,1.10E-06,5.31E-07,50315629.99,50759096.36
1880751.008,1437284.638,2.04E-08,7.62E-09,9.79E-07,4.73E-07,50315629.99,50759096.36
1880751.008,1437284.638,1.78E-08,6.78E-09,8.72E-07,4.21E-07,50315629.99,50759096.36
1880751.008,1437284.638,1.55E-08,6.03E-09,7.76E-07,3.74E-07,50315629.99,50759096.36
1880751.008,1437284.638,1.33E-08,5.37E-09,6.91E-07,3.33E-07,50315629.99,50759096.36
1880751.008,1437284.638,1.15E-08,4.78E-09,6.16E-07,2.97E-07,50315629.99,50759096.36
1880751.008,1437284.638,1.00E-08,4.25E-09,5.48E-07,2.64E-07,50315629.99,50759096.36
1880751.008,1437284.638,8.72E-09,3.78E-09,4.88E-07,2.35E-07,50315629.99,50759096.36
1880751.008,1437284.638,7.55E-09,3.37E-09,4.34E-07,2.09E-07,50315629.99,50759096.36
1880751.008,1437284.638,6.59E-09,3.00E-09,3.87E-07,1.86E-07,50315629.99,50759096.36
1880751.008,1437284.638,5.83E-09,2.67E-09,3.44E-07,1.66E-07,50315629.99,50759096.36
1880751.008,1437284.638,5.12E-09,2.37E-09,3.06E-07,1.47E-07,50315629.99,50759096.36
1880751.008,1437284.638,4.53E-09,2.11E-09,2.73E-07,1.31E-07,50315629.99,50759096.36
1880751.008,1437284.638,4.08E-09,1.88E-09,2.43E-07,1.17E-07,50315629.99,50759096.36
1880751.008,1437284.638,3.64E-09,1.67E-09,2.16E-07,1.04E-07,50315629.99,50759096.36
1880751.008,1437284.638,3.24E-09,1.49E-09,1.92E-07,9.24E-08,50315629.99,50759096.36
1880751.008,1437284.638,2.93E-09,1.32E-09,1.71E-07,8.22E-08,50315629.99,50759096.36
1880751.008,1437284.638,2.69E-09,1.18E-09,1.52E-07,7.32E-08,50315629.99,50759096.36
1880751.008,1437284.638,2.48E-09,1.05E-09,1.36E-07,6.51E-08,50315629.99,50759096.36
1880751.008,1437284.638,2.25E-09,9.34E-10,1.21E-07,5.80E-08,50315629.99,50759096.36
1880751.008,1437284.638,2.03E-09,8.31E-10,1.08E-07,5.16E-08,50315629.99,50759096.36
1880751.008,1437284.638,1.80E-09,7.40E-10,9.58E-08,4.59E-08,50315629.99,50759096.36
1880751.008,1437284.638,1.58E-09,6.58E-10,8.53E-08,4.09E-08,50315629.99,50759096.36
1880751.008,1437284.638,1.39E-09,5.86E-10,7.59E-08,3.64E-08,50315629.99,50759096.36
1880751.008,1437284.638,1.22E-09,5.21E-10,6.76E-08,3.24E-08,50315629.99,50759096.36
1880751.008,1437284.638,1.08E-09,4.64E-10,6.02E-08,2.88E-08,50315629.99,50759096.36
1880751.008,1437284.638,9.43E-10,4.13E-10,5.36E-08,2.56E-08,50315629.99,50759096.36
1880751.008,1437284.638,8.32E-10,3.67E-10,4.77E-08,2.28E-08,50315629.99,50759096.36
1880751.008,1437284.638,7.45E-10,3.27E-10,4.25E-08,2.03E-08,50315629.99,50759096.36
1880751.008,1437284.638,6.72E-10,2.91E-10,3.78E-08,1.81E-08,50315629.99,50759096.36
1880751.008,1437284.638,6.06E-10,2.59E-10,3.36E-08,1.61E-08,50315629.99,50759096.36
1880751.008,1437284.638,5.47E-10,2.31E-10,3.00E-08,1.43E-08,50315629.99,50759096.36
1880751.008,1437284.638,4.99E-10,2.05E-10,2.67E-08,1.27E-08,50315629.99,50759096.36
1880751.008,1437284.638,4.55E-10,1.83E-10,2.37E-08,1.13E-08,50315629.99,50759096.36
1880751.008,1437284.638,4.09E-10,1.62E-10,2.11E-08,1.01E-08,50315629.99,50759096.36
1880751.008,1437284.638,3.69E-10,1.45E-10,1.88E-08,8.97E-09,50315629.99,50759096.36
1880751.008,1437284.638,3.27E-10,1.29E-10,1.68E-08,7.99E-09,50315629.99,50759096.36
1880751.008,1437284.638,2.94E-10,1.15E-10,1.49E-08,7.11E-09,50315629.99,50759096.36
1880751.008,1437284.638,2.64E-10,1.02E-10,1.33E-08,6.33E-09,50315629.99,50759096.36
1880751.008,1437284.638,2.37E-10,9.07E-11,1.18E-08,5.63E-09,50315629.99,50759096.36
1880751.008,1437284.638,2.13E-10,8.07E-11,1.06E-08,5.01E-09,50315629.99,50759096.36
1880751.008,1437284.638,1.91E-10,7.18E-11,9.40E-09,4.46E-09,50315629.99,50759096.36
1880751.008,1437284.638,1.74E-10,6.39E-11,8.37E-09,3.97E-09,50315629.99,50759096.36
1880751.008,1437284.638,1.55E-10,5.69E-11,7.46E-09,3.53E-09,50315629.99,50759096.36
1880751.008,1437284.638,1.40E-10,5.06E-11,6.64E-09,3.14E-09,50315629.99,50759096.36
1880751.008,1437284.638,1.23E-10,4.51E-11,5.92E-09,2.80E-09,50315629.99,50759096.36
1880751.008,1437284.638,1.08E-10,4.01E-11,5.27E-09,2.49E-09,50315629.99,50759096.36
1880751.008,1437284.638,9.44E-11,3.57E-11,4.70E-09,2.22E-09,50315629.99,50759096.36
1880751.008,1437284.638,8.23E-11,3.18E-11,4.18E-09,1.97E-09,50315629.99,50759096.36
1880751.008,1437284.638,7.17E-11,2.83E-11,3.72E-09,1.75E-09,50315629.99,50759096.36
1880751.008,1437284.638,6.37E-11,2.52E-11,3.32E-09,1.56E-09,50315629.99,50759096.36
1880751.008,1437284.638,5.67E-11,2.24E-11,2.95E-09,1.39E-09,50315629.99,50759096.36
1880751.008,1437284.638,5.03E-11,1.99E-11,2.63E-09,1.24E-09,50315629.99,50759096.36
1880751.008,1437284.638,4.50E-11,1.77E-11,2.34E-09,1.10E-09,50315629.99,50759096.36
1880751.008,1437284.638,4.03E-11,1.58E-11,2.09E-09,9.79E-10,50315629.99,50759096.36
1880751.008,1437284.638,3.68E-11,1.40E-11,1.86E-09,8.72E-10,50315629.99,50759096.36
1880751.008,1437284.638,3.36E-11,1.25E-11,1.65E-09,7.76E-10,50315629.99,50759096.36
1880751.008,1437284.638,3.01E-11,1.11E-11,1.47E-09,6.90E-10,50315629.99,50759096.36
1880751.008,1437284.638,2.71E-11,9.90E-12,1.31E-09,6.14E-10,50315629.99,50759096.36
1880751.008,1437284.638,2.44E-11,8.81E-12,1.17E-09,5.47E-10,50315629.99,50759096.36
1880751.008,1437284.638,2.18E-11,7.84E-12,1.04E-09,4.87E-10,50315629.99,50759096.36
1880751.008,1437284.638,1.95E-11,6.98E-12,9.28E-10,4.33E-10,50315629.99,50759096.36
1880751.008,1437284.638,1.74E-11,6.21E-12,8.26E-10,3.85E-10,50315629.99,50759096.36
,1437284.638,,5.53E-12,,3.43E-10,,50759096.36
