S.R deSolve,S.libbi value,E.R deSolve,E.libbi value,I.R deSolve,I.libbi value,R.R deSolve,R.libbi value
1916264.593,1450124.537,27352.80911,8348.366357,801087.597,471914.6493,49451676,50265993.45
1912804.349,1448697.737,23011.09306,7338.695493,715353.7161,420104.0585,49545211.84,50320240.51
1909534.052,1447431.051,19655.6725,6461.808703,638589.6346,373966.3028,49628601.64,50368521.84
1906770.052,1446306.156,16772.25039,5697.900232,569901.2158,332883.9148,49702937.48,50411493.03
1904203.798,1445306.904,14484.4455,5030.594128,508489.0981,296305.7553,49769203.66,50449737.75
1902002.708,1444419.052,12496.84393,4446.2647,453608.5793,263740.1025,49828272.87,50483775.58
1900048.581,1443630.017,10833.4482,3933.504952,404579.2418,234748.4083,49880919.73,50514069.07
1898158.493,1442928.676,9560.840959,3482.708952,360811.0783,208939.6709,49927850.59,50541029.94
1896320.594,1442305.186,8579.821097,3085.742138,321777.1964,185965.3728,49969703.39,50565024.7
1894680.58,1441750.83,7689.117245,2735.67971,286976.3001,165514.9347,50007035,50586379.56
1893310.794,1441257.885,6803.424856,2426.597887,255938.1124,147311.6399,50040328.67,50605384.88
1892211.579,1440819.503,5926.202183,2153.406395,228235.414,131108.9818,50070007.8,50622299.11
1891222.489,1440429.609,5190.894903,1911.713213,203508.2293,116687.3971,50096459.39,50637352.28
1890272.244,1440082.815,4618.922762,1697.714688,181450.8587,103851.3442,50120038.97,50650749.13
1889366.543,1439774.334,4160.124884,1508.105689,161788.7119,92426.69266,50141065.62,50662671.87
1888551.066,1439499.918,3747.195413,1340.005682,144264.284,82258.39237,50159818.45,50673282.68
1887794.894,1439255.793,3394.39058,1190.897504,128646.3223,73208.39312,50176545.39,50682725.92
1887065.159,1439038.606,3114.401783,1058.576359,114731.8058,65153.78851,50191469.63,50691130.03
1886341.596,1438845.375,2900.825829,941.1070508,102344.5976,57985.16072,50204793.98,50698609.36
1885727.493,1438673.454,2651.256798,836.7879328,91311.46257,51605.10473,50216690.79,50705265.65
1885189.963,1438520.487,2402.39478,744.1203419,81477.28547,45926.91292,50227311.36,50711189.48
1884734.449,1438384.381,2149.837203,661.7825552,72706.04465,40873.40292,50236790.67,50716461.43
1884354.057,1438263.274,1899.944364,588.6074914,64878.06489,36375.87322,50245248.93,50721153.25
1884050.065,1438155.512,1652.456455,523.5635371,57886.20298,32373.17289,50252792.28,50725328.75
1883775.89,1438059.623,1445.933062,465.7379915,51640.99594,28810.87286,50259518.18,50729044.77
1883517.622,1437974.296,1280.844176,414.3227231,46066.28782,25640.52802,50265516.25,50732351.85
1883278.123,1437898.368,1143.895191,368.6016999,41092.6638,22819.01999,50270866.32,50735295.01
1883052.59,1437830.803,1031.582635,327.9401187,36657.28033,20307.97198,50275639.55,50737914.29
1882843.129,1437770.678,935.0627419,291.7749023,32703.4365,18073.22778,50279899.37,50740245.32
1882659.777,1437717.173,842.5796386,259.6063748,29177.76333,16084.38792,50283700.88,50742319.83
1882478.185,1437669.561,773.4329221,230.9909535,26035.01938,14314.39669,50287094.36,50744166.05
1882296.529,1437627.19,722.4719201,205.5347222,23236.18932,12739.17459,50290125.81,50745809.1
1882128.789,1437589.484,672.9749002,182.88777,20744.06818,11337.29101,50292835.17,50747271.34
1881980.347,1437555.93,620.3671706,162.7391995,18523.52105,10089.67301,50295256.77,50748572.66
1881842.394,1437526.069,572.8527125,144.8127175,16544.26917,8979.346003,50297421.48,50749730.77
1881712.223,1437499.496,531.5243301,128.8627383,14780.04544,7991.202953,50299357.21,50750761.44
1881586.48,1437475.848,497.0603187,114.6709365,13208.20048,7111.798982,50301089.26,50751678.68
1881478.49,1437454.802,456.5738713,102.0431935,11806.71695,6329.168521,50302639.22,50752494.99
1881386.738,1437436.074,413.0628029,90.80689372,10555.4656,5632.662572,50304025.73,50753221.46
1881306.946,1437419.407,370.9793527,80.80852623,9437.386062,5012.803876,50305265.69,50753867.98
1881237.247,1437404.574,331.3705773,71.91155829,8437.943778,4461.157995,50306374.44,50754443.36
1881179.852,1437391.374,291.9752168,63.99454802,7543.765072,3970.218587,50307365.41,50754955.41
1881127.746,1437379.627,258.5782244,56.94946914,6743.722286,3533.305289,50308250.95,50755411.12
1881081.071,1437369.173,229.3642958,50.68022329,6028.198398,3144.47284,50309042.37,50755816.67
