"","e.time","e.value","y.time","y.value","S.time","S.value","E.time","E.value","I.time","I.value","R.time","R.value","x.time","x.value","clock"
"1",0,0,0,0,0,52196379,0,1,0,0,0,0,0,-0.0249141343217689,19025
"2",1,-1.05678494326246,1,0,1,52196377.6055137,1,1.95216796509282,1,0.269773246587446,1,0.172545047973966,1,-0.0300810652714126,19025
"3",2,0.0919839469740485,2,0,2,52196374.8488338,2,3.84153505038508,2,0.768333974139348,2,0.541297206483221,2,-0.0277264177251493,19025
"4",3,1.32778177033901,3,0,3,52196369.3406982,3,7.634094493514,3,1.72810524595439,3,1.29710202569856,3,-0.0187147471931584,19025
"5",4,-0.878606137978779,4,0,4,52196358.3329275,4,15.2217905541742,4,3.61933709508148,4,2.82594489184584,4,-0.0239840726764582,19025
"6",5,-0.982201641464803,5,2,5,52196336.5295321,5,30.2218323251044,5,7.36075682146833,5,5.88787874555583,5,-0.0288920675122716,19025
"7",6,0.389485296208677,6,3,6,52196293.2491127,6,60.0039786496076,6,14.7636796667734,6,11.9832289266793,6,-0.0250476089220228,19025
"8",7,-0.810885150826575,7,5,7,52196207.2893276,7,119.145256894254,7,29.4561475037289,7,24.1092679689055,7,-0.0287807972893867,19025
"9",8,-0.477351991139053,8,12,8,52196037.2232336,8,236.038419092944,8,58.5653061838557,8,48.1730410778627,8,-0.0299253969913561,19025
"10",9,-0.755745747648135,9,19,9,52195701.2272711,9,466.785042049829,9,116.152770538104,9,95.83491629068,9,-0.0324583270664773,19025
"11",10,0.849575902759542,10,40,10,52195034.3680882,10,925.384791209852,10,230.075580140766,10,190.171540433465,10,-0.0253300855423545,19025
"12",11,0.448129957104551,11,78,11,52193701.5349258,11,1844.04262768113,11,456.756311702893,11,377.666134740207,11,-0.021795137898824,19025
"13",12,-0.536794863844823,12,116,12,52191044.388022,12,3675.33942329896,12,908.975976307075,12,751.296578412958,12,-0.0245467543426416,19025
"14",13,1.5189379927697,13,277,13,52185721.4108013,13,7350.81360667243,13,1811.40457492844,13,1496.37101707662,13,-0.0150157091877282,19025
"15",14,-1.07040382124567,14,594,14,52175058.4614921,14,14712.7824893248,14,3620.65395641711,14,2988.10206216648,14,-0.0220549762355443,19025
"16",15,0.427619993250366,15,1188,15,52153795.623515,15,29382.15519237,15,7234.13126854728,15,5968.0900240689,15,-0.0192312691322016,19025
"17",16,1.42142559890209,16,2415,16,52111013.8742336,16,58965.7582909046,16,14469.1402495168,16,11931.227225991,16,-0.0112227134960869,19025
"18",17,-0.695165452003096,17,4612,17,52025160.3545267,17,118304.606695414,17,29011.1891118376,17,23903.8496659736,17,-0.0167985870798778,19025
"19",18,-0.485165406641587,18,9510,18,51854711.4646931,18,235758.576095437,18,58063.8717902753,18,47846.0874211138,18,-0.0201599687939084,19025
"20",19,0.899471960434825,19,18589,19,51516950.2013159,19,468163.377992449,19,115775.958845017,19,95490.4618465978,19,-0.0149750143808219,19025
"21",20,0.68251170212408,20,37002,20,50851483.1895925,20,924865.309783437,20,230044.810216107,20,189986.690407891,20,-0.0119735879787212,19025
"22",21,-1.13100899866181,21,71712,21,49577696.0757822,21,1790111.59244636,21,453217.212498814,21,375355.119272569,21,-0.0199116961896652,19025
"23",22,2.25241360954884,22,133915,22,47230456.7320543,22,3359818.99669394,22,876072.309817564,22,730031.961434199,22,-0.00701640759763979,19025
"24",23,0.414570850209704,23,238284,23,43196533.8349188,23,5971925.70707636,23,1643494.25245154,23,1384426.20555328,23,-0.00699351541913173,19025
"25",24,1.12990712030643,24,385452,24,37113013.3600306,24,9648372.63106272,24,2923191.22134269,24,2511802.787564,24,-0.00287431913005221,19025
"26",25,0.59725182703564,25,546026,25,29475922.2801242,25,13652276.9271089,25,4801840.39830778,25,4266340.39445904,25,-0.00255509125112463,19025
"27",26,-0.0337138263623714,26,664937,26,21780420.1764521,26,16597915.3551485,26,7142896.25255994,26,6675148.21583947,26,-0.00591055335398711,19025
"28",27,-0.993056643130588,27,701990,27,15455501.8089795,27,17555993.6338356,27,9589671.72231412,27,9595212.83487083,27,-0.0141569259563058,19025
"29",28,-1.83323340691011,28,667796,28,10957106.5004871,28,16688911.2799528,28,11755913.0400089,28,12794449.1795512,28,-0.0257245582407283,19025
"30",29,0.295406892578937,29,590299,29,7966533.63247358,29,14769000.6400222,29,13399907.4504349,29,16060938.2770693,29,-0.0229935450600448,19025
"31",30,-0.087562528504858,30,499590,30,6012175.12435728,30,12481223.64283,30,14452655.0758806,30,19250326.1569321,30,-0.0229528367889574,19025
"32",31,1.07290975357974,31,409929,31,4746583.30625591,31,10219423.859547,31,14953553.3421219,31,22276819.4920751,31,-0.052521087292614,19025
"33",32,-0.516159805368487,32,327962,32,3921545.70859202,32,8188519.23050114,32,14991532.3736494,32,25094782.6872575,32,-0.0858384252193934,19025
"34",33,1.47827788713206,33,258623,33,3364127.36422442,33,6473673.58274433,33,14672200.6617822,33,27686378.391249,33,-0.101683864030386,19025
"35",34,1.42073891668811,34,203453,34,2972986.79654531,34,5076036.42618331,34,14096607.5276958,34,30050749.2495755,34,-0.114986853493132,19025
"36",35,1.11132406617346,35,158202,35,2691142.10238977,35,3959128.37671435,35,13350242.5562338,35,32195866.964662,35,-0.127652062910664,19025
"37",36,2.02018276379838,36,122876,36,2482670.15216976,36,3078431.53381232,36,12501038.6556226,36,34134239.6583953,36,-0.132811708509298,19025
"38",37,-1.63876626417758,37,95506,37,2326390.50755773,37,2388674.8277921,37,11600781.3477661,37,35880533.3168841,37,-0.158009918154428,19025
"39",38,0.0584567557333572,38,74232,38,2207544.91903117,38,1851485.00640862,38,10687351.8423245,38,37449998.2322357,38,-0.168911663878175,19025
"40",39,-0.0964494479443922,39,57433,39,2115056.68455323,39,1435451.61978233,39,9787918.61809726,39,38857953.0775672,39,-0.17872522358564,19025
"41",40,-0.938519609963308,40,44593,40,2042167.91617959,40,1113928.01138438,40,8921088.81566384,40,40119195.2567722,40,-0.191586815103923,19025
"42",41,0.273840415274075,41,34510,41,1983843.09192788,41,865954.109207867,41,8098890.67260412,41,41247692.1262601,41,-0.19516751331538,19025
"43",42,0.187488506432654,42,27038,42,1936435.14802423,42,674959.80958379,42,7328501.81612676,42,42256483.2262652,42,-0.198594131529693,19025
"44",43,0.019408293162621,43,20915,43,1897522.24102642,43,527775.511266116,43,6613493.38979234,43,43157588.8579151,43,-0.202363082902237,19025
"45",44,1.19647535550185,44,16448,44,1865181.06351122,44,414334.676985829,44,5954857.17567655,44,43962007.0838264,44,-0.198701654141067,19025
"46",45,-1.70368703059976,45,12988,45,1838218.45131773,45,326616.586236914,45,5351795.07540591,45,44679749.8870394,45,-0.212328249726125,19025
"47",46,-0.454380100662787,46,10252,46,1815664.3902486,46,258588.875901329,46,4802263.00376542,46,45319863.7300846,46,-0.216323493868107,19025
"48",47,-0.55958527512358,47,8247,47,1796583.44455924,47,205780.224258012,47,4303483.96648364,47,45890532.3646991,47,-0.220197584782651,19025
"49",48,-0.167529455074265,48,6546,48,1780321.97415618,48,164680.90905141,48,3852243.03532242,48,46399134.08147,48,-0.221122082025,19025
"50",49,0.708600863899786,49,5309,49,1766334.20184063,49,132627.022715202,49,3445112.10956154,49,46852306.6658826,49,-0.216856839203766,19025
"51",50,-1.41024886261846,50,4312,50,1754293.98081269,50,107473.389680236,50,3078603.82001957,50,47256008.8094875,50,-0.225510429141689,19025
"52",51,-0.924837116242834,51,3469,51,1743932.89459598,51,87609.4780755391,51,2749266.67672531,51,47615570.9506031,51,-0.229812918872373,19025
"53",52,-0.243183538468243,52,2859,52,1734944.92949706,52,71882.4536628501,52,2453785.26305527,52,47935767.3537848,52,-0.229428126290785,19025
"54",53,-0.240020956932197,53,2406,53,1727105.63478395,53,59377.123359952,53,2189025.576126,53,48220871.6657301,53,-0.229094955811671,19025
"55",54,-0.25277212274197,54,1975,54,1720250.01167394,54,49373.2235003864,54,1952053.73199182,54,48474703.0328338,54,-0.228895270841401,19025
"56",55,0.26694050657147,55,1665,55,1714231.65042901,55,41327.6325727475,55,1740148.86980916,55,48700671.847189,55,-0.225752683375181,19025
"57",56,-0.770512873647463,56,1404,56,1708946.92629193,56,34804.1915174773,56,1550806.82779666,56,48901822.0543939,56,-0.22912664200539,19025
"58",57,0.517200649887995,57,1207,57,1704294.3570175,57,29484.477709195,57,1381733.78515608,57,49080867.3801172,57,-0.224507571998405,19025
"59",58,0.0667463942108025,58,1046,58,1700182.62088831,58,25123.5702118793,58,1230844.37793873,58,49240229.430961,58,-0.223307888468986,19025
"60",59,-0.533266886865955,59,874,59,1696556.78171944,59,21512.1826466945,59,1096245.13750748,59,49382065.8981263,59,-0.225765068224288,19025
"61",60,-0.796202110090363,60,742,60,1693363.39668387,60,18495.9193766452,60,976222.334235729,60,49508298.3497037,60,-0.229284037829835,19025
"62",61,1.14192144693321,61,648,61,1690532.84997842,61,15976.1084815852,61,869231.882251595,61,49620639.1592883,61,-0.221055409642764,19025
"63",62,0.530588522562123,62,548,62,1688013.23771956,62,13863.350017111,62,773887.713662855,62,49720615.6986004,62,-0.217822655536856,19025
"64",63,0.372609623868959,63,445,63,1685775.80471332,63,12073.6697356144,63,688942.960983012,63,49809587.564568,63,-0.216081464356267,19025
