"","time","x","S","E","I","R","Z"
"82",82,-3.23137312708423,51514893.2262916,0.0464548077088813,2.03820941904204,4462039.98649977,112.720441771805
"83",83,-3.23137312708423,51514893.2175797,0.0425638416990307,1.86749273332141,4462040.15284041,112.729337964846
"84",84,-3.23137312708423,51514893.2095974,0.0389987750944298,1.71107496494169,4462040.30524867,112.73748902969
"85",85,-3.23137312708423,51514893.2022837,0.0357323113300045,1.56775846260669,4462040.44489149,112.744957376772
"86",86,-3.23137312708423,51514893.1955826,0.0327394401127954,1.43644588814312,4462040.57283809,112.751800189173
"87",87,-3.23137312708423,51514893.1894428,0.0299972459364764,1.31613181444685,4462040.69006812,112.758069860449
"88",88,-3.23137312708423,51514893.1838172,0.0274847326324545,1.20589502717214,4462040.79747917,112.763814395785
"89",89,-3.23137312708423,51514893.1786628,0.0251826626147944,1.10489147121911,4462040.89589367,112.769077779554
"90",90,-3.23137312708423,51514893.1739401,0.0230734095885423,1.01234778801183,4462040.98606515,112.773900312089
"91",91,-3.23137312708423,51514893.169613,0.0211408235940481,0.927555394083354,4462041.06868403,112.778318918252
"92",92,-3.23137312708423,51514893.1656484,0.019370107354239,0.849865055628394,4462041.14438291,112.782367430151
"93",93,-3.23137312708423,51514893.1620158,0.0177477029782794,0.778681917482213,4462041.21374139,112.786076846184
"94",94,-3.23137312708423,51514893.1586874,0.0162611881543111,0.71346094846364,4462041.27729053,112.789475568385
"95",95,-3.23137312708423,51514893.1556379,0.0148991810365726,0.653702768208203,4462041.33551691,112.792589619888
"96",96,-3.23137312708423,51514893.1528437,0.0136512530987483,0.598949823538378,4462041.38886635,112.79544284418
"97",97,-3.23137312708423,51514893.1502836,0.0125078492863646,0.548782885094294,4462041.43774735,112.798057087663
"98",98,-3.23137312708423,51514893.1479379,0.0114602148569233,0.502817837400416,4462041.48253416,112.800452366927
"99",99,-3.23137312708423,51514893.1457887,0.0105003283476518,0.4607027377905,4462041.52356971,112.802647022008
"100",100,-3.23137312708423,51514893.1438195,0.00962084015766082,0.422115121671712,4462041.5611682,112.804657856816
"101",101,-3.23137312708423,51514893.1420153,0.0088150162742748,0.386759533494971,4462041.59561751,112.806500267799
"102",102,-3.23137312708423,51514893.1403621,0.0080766867126874,0.354365264526758,4462041.6271814,112.808188361824
"103",103,-3.23137312708423,51514893.1388475,0.00740019827417271,0.324684280101055,4462041.65610157,112.809735064197
"104",104,-3.23137312708423,51514893.1374597,0.00678037126114877,0.297489320480908,4462041.68259943,112.81115221762
"105",105,-3.23137312708423,51514893.1361881,0.0062124598176817,0.27257216078837,4462041.70687788,112.812450672875
"106",106,-3.23137312708423,51514893.135023,0.00569211559177615,0.249742016679545,4462041.72912281,112.813640371903
"107",107,-3.23137312708423,51514893.1339556,0.00521535444122981,0.228824083557388,4462041.74950455,112.814730423925
"108",108,-3.23137312708423,51514893.1329775,0.00477852592813224,0.209658198137368,4462041.76817915,112.815729175191
"109",109,-3.23137312708423,51514893.1320813,0.00437828536843888,0.192097612117962,4462041.7852896,112.816644272885
"110",110,-3.23137312708423,51514893.1312602,0.00401156822261411,0.176007868566249,4462041.80096691,112.817482723675
