"","e.time","e.value","y.time","y.value","S.time","S.value","E.time","E.value","I.time","I.value","R.time","R.value","x.time","x.value","clock"
"1",0,0,0,0.0480364964046244,0,52196379,0,1,0,0,0,0,0,-0.0249141343217689,20198
"2",1,0.87080647884546,1,0.0792505496755137,1,52196377.5935883,1,1.96312285740698,1,0.270380895531751,1,0.172907924348193,1,-0.0190317171860541,20198
"3",2,-1.54509783057802,2,0.155829261482305,2,52196374.798673,2,3.88260384594216,2,0.773852465126499,2,0.544870648299013,2,-0.0280640527145314,20198
"4",3,-0.878606137978779,3,0.310742448229084,3,52196369.288647,3,7.66345185315334,3,1.74122373048324,3,1.30667741201072,3,-0.0316386462271307,20198
"5",4,0.0449618032565681,4,0.629925903176258,4,52196358.3911619,4,15.14657168196,4,3.62731131604177,4,2.83495509753208,4,-0.0292711992938534,20198
"6",5,-0.742602863645314,5,1.31393596015443,5,52196336.8285623,5,29.9553444429806,5,7.3374599322616,5,5.87863334924283,5,-0.0318473769232925,20198
"7",6,-0.477351991139053,6,2.96201727319195,6,52196294.2633212,6,59.1740009052532,6,14.650061852595,6,11.9126160278608,6,-0.032436103193337,20198
"8",7,1.67407118249979,7,4.89526993233933,7,52196209.4238617,7,117.588346814448,7,29.1155591849928,7,23.8722322424682,7,-0.0205857146576736,20198
"9",8,0.448129957104551,8,8.13002488703244,8,52196038.9416331,8,235.314301405061,8,58.0122849067127,8,47.7317806147828,8,-0.0179107706797361,20198
"10",9,0.795636349108118,9,18.4800287969673,9,52195696.0078751,9,472.490023774635,9,115.98239766634,9,95.5197034459725,9,-0.0137287313564191,20198
"11",10,-2.02069545734328,10,40.2116845670823,10,52195012.0447752,10,944.348082131415,10,232.280287186497,10,191.326855526876,10,-0.0264485525093966,20198
"12",11,1.1689861185664,11,78.6357098817969,11,52193650.0672174,11,1883.59929860555,11,463.931113580368,11,382.402370396311,11,-0.0185787674688004,20198
"13",12,0.613894936711124,12,180.810171922869,12,52190910.1404765,12,3777.48149273858,12,927.692446175471,12,764.685584580092,12,-0.0153174204854305,20198
"14",13,1.42142559890209,13,265.308208879559,13,52185371.3263587,13,7615.22877210088,13,1860.76635053152,13,1532.67851865415,13,-0.00801832122711868,20198
"15",14,0.851685453744103,14,611.412536948879,14,52174122.7001418,14,15424.2681477396,14,3749.2534498733,14,3083.77826059633,14,-0.00530818368237298,20198
"16",15,-0.485165406641587,15,1244.01749437652,15,52151401.5044492,15,31181.3176660199,15,7574.85320654157,15,6222.32467822893,15,-0.0107524103680949,20198
"17",16,0.940758958261954,16,2695.87930755027,16,52105574.5891639,16,62950.5236822391,16,15296.2914183751,16,12558.5957355044,16,-0.00703608181424328,20198
"18",17,0.624819656617243,17,4938.93206185591,17,52012882.4592428,17,127235.699898672,17,30900.6736991044,17,25361.1671594845,17,-0.00580443418642006,20198
"19",18,2.25241360954884,18,11295.5570160031,18,51824592.4660699,18,258036.682170098,18,62487.7740940902,18,51263.0776659672,18,0.0045336561322904,20198
"20",19,-1.13465640758892,19,23295.7545114476,19,51446014.8595393,19,520170.29429832,19,126474.268899558,19,103720.57726279,19,-0.00641759853043369,20198
"21",20,0.826078040129842,20,49260.3658376344,20,50699937.365247,20,1033510.09662927,20,254165.909599627,20,208766.628524166,20,-0.00414440806944493,20198
"22",21,2.27619879490242,21,80713.092174173,21,49249743.3750669,21,2024641.65272459,21,505459.708782366,21,416535.263426119,21,0.00602911381458725,20198
"23",22,0.459707060356891,22,139990.000640464,22,46561446.1015466,22,3828340.80496395,22,987727.322840694,22,818865.770648807,22,0.00394599753055764,20198
"24",23,-1.83323340691011,23,235268.708593986,23,42073136.0196231,23,6706440.03307193,23,1857187.13515504,23,1559616.81215,23,-0.0109031194722965,20198
"25",24,0.783008331342074,24,417210.289630424,24,35594983.0995848,24,10521988.234244,24,3267829.45771148,24,2811579.20845969,24,-0.00806373098954309,20198
"26",25,1.37641268756406,25,593645.53461919,25,27815207.747522,25,14407925.0861183,25,5265252.93305136,25,4707994.23330835,25,-0.00233751832474609,20198
"27",26,-0.516159805368487,26,695770.130339412,26,20314119.6093284,26,16977458.3341341,26,7663352.27962714,26,7241449.77691039,26,-0.00849789846188135,20198
"28",27,0.771242034559387,27,808335.94871283,27,14340553.9173158,27,17531940.7748994,27,10082253.8429422,27,10241631.4648426,27,-0.00616194692906812,20198
"29",28,0.464448827929576,28,672542.997140991,28,10139993.7783589,28,16417404.91977,28,12161886.0653155,28,13477095.2365557,28,-0.00600803055031725,20198
"30",29,2.02018276379838,29,552005.167452955,29,7360131.21982043,29,14390699.7026797,29,13696881.9175697,29,16748667.1599302,29,0.00303577063653825,20198
