"","np","time","value","q025","q25","q50","q75","q975"
"1",0,7,0,0,0,0,0,0
"2",0,14,0.0168335091930307,-0.345083881138401,0.0170670087867093,0.10560070804603,0.212628169946179,0.492496921398902
"3",0,21,-0.1950431678537,-0.632735978952191,-0.419082892115232,-0.328743241672264,-0.182375570934288,0.036638500106938
"4",0,28,-0.102716821315072,-0.703991810256697,-0.579132889940919,-0.336963411737176,-0.173242388302172,0.133202521148319
"5",0,35,-0.0825121848753851,-0.423363005865467,-0.194702777615116,0.0628474799100749,0.155110749599937,0.456484740828251
"6",0,42,-0.391120263808327,-0.739491834714308,-0.598456678162285,-0.525453434939765,-0.391352257272617,-0.252895350486783
"7",0,49,-0.55951155881672,-1.01338026721365,-0.823878568342863,-0.800412371201339,-0.666467578632351,-0.518797589567249
"8",0,56,-0.941715071965348,-1.09254788841516,-0.887877424056933,-0.787363876925729,-0.70654219050173,-0.498367473672417
"9",0,63,-0.871582652347566,-1.12026992007224,-0.997221776459107,-0.842332044017951,-0.742012323068175,-0.566793810798614
"10",0,70,-0.730661942506277,-1.03904556746507,-0.871305386834829,-0.81489589889262,-0.746185113309142,-0.582662381959217
"11",0,77,-0.49008230481921,-0.957577027029345,-0.819674148415526,-0.737648055543693,-0.583786635523199,-0.425556100140653
"12",0,84,-0.484384566389823,-0.710481331882298,-0.430046265080775,-0.313962460199197,-0.225222965405349,0.0245623829888519
"13",0,91,-0.247945159793241,-0.653705288431062,-0.441576130119311,-0.347133675877627,-0.166852702142575,-0.00428237791753031
"14",0,98,-0.284337587100997,-0.695359559938458,-0.504636902769495,-0.425017653884777,-0.278405029294476,-0.0435067117873356
"15",0,105,-0.236424640766467,-0.700832693492227,-0.47256606978698,-0.303280114866124,-0.205028754022536,-0.00174358180148691
"16",0,112,-0.297426983753941,-0.640068048655865,-0.305076991399279,-0.217566594963303,-0.0927607459659622,0.0129061042397292
"17",0,119,-0.0733672098089955,-0.652382749388517,-0.513964255726971,-0.309033599051409,-0.198113363304388,0.0095085619336186
"18",0,126,-0.169627485051727,-0.455501324510964,-0.250571954830995,-0.173086051232876,-0.106653618889299,0.108234510741644
"19",0,133,-0.1081554198401,-0.579976600321727,-0.315734754087746,-0.238252847717042,-0.126559565138629,0.0634683260300679
"20",0,140,-0.516245643608661,-0.692808491310866,-0.586509784045863,-0.419728259126149,-0.296766966923553,-0.100331558918922
"21",0,147,-0.414570688405933,-0.817552655935327,-0.620342664951773,-0.518221867974417,-0.419505471216878,-0.18823354469246
"22",0,154,-0.225606626946163,-0.723510675818008,-0.524112487060213,-0.413787632650299,-0.281249985093864,-0.0724848061428235
"23",0,161,-0.52679871299312,-0.80202648403384,-0.634847484199277,-0.505991327584255,-0.419950392424931,-0.218217767056624
"24",0,168,-0.581232294736776,-0.955913988103678,-0.738659782118599,-0.611953171394091,-0.512482243288321,-0.318080922753505
"25",0,175,-0.365216680033907,-0.848198868918796,-0.712939849761781,-0.644646845728903,-0.459959125805058,-0.215404274233903
"26",0,182,-0.394531697827017,-0.722310038089322,-0.618179005155769,-0.458382719562871,-0.349228558670233,-0.12764237873868
"27",0,189,-0.570622950796316,-0.860094519245157,-0.533304509279993,-0.497064162392152,-0.449990392162945,-0.170751254254732
"28",0,196,-0.656070629494632,-0.881605921554225,-0.715336963126426,-0.580072644922002,-0.498026569348988,-0.309968283142945
"29",0,203,-0.395327738821334,-0.76555983621912,-0.663219353335711,-0.506747395304505,-0.350981296640669,-0.239862102186249
"30",0,210,-0.183237706778849,-0.548102803047213,-0.36625877682557,-0.236248089687824,-0.040720066409947,0.213330907694055
"31",0,217,-0.406121308371648,-0.918930241883207,-0.707923451201335,-0.545871452560017,-0.410850307089585,-0.227445133325305
"32",0,224,-0.347432339738827,-0.81983129136876,-0.729162142863027,-0.516499492091814,-0.436036222886142,-0.293687769656365
"33",0,231,-0.62407311414039,-0.874540110588827,-0.701821440618828,-0.517621939936382,-0.388565775523196,-0.186342395711927
"34",0,238,-0.611860021109348,-0.788053095578536,-0.654308976742518,-0.581856922766145,-0.432049160612704,-0.222148831236639
"35",0,245,-0.375870615739309,-0.987156978758568,-0.765272750230704,-0.63476851920833,-0.523223744884276,-0.301040766202488
"36",0,252,-0.707393649738797,-1.05803890233989,-0.838402269692718,-0.683608646705582,-0.606299957487977,-0.413886757060077
"37",0,259,-0.556174400573025,-1.34080772291565,-0.810457303850926,-0.647651734913033,-0.579296537022237,-0.104635669672713
"38",1,7,0,0,0,0,0,0
"39",1,14,0.255361195326446,-0.345083881138401,0.0170670087867093,0.10560070804603,0.212628169946179,0.492496921398902
"40",1,21,-0.20457792693651,-0.632735978952191,-0.419082892115232,-0.328743241672264,-0.182375570934288,0.036638500106938
"41",1,28,-0.277044261699942,-0.703991810256697,-0.579132889940919,-0.336963411737176,-0.173242388302172,0.133202521148319
"42",1,35,-0.177095282226752,-0.423363005865467,-0.194702777615116,0.0628474799100749,0.155110749599937,0.456484740828251
"43",1,42,-0.347582396285091,-0.739491834714308,-0.598456678162285,-0.525453434939765,-0.391352257272617,-0.252895350486783
"44",1,49,-0.708899621587137,-1.01338026721365,-0.823878568342863,-0.800412371201339,-0.666467578632351,-0.518797589567249
"45",1,56,-0.845597631982336,-1.09254788841516,-0.887877424056933,-0.787363876925729,-0.70654219050173,-0.498367473672417
"46",1,63,-0.747889115169126,-1.12026992007224,-0.997221776459107,-0.842332044017951,-0.742012323068175,-0.566793810798614
"47",1,70,-0.719366628946633,-1.03904556746507,-0.871305386834829,-0.81489589889262,-0.746185113309142,-0.582662381959217
"48",1,77,-0.58842852802464,-0.957577027029345,-0.819674148415526,-0.737648055543693,-0.583786635523199,-0.425556100140653
"49",1,84,-0.404060238796434,-0.710481331882298,-0.430046265080775,-0.313962460199197,-0.225222965405349,0.0245623829888519
"50",1,91,-0.240241178015258,-0.653705288431062,-0.441576130119311,-0.347133675877627,-0.166852702142575,-0.00428237791753031
"51",1,98,-0.392761856444286,-0.695359559938458,-0.504636902769495,-0.425017653884777,-0.278405029294476,-0.0435067117873356
"52",1,105,-0.380757743515517,-0.700832693492227,-0.47256606978698,-0.303280114866124,-0.205028754022536,-0.00174358180148691
"53",1,112,-0.403606541476526,-0.640068048655865,-0.305076991399279,-0.217566594963303,-0.0927607459659622,0.0129061042397292
"54",1,119,-0.254745287127054,-0.652382749388517,-0.513964255726971,-0.309033599051409,-0.198113363304388,0.0095085619336186
"55",1,126,-0.0542499413868587,-0.455501324510964,-0.250571954830995,-0.173086051232876,-0.106653618889299,0.108234510741644
"56",1,133,-0.237298543912069,-0.579976600321727,-0.315734754087746,-0.238252847717042,-0.126559565138629,0.0634683260300679
"57",1,140,-0.327918368317109,-0.692808491310866,-0.586509784045863,-0.419728259126149,-0.296766966923553,-0.100331558918922
"58",1,147,-0.515597644424064,-0.817552655935327,-0.620342664951773,-0.518221867974417,-0.419505471216878,-0.18823354469246
"59",1,154,-0.443045650697029,-0.723510675818008,-0.524112487060213,-0.413787632650299,-0.281249985093864,-0.0724848061428235
"60",1,161,-0.594170129216992,-0.80202648403384,-0.634847484199277,-0.505991327584255,-0.419950392424931,-0.218217767056624
"61",1,168,-0.73690928641323,-0.955913988103678,-0.738659782118599,-0.611953171394091,-0.512482243288321,-0.318080922753505
"62",1,175,-0.514328409016154,-0.848198868918796,-0.712939849761781,-0.644646845728903,-0.459959125805058,-0.215404274233903
"63",1,182,-0.377796875484024,-0.722310038089322,-0.618179005155769,-0.458382719562871,-0.349228558670233,-0.12764237873868
"64",1,189,-0.36590309525457,-0.860094519245157,-0.533304509279993,-0.497064162392152,-0.449990392162945,-0.170751254254732
"65",1,196,-0.430949616232287,-0.881605921554225,-0.715336963126426,-0.580072644922002,-0.498026569348988,-0.309968283142945
"66",1,203,-0.434351461554167,-0.76555983621912,-0.663219353335711,-0.506747395304505,-0.350981296640669,-0.239862102186249
"67",1,210,-0.388440397972258,-0.548102803047213,-0.36625877682557,-0.236248089687824,-0.040720066409947,0.213330907694055
"68",1,217,-0.399468666780693,-0.918930241883207,-0.707923451201335,-0.545871452560017,-0.410850307089585,-0.227445133325305
"69",1,224,-0.566106533775216,-0.81983129136876,-0.729162142863027,-0.516499492091814,-0.436036222886142,-0.293687769656365
"70",1,231,-0.6312521316569,-0.874540110588827,-0.701821440618828,-0.517621939936382,-0.388565775523196,-0.186342395711927
"71",1,238,-0.507169565601934,-0.788053095578536,-0.654308976742518,-0.581856922766145,-0.432049160612704,-0.222148831236639
"72",1,245,-0.580686728600218,-0.987156978758568,-0.765272750230704,-0.63476851920833,-0.523223744884276,-0.301040766202488
"73",1,252,-0.540564057074779,-1.05803890233989,-0.838402269692718,-0.683608646705582,-0.606299957487977,-0.413886757060077
"74",1,259,-0.470066145635737,-1.34080772291565,-0.810457303850926,-0.647651734913033,-0.579296537022237,-0.104635669672713
"75",2,7,0,0,0,0,0,0
"76",2,14,0.0189870740313636,-0.345083881138401,0.0170670087867093,0.10560070804603,0.212628169946179,0.492496921398902
"77",2,21,-0.279928969046394,-0.632735978952191,-0.419082892115232,-0.328743241672264,-0.182375570934288,0.036638500106938
"78",2,28,-0.14658634058371,-0.703991810256697,-0.579132889940919,-0.336963411737176,-0.173242388302172,0.133202521148319
"79",2,35,-0.171776453939117,-0.423363005865467,-0.194702777615116,0.0628474799100749,0.155110749599937,0.456484740828251
"80",2,42,-0.408572262532841,-0.739491834714308,-0.598456678162285,-0.525453434939765,-0.391352257272617,-0.252895350486783
"81",2,49,-0.706930675819601,-1.01338026721365,-0.823878568342863,-0.800412371201339,-0.666467578632351,-0.518797589567249
"82",2,56,-0.735894897692609,-1.09254788841516,-0.887877424056933,-0.787363876925729,-0.70654219050173,-0.498367473672417
"83",2,63,-0.776201154983795,-1.12026992007224,-0.997221776459107,-0.842332044017951,-0.742012323068175,-0.566793810798614
"84",2,70,-0.676957852359789,-1.03904556746507,-0.871305386834829,-0.81489589889262,-0.746185113309142,-0.582662381959217
"85",2,77,-0.724259834098383,-0.957577027029345,-0.819674148415526,-0.737648055543693,-0.583786635523199,-0.425556100140653
"86",2,84,-0.444382554926128,-0.710481331882298,-0.430046265080775,-0.313962460199197,-0.225222965405349,0.0245623829888519
"87",2,91,-0.239453591228087,-0.653705288431062,-0.441576130119311,-0.347133675877627,-0.166852702142575,-0.00428237791753031
"88",2,98,-0.258609369055322,-0.695359559938458,-0.504636902769495,-0.425017653884777,-0.278405029294476,-0.0435067117873356
"89",2,105,-0.207349139605943,-0.700832693492227,-0.47256606978698,-0.303280114866124,-0.205028754022536,-0.00174358180148691
"90",2,112,-0.343173373811431,-0.640068048655865,-0.305076991399279,-0.217566594963303,-0.0927607459659622,0.0129061042397292
"91",2,119,-0.265042521841631,-0.652382749388517,-0.513964255726971,-0.309033599051409,-0.198113363304388,0.0095085619336186
"92",2,126,-0.239620632675051,-0.455501324510964,-0.250571954830995,-0.173086051232876,-0.106653618889299,0.108234510741644
"93",2,133,-0.318174313485546,-0.579976600321727,-0.315734754087746,-0.238252847717042,-0.126559565138629,0.0634683260300679
"94",2,140,-0.364365867696912,-0.692808491310866,-0.586509784045863,-0.419728259126149,-0.296766966923553,-0.100331558918922
"95",2,147,-0.450521922802703,-0.817552655935327,-0.620342664951773,-0.518221867974417,-0.419505471216878,-0.18823354469246
"96",2,154,-0.401965139783769,-0.723510675818008,-0.524112487060213,-0.413787632650299,-0.281249985093864,-0.0724848061428235
"97",2,161,-0.595688323270327,-0.80202648403384,-0.634847484199277,-0.505991327584255,-0.419950392424931,-0.218217767056624
"98",2,168,-0.477615253779414,-0.955913988103678,-0.738659782118599,-0.611953171394091,-0.512482243288321,-0.318080922753505
"99",2,175,-0.380344669158406,-0.848198868918796,-0.712939849761781,-0.644646845728903,-0.459959125805058,-0.215404274233903
"100",2,182,-0.595976960381244,-0.722310038089322,-0.618179005155769,-0.458382719562871,-0.349228558670233,-0.12764237873868
"101",2,189,-0.416819983973073,-0.860094519245157,-0.533304509279993,-0.497064162392152,-0.449990392162945,-0.170751254254732
"102",2,196,-0.481013473864252,-0.881605921554225,-0.715336963126426,-0.580072644922002,-0.498026569348988,-0.309968283142945
"103",2,203,-0.417148430780174,-0.76555983621912,-0.663219353335711,-0.506747395304505,-0.350981296640669,-0.239862102186249
"104",2,210,-0.444998526074359,-0.548102803047213,-0.36625877682557,-0.236248089687824,-0.040720066409947,0.213330907694055
"105",2,217,-0.453349529966729,-0.918930241883207,-0.707923451201335,-0.545871452560017,-0.410850307089585,-0.227445133325305
"106",2,224,-0.487764223286978,-0.81983129136876,-0.729162142863027,-0.516499492091814,-0.436036222886142,-0.293687769656365
"107",2,231,-0.488016100526711,-0.874540110588827,-0.701821440618828,-0.517621939936382,-0.388565775523196,-0.186342395711927
"108",2,238,-0.42569836623986,-0.788053095578536,-0.654308976742518,-0.581856922766145,-0.432049160612704,-0.222148831236639
"109",2,245,-0.575453353470699,-0.987156978758568,-0.765272750230704,-0.63476851920833,-0.523223744884276,-0.301040766202488
"110",2,252,-0.735818976194664,-1.05803890233989,-0.838402269692718,-0.683608646705582,-0.606299957487977,-0.413886757060077
"111",2,259,-0.813803056089698,-1.34080772291565,-0.810457303850926,-0.647651734913033,-0.579296537022237,-0.104635669672713
"112",3,7,0,0,0,0,0,0
"113",3,14,-0.118329223290335,-0.345083881138401,0.0170670087867093,0.10560070804603,0.212628169946179,0.492496921398902
"114",3,21,0.0276874883743456,-0.632735978952191,-0.419082892115232,-0.328743241672264,-0.182375570934288,0.036638500106938
"115",3,28,0.0859266593444039,-0.703991810256697,-0.579132889940919,-0.336963411737176,-0.173242388302172,0.133202521148319
"116",3,35,-0.170795083254299,-0.423363005865467,-0.194702777615116,0.0628474799100749,0.155110749599937,0.456484740828251
"117",3,42,-0.350053367845253,-0.739491834714308,-0.598456678162285,-0.525453434939765,-0.391352257272617,-0.252895350486783
"118",3,49,-0.437903406661686,-1.01338026721365,-0.823878568342863,-0.800412371201339,-0.666467578632351,-0.518797589567249
